BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2016-01-04,USDRUB_TOM,USD000UTSTOM,73.081,72.615,73.72,73.16,32122,113823966126.0,73.1045
CETS,2016-01-05,USDRUB_TOM,USD000UTSTOM,72.99,72.823,73.55,73.316,19706,71061455111.0,73.3345
CETS,2016-01-06,USDRUB_TOM,USD000UTSTOM,73.318,73.264,75.1,74.76,39080,147357986720.0,74.2731
CETS,2016-01-11,USDRUB_TOM,USD000UTSTOM,75.721,75.06,76.493,76.211,63579,374734352327.0,75.6643
CETS,2016-01-12,USDRUB_TOM,USD000UTSTOM,77.0,75.901,77.244,77.065,68845,431071882952.0,76.4292
CETS,2016-01-13,USDRUB_TOM,USD000UTSTOM,76.812,75.74,76.897,76.677,65649,446396767343.0,76.2832
CETS,2016-01-14,USDRUB_TOM,USD000UTSTOM,76.928,76.051,77.0,76.051,49380,315612420891.0,76.4512
CETS,2016-01-15,USDRUB_TOM,USD000UTSTOM,76.426,76.419,77.95,77.603,68925,413541089692.0,77.2617
CETS,2016-01-18,USDRUB_TOM,USD000UTSTOM,78.048,78.048,79.43,79.29,61391,375138674724.0,78.8178
CETS,2016-01-19,USDRUB_TOM,USD000UTSTOM,78.93,78.063,78.958,78.561,74514,504189576361.0,78.4903
CETS,2016-01-20,USDRUB_TOM,USD000UTSTOM,79.298,79.17,82.469,81.4,97465,600217222855.0,80.5604
CETS,2016-01-21,USDRUB_TOM,USD000UTSTOM,82.303,81.75,85.999,82.63,141492,816417405922.0,83.8344
CETS,2016-01-22,USDRUB_TOM,USD000UTSTOM,81.593,77.901,82.094,78.024,109383,652030482825.0,79.7247
CETS,2016-01-25,USDRUB_TOM,USD000UTSTOM,77.292,76.392,80.169,80.04,110761,615619118362.0,78.9503
CETS,2016-01-26,USDRUB_TOM,USD000UTSTOM,81.612,77.7,82.3,78.3,125004,726811998478.0,80.106
CETS,2016-01-27,USDRUB_TOM,USD000UTSTOM,78.699,76.94,79.475,77.667,94418,467037074438.0,78.4631
CETS,2016-01-28,USDRUB_TOM,USD000UTSTOM,77.499,75.473,78.036,76.397,101961,595553980289.0,76.5126
CETS,2016-01-29,USDRUB_TOM,USD000UTSTOM,75.78,74.572,76.685,75.43,100382,525758601299.0,75.5615
CETS,2016-02-01,USDRUB_TOM,USD000UTSTOM,75.73,75.454,77.455,77.31,85276,400923918749.0,76.3081
CETS,2016-02-02,USDRUB_TOM,USD000UTSTOM,78.138,77.714,79.847,79.755,105205,541015120916.0,78.894
CETS,2016-02-03,USDRUB_TOM,USD000UTSTOM,79.452,76.661,79.9,76.904,112268,544884784990.0,78.563
CETS,2016-02-04,USDRUB_TOM,USD000UTSTOM,76.678,75.544,77.308,76.969,101512,534714876004.0,76.4313
CETS,2016-02-05,USDRUB_TOM,USD000UTSTOM,76.984,76.34,77.766,77.47,81006,415551113894.0,77.1327
CETS,2016-02-08,USDRUB_TOM,USD000UTSTOM,76.878,76.382,79.079,78.544,81297,417759483116.0,77.3314
CETS,2016-02-09,USDRUB_TOM,USD000UTSTOM,78.912,78.07,79.963,79.701,94049,528369995471.0,78.7364
CETS,2016-02-10,USDRUB_TOM,USD000UTSTOM,79.619,77.62,80.035,78.606,82098,407175478513.0,78.7701
CETS,2016-02-11,USDRUB_TOM,USD000UTSTOM,78.893,78.683,80.64,79.592,104687,586897806135.0,79.7347
CETS,2016-02-12,USDRUB_TOM,USD000UTSTOM,79.3,78.121,79.785,78.34,72754,391107678305.0,79.2274
CETS,2016-02-15,USDRUB_TOM,USD000UTSTOM,77.917,76.9,78.014,76.95,60696,292114093476.0,77.5435
CETS,2016-02-16,USDRUB_TOM,USD000UTSTOM,76.5,75.901,78.155,77.899,88900,482065056417.0,77.1285
CETS,2016-02-17,USDRUB_TOM,USD000UTSTOM,77.995,74.631,78.326,75.032,89411,438639205365.0,76.6775
CETS,2016-02-18,USDRUB_TOM,USD000UTSTOM,75.12,74.867,76.5,76.5,77769,400669120980.0,75.4839
CETS,2016-02-19,USDRUB_TOM,USD000UTSTOM,76.522,76.02,77.9,76.986,68672,350554371249.0,76.8459
CETS,2016-02-20,USDRUB_TOM,USD000UTSTOM,76.87,76.515,77.282,77.05,18802,49148123751.0,76.889
CETS,2016-02-22,USDRUB_TOM,USD000UTSTOM,76.356,74.951,76.692,75.3,37317,125745844839.0,75.7346
CETS,2016-02-24,USDRUB_TOM,USD000UTSTOM,76.496,75.69,77.58,75.711,86375,449589587720.0,76.8479
CETS,2016-02-25,USDRUB_TOM,USD000UTSTOM,75.946,75.18,76.687,75.385,72872,355540699401.0,76.0919
CETS,2016-02-26,USDRUB_TOM,USD000UTSTOM,75.385,74.476,76.421,76.2,95775,520903973192.0,75.1691
CETS,2016-02-29,USDRUB_TOM,USD000UTSTOM,75.548,74.858,76.296,75.2,53840,275976513315.0,75.7749
CETS,2016-03-01,USDRUB_TOM,USD000UTSTOM,74.587,73.167,74.804,73.392,73669,399931901615.0,73.8916
CETS,2016-03-02,USDRUB_TOM,USD000UTSTOM,73.288,73.01,74.26,73.07,59945,300523563167.0,73.7378
CETS,2016-03-03,USDRUB_TOM,USD000UTSTOM,73.069,72.88,74.1,73.171,58141,296227859422.0,73.6363
CETS,2016-03-04,USDRUB_TOM,USD000UTSTOM,73.03,71.75,73.445,71.97,58703,290767836679.0,72.8472
CETS,2016-03-07,USDRUB_TOM,USD000UTSTOM,71.696,71.12,72.26,71.471,39831,129662365311.0,71.7818
CETS,2016-03-09,USDRUB_TOM,USD000UTSTOM,72.398,70.75,72.667,71.141,61041,309663902143.0,71.8475
CETS,2016-03-10,USDRUB_TOM,USD000UTSTOM,71.1,69.945,71.897,71.455,79852,417318837239.0,70.8216
CETS,2016-03-11,USDRUB_TOM,USD000UTSTOM,70.847,69.435,71.034,69.883,61852,333247970941.0,69.9887
CETS,2016-03-14,USDRUB_TOM,USD000UTSTOM,70.0,69.681,70.977,69.96,64681,304093211837.0,70.4092
CETS,2016-03-15,USDRUB_TOM,USD000UTSTOM,70.35,70.086,71.399,71.04,69581,401317350609.0,70.9006
CETS,2016-03-16,USDRUB_TOM,USD000UTSTOM,70.925,69.123,71.44,69.123,81204,378988649677.0,70.6476
CETS,2016-03-17,USDRUB_TOM,USD000UTSTOM,69.324,67.906,69.324,68.1,74204,388174545004.0,68.4004
CETS,2016-03-18,USDRUB_TOM,USD000UTSTOM,68.0,67.262,68.729,68.389,75980,346119109790.0,68.0288
CETS,2016-03-21,USDRUB_TOM,USD000UTSTOM,68.41,67.481,69.15,67.822,61647,275132575376.0,68.2436
CETS,2016-03-22,USDRUB_TOM,USD000UTSTOM,67.936,67.2,68.266,67.5,69436,327724850407.0,67.7658
CETS,2016-03-23,USDRUB_TOM,USD000UTSTOM,67.876,67.417,68.83,68.737,63909,311158301200.0,67.8973
CETS,2016-03-24,USDRUB_TOM,USD000UTSTOM,68.95,68.256,69.665,68.527,82033,396018851198.0,69.1757
CETS,2016-03-25,USDRUB_TOM,USD000UTSTOM,68.791,67.827,68.791,68.454,30333,134677397034.0,68.2033
CETS,2016-03-28,USDRUB_TOM,USD000UTSTOM,68.087,67.585,68.648,68.47,42902,191308018339.0,68.0503
CETS,2016-03-29,USDRUB_TOM,USD000UTSTOM,68.826,67.921,69.244,68.05,69647,339782101847.0,68.7183
CETS,2016-03-30,USDRUB_TOM,USD000UTSTOM,68.051,67.123,68.36,68.24,71638,326558092543.0,67.59
CETS,2016-03-31,USDRUB_TOM,USD000UTSTOM,67.89,66.703,68.04,67.025,72018,352890217440.0,67.298
CETS,2016-04-01,USDRUB_TOM,USD000UTSTOM,67.062,66.815,68.359,67.595,74930,341316024401.0,67.6962
CETS,2016-04-04,USDRUB_TOM,USD000UTSTOM,68.25,67.741,68.91,68.7,67113,300371749395.0,68.3347
CETS,2016-04-05,USDRUB_TOM,USD000UTSTOM,68.747,68.55,69.488,68.562,70185,357484572751.0,69.0296
CETS,2016-04-06,USDRUB_TOM,USD000UTSTOM,68.512,67.54,68.87,67.59,61602,267299330125.0,68.4661
CETS,2016-04-07,USDRUB_TOM,USD000UTSTOM,68.199,67.451,68.427,68.028,61031,304111237619.0,67.9539
CETS,2016-04-08,USDRUB_TOM,USD000UTSTOM,67.851,66.921,67.936,67.15,57081,262540368868.0,67.2776
CETS,2016-04-11,USDRUB_TOM,USD000UTSTOM,67.052,66.41,67.368,66.773,52035,242717335945.0,66.7999
CETS,2016-04-12,USDRUB_TOM,USD000UTSTOM,66.785,65.184,66.785,65.715,64989,317061352585.0,66.1366
CETS,2016-04-13,USDRUB_TOM,USD000UTSTOM,65.827,65.23,66.35,66.31,70203,389861214314.0,65.739
CETS,2016-04-14,USDRUB_TOM,USD000UTSTOM,66.073,65.771,66.646,66.11,53494,303927782000.0,66.2243
CETS,2016-04-15,USDRUB_TOM,USD000UTSTOM,66.2,65.869,66.632,66.447,54249,288247919618.0,66.2705
CETS,2016-04-18,USDRUB_TOM,USD000UTSTOM,67.904,66.02,68.8,66.118,89140,415036902193.0,67.503
CETS,2016-04-19,USDRUB_TOM,USD000UTSTOM,65.935,62.685,66.275,65.853,61955,306040187642.0,65.6526
CETS,2016-04-20,USDRUB_TOM,USD000UTSTOM,66.584,65.11,66.584,65.157,64313,305398027684.0,65.8012
CETS,2016-04-21,USDRUB_TOM,USD000UTSTOM,65.0,64.65,66.982,66.84,76338,355406221511.0,65.5358
CETS,2016-04-22,USDRUB_TOM,USD000UTSTOM,65.771,65.527,66.82,66.455,71558,333760629129.0,66.1322
CETS,2016-04-25,USDRUB_TOM,USD000UTSTOM,66.273,65.876,66.855,66.567,55431,260125306710.0,66.4061
CETS,2016-04-26,USDRUB_TOM,USD000UTSTOM,66.626,65.15,66.774,65.2,48473,223524161307.0,66.2261
CETS,2016-04-27,USDRUB_TOM,USD000UTSTOM,65.375,64.97,65.997,65.12,61678,294268329845.0,65.3608
