BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2016-01-04,EURRUB_TOM,EUR_RUB__TOM,80.16,78.591,80.45,79.25,2468,5684127702.0,79.4649
CETS,2016-01-05,EURRUB_TOM,EUR_RUB__TOM,79.111,78.65,79.428,78.722,1633,3373270403.0,79.0123
CETS,2016-01-06,EURRUB_TOM,EUR_RUB__TOM,78.87,78.791,80.724,80.62,3021,5263334348.0,79.762
CETS,2016-01-11,EURRUB_TOM,EUR_RUB__TOM,81.522,81.521,83.977,82.78,4847,24020760142.0,82.3145
CETS,2016-01-12,EURRUB_TOM,EUR_RUB__TOM,83.493,82.33,83.904,83.65,6679,33552943882.0,82.9311
CETS,2016-01-13,EURRUB_TOM,EUR_RUB__TOM,83.175,81.923,83.55,83.395,5892,29323486733.0,82.5709
CETS,2016-01-14,EURRUB_TOM,EUR_RUB__TOM,83.591,82.58,83.728,82.61,6191,33414194915.0,83.2894
CETS,2016-01-15,EURRUB_TOM,EUR_RUB__TOM,83.259,83.04,85.572,84.68,6895,28289632001.0,84.3729
CETS,2016-01-18,EURRUB_TOM,EUR_RUB__TOM,85.448,85.285,86.577,86.42,6183,32635834162.0,85.86
CETS,2016-01-19,EURRUB_TOM,EUR_RUB__TOM,85.797,84.831,86.241,85.72,9013,50926637101.0,85.3341
CETS,2016-01-20,EURRUB_TOM,EUR_RUB__TOM,86.85,86.759,90.1,88.646,11952,63612571535.0,87.9975
CETS,2016-01-21,EURRUB_TOM,EUR_RUB__TOM,89.855,88.664,93.7,89.999,11552,55649224754.0,91.2698
CETS,2016-01-22,EURRUB_TOM,EUR_RUB__TOM,88.088,84.228,88.207,84.24,7450,32473036400.0,86.2319
CETS,2016-01-25,EURRUB_TOM,EUR_RUB__TOM,82.663,82.221,86.935,86.935,9823,46819662656.0,85.5785
CETS,2016-01-26,EURRUB_TOM,EUR_RUB__TOM,88.3,84.29,89.363,85.05,11855,57207114216.0,86.8311
CETS,2016-01-27,EURRUB_TOM,EUR_RUB__TOM,85.2,83.565,86.417,84.602,7595,33803543585.0,85.3769
CETS,2016-01-28,EURRUB_TOM,EUR_RUB__TOM,84.406,82.342,84.811,83.5,8456,38571340369.0,83.5237
CETS,2016-01-29,EURRUB_TOM,EUR_RUB__TOM,82.861,81.283,83.317,81.74,9540,47541074993.0,82.3457
CETS,2016-02-01,EURRUB_TOM,EUR_RUB__TOM,81.595,81.595,84.358,84.258,8093,35666836525.0,82.895
CETS,2016-02-02,EURRUB_TOM,EUR_RUB__TOM,85.013,84.738,87.106,87.104,8318,35654159232.0,86.1903
CETS,2016-02-03,EURRUB_TOM,EUR_RUB__TOM,87.26,84.938,87.795,85.4,10548,41834501652.0,86.1736
CETS,2016-02-04,EURRUB_TOM,EUR_RUB__TOM,85.37,84.0,86.32,86.18,8481,37421994151.0,85.4504
CETS,2016-02-05,EURRUB_TOM,EUR_RUB__TOM,86.171,85.481,86.92,86.408,7306,30187460728.0,86.2181
CETS,2016-02-08,EURRUB_TOM,EUR_RUB__TOM,85.61,85.18,88.53,87.905,7867,29508894662.0,86.1048
CETS,2016-02-09,EURRUB_TOM,EUR_RUB__TOM,88.585,87.3,90.342,90.013,8829,34666859572.0,88.4731
CETS,2016-02-10,EURRUB_TOM,EUR_RUB__TOM,89.739,86.702,89.789,88.806,8991,35729530459.0,88.6206
CETS,2016-02-11,EURRUB_TOM,EUR_RUB__TOM,88.835,88.835,91.478,90.269,10895,44344903171.0,90.2787
CETS,2016-02-12,EURRUB_TOM,EUR_RUB__TOM,89.439,87.735,90.168,88.138,7028,29986940365.0,89.3088
CETS,2016-02-15,EURRUB_TOM,EUR_RUB__TOM,87.008,85.801,87.47,85.801,6973,28283810630.0,86.7197
CETS,2016-02-16,EURRUB_TOM,EUR_RUB__TOM,85.586,84.752,87.095,86.736,8461,37968262421.0,86.0785
CETS,2016-02-17,EURRUB_TOM,EUR_RUB__TOM,87.083,83.12,87.425,83.626,8534,29417167129.0,85.5971
CETS,2016-02-18,EURRUB_TOM,EUR_RUB__TOM,83.418,83.22,85.036,84.9,7193,29705269773.0,83.9167
CETS,2016-02-19,EURRUB_TOM,EUR_RUB__TOM,84.961,84.451,86.639,85.59,6028,22181487277.0,85.3525
CETS,2016-02-20,EURRUB_TOM,EUR_RUB__TOM,85.458,85.326,86.322,85.825,3214,7836846156.0,85.8494
CETS,2016-02-22,EURRUB_TOM,EUR_RUB__TOM,86.06,82.561,86.06,83.062,3710,8276335048.0,83.7771
CETS,2016-02-24,EURRUB_TOM,EUR_RUB__TOM,84.341,83.315,85.45,83.4,7757,31031494740.0,84.5582
CETS,2016-02-25,EURRUB_TOM,EUR_RUB__TOM,83.798,83.012,84.5,83.051,6244,23524693624.0,83.8855
CETS,2016-02-26,EURRUB_TOM,EUR_RUB__TOM,83.3,81.65,83.549,83.312,7589,30714695504.0,82.6962
CETS,2016-02-29,EURRUB_TOM,EUR_RUB__TOM,82.624,81.338,83.445,81.84,6249,26922879756.0,82.7498
CETS,2016-03-01,EURRUB_TOM,EUR_RUB__TOM,81.3,79.304,81.344,79.77,7731,29055888913.0,80.3341
CETS,2016-03-02,EURRUB_TOM,EUR_RUB__TOM,79.514,79.181,80.634,79.4,5708,23311677002.0,80.0264
CETS,2016-03-03,EURRUB_TOM,EUR_RUB__TOM,79.648,79.639,80.743,80.188,6844,30930185591.0,80.2523
CETS,2016-03-04,EURRUB_TOM,EUR_RUB__TOM,80.1,78.972,80.5,79.2,7090,27711233674.0,79.9701
CETS,2016-03-07,EURRUB_TOM,EUR_RUB__TOM,78.777,78.35,79.269,78.74,3280,12295676178.0,78.8296
CETS,2016-03-09,EURRUB_TOM,EUR_RUB__TOM,79.1,77.7,79.7,78.23,6433,25755642202.0,78.9329
CETS,2016-03-10,EURRUB_TOM,EUR_RUB__TOM,78.1,75.876,80.5,79.82,12120,41821520995.0,77.7762
