BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2016-01-04,CNYRUB_TOD,CNY000000TOD,0.0,0.0,0.0,0.0,0,0.0,11.0123
CETS,2016-01-05,CNYRUB_TOD,CNY000000TOD,0.0,0.0,0.0,0.0,0,0.0,11.0123
CETS,2016-01-06,CNYRUB_TOD,CNY000000TOD,0.0,0.0,0.0,0.0,0,0.0,11.0123
CETS,2016-01-11,CNYRUB_TOD,CNY000000TOD,11.4,11.4,11.475,11.47,18,28186166.0,11.4625
CETS,2016-01-12,CNYRUB_TOD,CNY000000TOD,11.465,11.465,11.75,11.6492,47,138736383.2,11.6713
CETS,2016-01-13,CNYRUB_TOD,CNY000000TOD,11.6573,11.63,11.67,11.6488,31,135117796.1,11.6461
CETS,2016-01-14,CNYRUB_TOD,CNY000000TOD,11.6255,11.5607,11.6255,11.5851,13,27451114.1,11.6023
CETS,2016-01-15,CNYRUB_TOD,CNY000000TOD,11.58,11.5357,11.6,11.6,45,322477036.0,11.5579
CETS,2016-01-18,CNYRUB_TOD,CNY000000TOD,11.965,11.9368,11.9833,11.955,21,52120802.6,11.9653
CETS,2016-01-19,CNYRUB_TOD,CNY000000TOD,11.94,11.86,11.94,11.9118,34,123714304.4,11.922
CETS,2016-01-20,CNYRUB_TOD,CNY000000TOD,12.04,12.0,12.0506,12.045,38,182518166.0,12.0379
CETS,2016-01-21,CNYRUB_TOD,CNY000000TOD,12.44,12.35,12.84,12.84,34,117180126.4,12.6435
CETS,2016-01-22,CNYRUB_TOD,CNY000000TOD,12.13,12.0025,12.31,12.31,48,262860087.3,12.1678
CETS,2016-01-25,CNYRUB_TOD,CNY000000TOD,11.65,11.64,11.8,11.8,32,103582138.0,11.7307
CETS,2016-01-26,CNYRUB_TOD,CNY000000TOD,12.27,12.27,12.47,12.352,42,128395259.6,12.3731
CETS,2016-01-27,CNYRUB_TOD,CNY000000TOD,11.86,11.8259,12.025,11.95,33,147736833.6,11.9374
CETS,2016-01-28,CNYRUB_TOD,CNY000000TOD,11.7604,11.63,11.77,11.6574,26,174532077.3,11.7309
CETS,2016-01-29,CNYRUB_TOD,CNY000000TOD,11.4,11.288,11.4,11.3881,18,48601568.0,11.337
CETS,2016-02-01,CNYRUB_TOD,CNY000000TOD,11.5037,11.5037,11.58,11.5504,18,89374935.4,11.5457
CETS,2016-02-02,CNYRUB_TOD,CNY000000TOD,11.83,11.7589,11.83,11.7878,26,109769124.8,11.7879
CETS,2016-02-03,CNYRUB_TOD,CNY000000TOD,11.98,11.9162,12.015,11.919,30,197361859.5,11.9526
CETS,2016-02-04,CNYRUB_TOD,CNY000000TOD,11.49,11.4802,11.59,11.5692,21,73532709.9,11.5237
CETS,2016-02-05,CNYRUB_TOD,CNY000000TOD,11.74,11.723,11.769,11.7492,23,43467651.6,11.7385
CETS,2016-02-08,CNYRUB_TOD,CNY000000TOD,0.0,0.0,0.0,0.0,0,0.0,11.7385
CETS,2016-02-09,CNYRUB_TOD,CNY000000TOD,0.0,0.0,0.0,0.0,0,0.0,11.7385
CETS,2016-02-10,CNYRUB_TOD,CNY000000TOD,0.0,0.0,0.0,0.0,0,0.0,11.7385
CETS,2016-02-11,CNYRUB_TOD,CNY000000TOD,0.0,0.0,0.0,0.0,0,0.0,11.7385
CETS,2016-02-12,CNYRUB_TOD,CNY000000TOD,0.0,0.0,0.0,0.0,0,0.0,11.7385
CETS,2016-02-15,CNYRUB_TOD,CNY000000TOD,11.995,11.945,11.995,11.99,34,183858415.6,11.9668
CETS,2016-02-16,CNYRUB_TOD,CNY000000TOD,11.71,11.6537,11.722,11.715,31,92866036.2,11.6901
CETS,2016-02-17,CNYRUB_TOD,CNY000000TOD,11.96,11.9,11.99,11.9,26,72695604.5,11.9526
CETS,2016-02-18,CNYRUB_TOD,CNY000000TOD,11.56,11.54,11.6317,11.5442,21,81657522.8,11.5876
CETS,2016-02-19,CNYRUB_TOD,CNY000000TOD,11.71,11.6879,11.7267,11.7,34,196105887.6,11.7015
CETS,2016-02-20,CNYRUB_TOD,CNY000000TOD,0.0,0.0,0.0,0.0,0,0.0,11.7015
CETS,2016-02-22,CNYRUB_TOD,CNY000000TOD,0.0,0.0,0.0,0.0,0,0.0,11.7015
CETS,2016-02-24,CNYRUB_TOD,CNY000000TOD,11.72,11.6513,11.72,11.678,28,146731956.5,11.6871
CETS,2016-02-25,CNYRUB_TOD,CNY000000TOD,11.665,11.65,11.8902,11.6981,27,140006516.0,11.6789
CETS,2016-02-26,CNYRUB_TOD,CNY000000TOD,11.55,11.4744,11.55,11.484,30,168219181.6,11.4974
CETS,2016-02-29,CNYRUB_TOD,CNY000000TOD,11.571,11.541,11.605,11.59,31,126139617.6,11.5756
CETS,2016-03-01,CNYRUB_TOD,CNY000000TOD,11.3475,11.29,11.35,11.3,32,96654664.9,11.3073
CETS,2016-03-02,CNYRUB_TOD,CNY000000TOD,11.177,11.1677,11.2618,11.2618,36,209973609.6,11.207
CETS,2016-03-03,CNYRUB_TOD,CNY000000TOD,11.215,11.213,11.325,11.325,22,121398720.8,11.2615
