BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2016-01-04,АЛРОСА ао,ALRS,1531,86377179.0,56.0,55.2,56.78,55.21,55.83,55.21,1547200,55.83,55.83,55.21,86377179.0,86377179.0,86377179.0,,3
TQBR,2016-01-05,АЛРОСА ао,ALRS,5136,283406767.0,55.01,54.66,57.8,57.8,56.62,57.8,5005100,56.62,56.62,57.8,283406767.0,283406767.0,283406767.0,,3
TQBR,2016-01-06,АЛРОСА ао,ALRS,5313,315034184.0,57.5,56.86,58.9,57.69,58.12,57.69,5420100,58.12,58.12,57.69,315034184.0,315034184.0,315034184.0,,3
TQBR,2016-01-11,АЛРОСА ао,ALRS,5859,387101234.0,56.9,55.63,57.28,56.11,56.63,56.11,6835600,56.63,56.63,56.11,387101234.0,387101234.0,387101234.0,,3
TQBR,2016-01-12,АЛРОСА ао,ALRS,5931,371492821.0,56.06,55.5,58.4,58.34,57.17,58.34,6497700,57.17,57.17,58.34,371492821.0,371492821.0,371492821.0,,3
TQBR,2016-01-13,АЛРОСА ао,ALRS,6881,425956371.0,58.27,57.17,59.18,57.61,58.64,57.61,7263900,58.64,58.64,57.61,425956371.0,425956371.0,425956371.0,,3
TQBR,2016-01-14,АЛРОСА ао,ALRS,6395,322403752.0,57.45,56.15,58.46,57.26,56.97,57.26,5659600,56.97,56.97,57.26,322403752.0,322403752.0,322403752.0,,3
TQBR,2016-01-15,АЛРОСА ао,ALRS,13725,678177727.0,56.82,53.62,58.04,53.9,55.0,53.9,12329600,55.0,55.0,53.9,678177727.0,678177727.0,678177727.0,,3
TQBR,2016-01-18,АЛРОСА ао,ALRS,5494,410488286.0,53.05,52.33,54.09,53.31,53.35,53.31,7691800,53.37,53.37,53.31,410488286.0,410488286.0,410488286.0,,3
TQBR,2016-01-19,АЛРОСА ао,ALRS,7952,482310257.0,53.9,53.45,55.45,54.09,54.62,54.09,8830100,54.62,54.62,54.09,482310257.0,482310257.0,482310257.0,,3
TQBR,2016-01-20,АЛРОСА ао,ALRS,7978,417413033.0,53.35,53.2,55.29,55.0,54.29,55.0,7688300,54.29,54.29,55.0,417413033.0,417413033.0,417413033.0,,3
TQBR,2016-01-21,АЛРОСА ао,ALRS,8833,526909758.0,54.54,54.54,57.3,56.72,56.4,56.72,9342200,56.4,56.4,56.72,526909758.0,526909758.0,526909758.0,,3
TQBR,2016-01-22,АЛРОСА ао,ALRS,9511,446700968.0,57.0,55.62,57.91,57.1,56.7,57.1,7879300,56.69,56.69,57.1,446700968.0,446700968.0,446700968.0,,3
TQBR,2016-01-25,АЛРОСА ао,ALRS,5602,289029352.0,57.2,55.77,57.69,56.66,56.92,56.66,5077600,56.92,56.92,56.66,289029352.0,289029352.0,289029352.0,,3
TQBR,2016-01-26,АЛРОСА ао,ALRS,14434,964226897.0,56.4,55.86,60.1,59.79,58.3,59.79,16540400,58.3,58.3,59.79,964226897.0,964226897.0,964226897.0,,3
TQBR,2016-01-27,АЛРОСА ао,ALRS,10671,822098305.0,59.9,59.06,61.29,60.6,60.22,60.6,13649800,60.23,60.23,60.6,822098305.0,822098305.0,822098305.0,,3
TQBR,2016-01-28,АЛРОСА ао,ALRS,8640,744869919.0,60.88,60.11,61.95,61.3,61.33,61.3,12146600,61.32,61.32,61.3,744869919.0,744869919.0,744869919.0,,3
TQBR,2016-01-29,АЛРОСА ао,ALRS,10613,677317824.0,61.3,59.55,61.73,61.73,60.39,61.73,11217300,60.38,60.38,61.73,677317824.0,677317824.0,677317824.0,,3
TQBR,2016-02-01,АЛРОСА ао,ALRS,9289,610104122.0,61.7,60.22,62.47,62.0,61.68,62.0,9891700,61.68,61.68,62.0,610104122.0,610104122.0,610104122.0,,3
TQBR,2016-02-02,АЛРОСА ао,ALRS,18692,1566151328.0,62.27,61.93,65.98,64.81,64.45,64.81,24303600,64.44,64.44,64.81,1566151328.0,1566151328.0,1566151328.0,,3
TQBR,2016-02-03,АЛРОСА ао,ALRS,11260,813855381.0,64.81,63.8,65.8,65.55,65.08,65.55,12505200,65.08,65.08,65.55,813855381.0,813855381.0,813855381.0,,3
TQBR,2016-02-04,АЛРОСА ао,ALRS,17248,1320375698.0,67.8,66.02,68.75,68.37,67.87,68.37,19454200,67.87,67.87,68.37,1320375698.0,1320375698.0,1320375698.0,,3
TQBR,2016-02-05,АЛРОСА ао,ALRS,10161,743180431.0,68.55,65.79,68.68,66.6,66.93,66.6,11104500,66.93,66.93,66.6,743180431.0,743180431.0,743180431.0,,3
TQBR,2016-02-08,АЛРОСА ао,ALRS,9451,622466059.0,66.6,64.55,67.4,64.9,65.93,64.9,9443600,65.91,65.91,64.9,622466059.0,622466059.0,622466059.0,,3
TQBR,2016-02-09,АЛРОСА ао,ALRS,10713,684829461.0,64.53,62.51,65.5,63.2,63.66,63.2,10756500,63.67,63.67,63.2,684829461.0,684829461.0,684829461.0,,3
TQBR,2016-02-10,АЛРОСА ао,ALRS,11344,728938720.0,62.67,61.6,63.9,62.3,62.69,62.3,11632200,62.67,62.67,62.3,728938720.0,728938720.0,728938720.0,,3
TQBR,2016-02-11,АЛРОСА ао,ALRS,12737,775805166.0,62.3,61.83,64.69,64.0,63.4,64.0,12238200,63.39,63.39,64.0,775805166.0,775805166.0,775805166.0,,3
TQBR,2016-02-12,АЛРОСА ао,ALRS,13322,1120365525.0,64.46,63.78,67.36,67.32,65.66,67.32,17050000,65.71,65.71,67.32,1120365525.0,1120365525.0,1120365525.0,,3
TQBR,2016-02-15,АЛРОСА ао,ALRS,14789,1154547640.0,67.77,66.56,69.44,69.19,68.26,69.19,16913600,68.26,68.26,69.19,1154547640.0,1154547640.0,1154547640.0,,3
TQBR,2016-02-16,АЛРОСА ао,ALRS,12192,1193760318.0,69.2,68.87,70.95,70.95,69.97,70.95,17057400,69.98,69.98,70.95,1193760318.0,1193760318.0,1193760318.0,,3
TQBR,2016-02-17,АЛРОСА ао,ALRS,16206,1529252199.0,71.0,68.8,72.52,69.0,71.02,69.0,21540900,70.99,70.99,69.0,1529252199.0,1529252199.0,1529252199.0,,3
TQBR,2016-02-18,АЛРОСА ао,ALRS,18903,1294584915.0,68.89,67.25,70.35,68.29,68.48,68.29,18903400,68.48,68.48,68.29,1294584915.0,1294584915.0,1294584915.0,,3
TQBR,2016-02-19,АЛРОСА ао,ALRS,8504,417224688.0,68.06,67.52,68.97,68.6,68.39,68.6,6099500,68.4,68.4,68.6,417224688.0,417224688.0,417224688.0,,3
TQBR,2016-02-20,АЛРОСА ао,ALRS,3107,175737509.0,68.6,68.6,69.85,69.12,69.28,69.12,2536800,69.28,69.28,69.12,175737509.0,175737509.0,175737509.0,,3
TQBR,2016-02-22,АЛРОСА ао,ALRS,4253,264601630.0,69.58,68.63,70.42,70.35,69.92,70.35,3784600,69.92,69.92,70.35,264601630.0,264601630.0,264601630.0,,3
TQBR,2016-02-24,АЛРОСА ао,ALRS,9999,821844694.0,70.07,69.62,71.81,71.3,70.97,71.3,11580400,70.97,70.97,71.3,821844694.0,821844694.0,821844694.0,,3
TQBR,2016-02-25,АЛРОСА ао,ALRS,9221,680602920.0,71.88,69.75,71.88,70.52,70.91,70.52,9602100,70.88,70.88,70.52,680602920.0,680602920.0,680602920.0,,3
TQBR,2016-02-26,АЛРОСА ао,ALRS,9834,728455186.0,70.69,69.0,71.45,69.4,70.16,69.4,10382900,70.16,70.16,69.4,728455186.0,728455186.0,728455186.0,,3
TQBR,2016-02-29,АЛРОСА ао,ALRS,10524,825023353.0,69.3,68.7,71.09,69.5,70.05,69.5,11777100,70.05,70.05,69.5,825023353.0,825023353.0,825023353.0,,3
TQBR,2016-03-01,АЛРОСА ао,ALRS,7136,559409616.0,69.69,69.3,70.78,70.75,70.38,70.75,7949800,70.37,70.37,70.75,559409616.0,559409616.0,559409616.0,,3
TQBR,2016-03-02,АЛРОСА ао,ALRS,13312,873303049.0,70.8,70.21,72.16,71.46,71.37,71.46,12236800,71.37,71.37,71.46,873303049.0,873303049.0,873303049.0,,3
TQBR,2016-03-03,АЛРОСА ао,ALRS,7422,454927047.0,71.3,70.54,71.87,71.72,71.32,71.72,6379100,71.32,71.32,71.72,454927047.0,454927047.0,454927047.0,,3
TQBR,2016-03-04,АЛРОСА ао,ALRS,8714,576989067.0,71.9,71.33,72.42,72.25,72.07,72.25,8007400,72.06,72.06,72.25,576989067.0,576989067.0,576989067.0,,3
TQBR,2016-03-07,АЛРОСА ао,ALRS,7778,553165688.0,72.4,71.88,73.09,72.95,72.46,72.95,7634500,72.46,72.46,72.95,553165688.0,553165688.0,553165688.0,,3
TQBR,2016-03-09,АЛРОСА ао,ALRS,7609,489365608.0,72.6,71.0,72.8,71.0,71.83,71.0,6811500,71.84,71.84,71.0,489365608.0,489365608.0,489365608.0,,3
