BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2016-01-04,ГМКНорНик,GMKN,10414,1055613390,9090,8892,9140,8922,8974,8922,117655,8972,8972,8922,1055613390,1055613390,1055613390,,3
TQBR,2016-01-05,ГМКНорНик,GMKN,9869,1240997796,8942,8891,9120,9085,9002,9085,137855,9002,9002,9085,1240997796,1240997796,1240997796,,3
TQBR,2016-01-06,ГМКНорНик,GMKN,8789,1257107181,9100,8990,9148,8990,9030,8990,139221,9030,9030,8990,1257107181,1257107181,1257107181,,3
TQBR,2016-01-11,ГМКНорНик,GMKN,26941,3023616304,8800,8507,8800,8600,8602,8600,351544,8601,8601,8600,3023616304,3023616304,3023616304,,3
TQBR,2016-01-12,ГМКНорНик,GMKN,19224,1978825454,8550,8500,8718,8553,8614,8553,229716,8614,8614,8553,1978825454,1978825454,1978825454,,3
TQBR,2016-01-13,ГМКНорНик,GMKN,16867,2488675978,8590,8544,8788,8614,8675,8614,285791,8708,8708,8614,2488675978,2488675978,2488675978,,3
TQBR,2016-01-14,ГМКНорНик,GMKN,20036,2605422414,8575,8400,8733,8464,8568,8464,305353,8532,8532,8464,2605422414,2605422414,2605422414,,3
TQBR,2016-01-15,ГМКНорНик,GMKN,33009,3700539158,8470,8040,8473,8050,8187,8050,452033,8186,8186,8050,3700539158,3700539158,3700539158,,3
TQBR,2016-01-18,ГМКНорНик,GMKN,21664,3133415367,8051,7840,8385,8290,8181,8290,382879,8184,8184,8290,3133415367,3133415367,3133415367,,3
TQBR,2016-01-19,ГМКНорНик,GMKN,21877,3109447170,8399,8370,8622,8540,8529,8540,364563,8529,8529,8540,3109447170,3109447170,3109447170,,3
TQBR,2016-01-20,ГМКНорНик,GMKN,22021,3406563623,8475,8325,8709,8649,8533,8649,399239,8533,8533,8649,3406563623,3406563623,3406563623,,3
TQBR,2016-01-21,ГМКНорНик,GMKN,32310,5217122903,8650,8650,9216,9130,8996,9130,579900,8997,8997,9130,5217122903,5217122903,5217122903,,3
