,RTSI_RUB,RTSI_USD,IMOEX,CNY,USD,ZeroCoupon
2016-01-05,0.007505490530627323,0.004564381806534401,0.011282400147587968,0.0012764686178832196,0.0021323127392018915,0.0016499999999999987
2016-01-06,-0.011840163106753177,-0.02109738275541384,-0.0031696624537520535,0.0063109166199526445,0.019695564406132293,-0.0003999999999999976
2016-01-11,-0.03195885413380184,-0.05115224885317993,-0.03776228575350138,0.042946990116801365,0.01940877474585334,-0.00010000000000000286
2016-01-12,0.0026482788277992775,-0.005449630254745097,0.004612074601495264,0.011449000689179867,0.011205731456088941,-0.000899999999999998
2016-01-13,-0.00044019714674448096,-0.0024017718460566106,-0.0032656924806246934,-0.00722261496137433,-0.005034710958281896,0.017399999999999985
2016-01-14,0.00027223258229724934,-0.0009514885028472087,-0.0023801327176248277,-0.010295038649291044,-0.008164117010316052,-0.0006999999999999784
2016-01-15,-0.04607461498682086,-0.05773532085600075,-0.04308144481398413,0.018377094512010306,0.020407358220141614,0.0002999999999999947
2016-01-18,0.00925347827551204,-0.009311158075285708,0.008748041483250146,0.02544241196448782,0.021738850302179147,-0.00010000000000000286
2016-01-19,0.01442478951084114,0.02069871695779879,0.014256393187995764,-0.007221714949779967,-0.009194097616345043,-0.000899999999999998
2016-01-20,-0.02991157946575773,-0.04828181556588773,-0.009218746201900774,0.03395484949832772,0.03613752370769219,0.0007999999999999952
2016-01-21,0.060119023120649207,0.005903788927611009,0.028704788424855465,0.01834854966400079,0.015110565110564966,-0.0005000000000000004
2016-01-22,0.03968472252483979,0.09377966208947663,0.02432044073718531,-0.05931866910188199,-0.05574246641655567,-0.0032000000000000084
2016-01-25,-0.022285723675872338,-0.014217529649985461,-0.0008265521135286669,0.02228600371433398,0.0258382036296525,0.000800000000000009
2016-01-26,0.015227650222202627,0.0021714570770425823,-0.006728573425921591,-0.018835672997522646,-0.021739130434782705,-0.0012999999999999956
2016-01-27,0.01147707943253673,0.031944952785301295,0.024961730429733597,-0.008079515902338907,-0.008084291187739456,-0.0003000000000000086
2016-01-28,-2.5702123831128354e-05,0.03158029140125129,0.013939355791184438,-0.018920913973476727,-0.016351861150810443,-0.0011999999999999927
2016-01-29,0.017921692192953254,0.02498865402335193,0.00733098937316945,-0.011061238962544073,-0.01265756508763427,0.0006000000000000033
2016-02-01,-0.019351492746530363,-0.02000536696632227,-0.0065605181184591466,0.020113686051595803,0.024923770383136645,0.00030000000000000165
2016-02-02,0.002175185037784688,-0.03995125891646922,-0.00843103749696883,0.029575653664809298,0.03162592161428002,0.0
2016-02-03,-0.013664430609552913,-0.00606095178334598,-0.006773742222424439,-0.03497085761865115,-0.035746975111278334,-0.0058
2016-02-04,0.031754807105524474,0.06006083562901754,0.02380966014830932,0.002157031924072461,0.0008452096119837549,-0.004799999999999999
2016-02-05,-0.012122784999444525,-0.0174738095882625,-0.004105306136146347,0.01851054670684449,0.006509114058906862,-0.003799999999999998
2016-02-08,-0.029956151659182417,-0.030141477593641053,-0.020397733335579704,0.013524936601859716,0.013863431005550542,-0.002799999999999997
2016-02-09,0.0004340237661142332,-0.01940258227632341,-0.011987822986120333,0.015095913261050864,0.014730596862904788,-0.0049999999999999906
2016-02-10,0.014725231737438671,0.009038631458493374,0.004334555751555058,-0.014707090625256658,-0.013738848947942972,-0.002700000000000001
2016-02-11,-0.030442730133740104,-0.03627567792595565,-0.011121831722352815,0.017928619079386143,0.012543571737526404,-0.00040000000000001146
2016-02-12,0.028083549801604102,0.027646200137039223,0.008448334287617376,-0.014655525518145418,-0.015730224143129856,-0.0002999999999999947
2016-02-15,-0.0005013384966078283,0.02513407740252216,0.007242010613890848,-0.010650061106908026,-0.017743170793975027,0.01050000000000001
2016-02-16,-0.0015730970893794716,0.0019371076296590406,0.008811991671172414,0.003529411764705781,0.012332683560753788,0.00019999999999999185
2016-02-17,0.03467513464508798,0.038385007267749405,0.009379311917713018,-0.034500083738067344,-0.03680406680445203,0.0003999999999999976
2016-02-18,-0.000311263980166121,0.023212514100107384,0.02084380701685018,0.016990459670424896,0.019564985606141505,-0.0012999999999999956
2016-02-19,-0.01928159578564903,-0.03574227310762523,-0.007658213489301291,0.005295968752931701,0.006352941176470672,-0.00019999999999999185
2016-02-20,0.012378606257133828,0.009600815449461564,-0.0017955023224430766,-0.0074652188666440855,0.0008313199802560955,-0.0007000000000000062
2016-02-22,0.029234379884867323,0.03892489255747322,0.018004077870569457,-0.017948717948717885,-0.022712524334847495,-0.0012000000000000066
2016-02-24,-0.01540858742382778,-0.031189263014130386,-0.01377868501629742,0.009573542210617791,0.005458167330677277,0.0021000000000000046
2016-02-25,-0.0026762214307985976,0.010572973852222223,0.003683364213501683,-0.00387931034482758,-0.004305847234879923,-0.0006000000000000033
2016-02-26,0.0005249998326093408,0.015988625541561108,0.007117950651092775,-0.0006923409779315826,0.010811169330768644,-0.000899999999999998
2016-02-29,0.03061880983284726,0.014984487424912318,0.012902302488537076,-0.004243526457088476,-0.013123359580052507,-0.0011000000000000038
2016-03-01,-0.011203264574191296,0.02284079084287205,0.0021737122113718588,-0.023230126978604937,-0.024042553191489402,0.000999999999999994
2016-03-02,-0.0021163549183055297,-0.007884429523373537,-0.006143685235092344,-0.002671201773677967,-0.004387399171571826,0.0030999999999999917
2016-03-03,0.0175181893201255,0.02361054142739971,0.014103795203072922,-0.0014998794739707888,0.0013822362118518505,-0.0058
2016-03-04,0.020130593090468052,0.024631220416238664,0.010545061306619141,-0.009567153369515746,-0.016413606483443033,-0.005500000000000001
2016-03-07,0.0045955725793471736,0.02564008554842645,0.016653445421101143,-0.007312383204990391,-0.0069334444907599435,-0.005200000000000003
2016-03-09,0.00022249567655752145,-0.004277730777021871,-0.013914127264253229,-0.00745718936713935,-0.00461725734913454,-0.004900000000000005
2016-03-10,-0.022786571057891836,-0.0016753625963332741,0.000865639936271867,0.007504054388359993,0.004413769837365189,-0.004600000000000007
2016-03-11,0.0003047583988597946,0.013605197545071057,-0.004292619771520179,-0.01600582029829034,-0.021999860051780895,0.0006000000000000033
2016-03-14,-0.009445690547831953,-0.01779822372544626,-0.005984418131241509,-0.0044362292051756125,0.0011018416496142436,0.004500000000000004
2016-03-15,-0.0023276209169130757,-0.010715919763045756,-0.005495065163431234,0.01559598960267361,0.01543739279588352,0.0007999999999999813
2016-03-16,0.016454001071975588,0.01744072829949861,0.008700527206667141,-0.02423217550274226,-0.026984797297297303,-9.999999999998899e-05
2016-03-17,0.011257220039803562,0.04525282007727549,0.010469217614365034,-0.01104459994941398,-0.014799704873920572,-0.0011999999999999927
2016-03-18,0.005403282055415515,0.012966353856717738,0.012285869927384896,0.002453348489154017,0.004243759177679829,-0.00040000000000001146
2016-03-21,0.002303788998077705,-0.0017285596466055653,-0.004973824724924469,-0.012038288181878243,-0.008290807001125833,0.0007999999999999952
2016-03-22,7.784369033436711e-05,0.006133997283838788,-0.000540824363349901,-0.008569652336091083,-0.004747721978119235,0.00030000000000002247
2016-03-23,-0.0273020212026992,-0.02656858113428273,-0.012387902094595615,0.017769802911469457,0.018325925925925857,0.0012999999999999817
2016-03-24,0.00014796110088877157,-0.020961405130575428,-0.007032326359521002,-0.004748770153837456,-0.0030551231505593357,0.0002000000000000196
2016-03-25,-0.002437303703870075,0.017656917593182664,-0.00023571386479670497,-0.0025619047619047652,-0.0010652735418157366,9.999999999998899e-05
2016-03-28,-0.010741045686157857,-0.012235856277980184,-0.009066406605831023,0.0035233121043434235,0.00023373360212697314,-9.999999999998899e-05
2016-03-29,-0.0015185563308149908,-0.009686850540702396,-0.0022224505356051028,-0.00010466222645089118,-0.0061340733167810635,0.0002999999999999947
2016-03-30,0.018384270768551536,0.031348557065281835,0.012410578799046057,0.0010657633053885451,0.002792064658339477,9.999999999998899e-05
2016-03-31,0.0005956612804922656,0.0072885291886051196,0.0016326749103368066,-0.012091139818062535,-0.017804806565064335,0.0021000000000000185
2016-04-01,-0.009676212066441314,-0.01625199726089932,-0.007685113432915669,0.0010006831586948373,0.00850428944423709,0.0002999999999999947
2016-04-04,0.0107149123014052,-0.00023202932850718838,0.005315682610124162,0.011217594417155974,0.016347362970633883,0.005599999999999994
2016-04-05,-0.009359744224492372,-0.01758030077979944,-0.0051161445163503405,0.004277566539923949,-0.0020087336244541953,-0.001899999999999985
2016-04-06,0.01472766819640059,0.019702106046467716,0.0016585087421718825,-0.013724562233790816,-0.014176949330532818,-0.000899999999999998
2016-04-07,-0.01626813416805184,-0.004691355164544886,-0.0007096125622927385,0.0077639155470248244,0.006480248557478863,9.999999999998899e-05
