BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2016-11-22,BRQ7,,,,,0.0,,,
RFUD,2016-11-23,BRQ7,48.73,48.73,48.79,48.79,0.0,63049.99,2.0,0.0
RFUD,2016-11-24,BRQ7,,,,,0.0,,,
RFUD,2016-11-25,BRQ7,,,,,0.0,,,
RFUD,2016-11-28,BRQ7,,,,,0.0,,,
RFUD,2016-11-29,BRQ7,,,,,0.0,,,
RFUD,2016-11-30,BRQ7,,,,,0.0,,,
RFUD,2016-12-01,BRQ7,,,,,0.0,,,
RFUD,2016-12-02,BRQ7,53.03,53.03,55.69,55.69,426798.84,208916.86,6.0,12.0
RFUD,2016-12-05,BRQ7,,,,,447097.44,,,12.0
RFUD,2016-12-06,BRQ7,57.0,57.0,57.0,57.0,510300.28,72900.04,2.0,14.0
RFUD,2016-12-07,BRQ7,56.57,56.45,56.57,56.45,431754.48,72035.56,2.0,12.0
RFUD,2016-12-08,BRQ7,,,,,429498.72,,,12.0
RFUD,2016-12-09,BRQ7,,,,,427214.76,,,12.0
RFUD,2016-12-12,BRQ7,57.62,57.62,57.62,57.62,493958.36,35246.04,1.0,14.0
RFUD,2016-12-13,BRQ7,,,,,495690.86,,,14.0
RFUD,2016-12-14,BRQ7,,,,,497683.9,,,14.0
RFUD,2016-12-15,BRQ7,,,,,499165.52,,,14.0
RFUD,2016-12-16,BRQ7,,,,,497148.82,,,14.0
RFUD,2016-12-19,BRQ7,,,,,499515.8,,,14.0
RFUD,2016-12-20,BRQ7,,,,,493080.98,,,14.0
RFUD,2016-12-21,BRQ7,,,,,488360.04,,,14.0
RFUD,2016-12-22,BRQ7,57.15,57.15,57.15,57.15,555924.16,34745.26,1.0,16.0
RFUD,2016-12-23,BRQ7,,,,,558469.92,,,16.0
RFUD,2016-12-26,BRQ7,,,,,562087.68,,,16.0
RFUD,2016-12-27,BRQ7,,,,,562435.2,,,16.0
RFUD,2016-12-28,BRQ7,,,,,567130.4,,,16.0
RFUD,2016-12-29,BRQ7,,,,,569658.24,,,16.0
RFUD,2016-12-30,BRQ7,58.19,58.19,58.22,58.22,781883.74,142117.93,4.0,22.0
RFUD,2017-01-03,BRQ7,,,,,806937.34,,,22.0
RFUD,2017-01-04,BRQ7,,,,,773526.38,,,22.0
RFUD,2017-01-05,BRQ7,58.56,58.56,58.56,58.56,768135.06,34690.12,1.0,22.0
RFUD,2017-01-06,BRQ7,59.37,59.19,59.37,59.19,704159.8,70523.05,2.0,20.0
RFUD,2017-01-09,BRQ7,58.2,58.2,58.2,58.2,766870.06,34857.73,1.0,22.0
