BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2017-09-26,BRV8,56.7,56.6,57.0,56.83,65775.04,164194.55,5.0,2.0
RFUD,2017-09-27,BRV8,56.99,56.99,59.7,57.8,2149160.96,2077189.47,61.0,64.0
RFUD,2017-09-28,BRV8,,,,,2126666.24,,,64.0
RFUD,2017-09-29,BRV8,,,,,2096072.96,,,64.0
RFUD,2017-10-02,BRV8,,,,,2053845.76,,,64.0
RFUD,2017-10-03,BRV8,56.07,56.07,56.08,56.08,2207424.84,64918.47,2.0,68.0
RFUD,2017-10-04,BRV8,,,,,2179578.16,,,68.0
RFUD,2017-10-05,BRV8,55.88,55.83,55.88,55.83,2254211.4,64239.28,2.0,70.0
RFUD,2017-10-06,BRV8,56.36,56.36,56.36,56.36,2279837.0,32778.47,1.0,70.0
RFUD,2017-10-09,BRV8,,,,,2260133.4,,,70.0
RFUD,2017-10-10,BRV8,56.23,56.23,56.23,56.23,2279387.6,32562.68,1.0,70.0
RFUD,2017-10-11,BRV8,56.23,56.23,56.23,56.23,2279139.8,130236.56,4.0,70.0
RFUD,2017-10-12,BRV8,56.28,55.39,56.29,55.39,2237756.5,129008.78,4.0,70.0
RFUD,2017-10-13,BRV8,,,,,2263478.7,,,70.0
RFUD,2017-10-16,BRV8,,,,,2314349.8,,,70.0
RFUD,2017-10-17,BRV8,,,,,2302162.1,,,70.0
RFUD,2017-10-18,BRV8,57.65,57.65,57.65,57.65,2451876.78,66266.94,2.0,74.0
RFUD,2017-10-19,BRV8,57.0,57.0,57.0,57.0,2482647.92,32666.42,1.0,76.0
RFUD,2017-10-20,BRV8,,,,,2482386.48,,,76.0
RFUD,2017-10-23,BRV8,,,,,2495816.44,,,76.0
RFUD,2017-10-24,BRV8,,,,,2495053.4,,,76.0
RFUD,2017-10-25,BRV8,,,,,2526376.8,,,76.0
RFUD,2017-10-26,BRV8,,,,,2533697.88,,,76.0
RFUD,2017-10-27,BRV8,58.3,58.3,58.3,58.3,2250462.72,169645.7,5.0,66.0
RFUD,2017-10-30,BRV8,,,,,2273121.84,,,66.0
RFUD,2017-10-31,BRV8,,,,,2294221.38,,,66.0
RFUD,2017-11-01,BRV8,59.98,59.98,59.98,59.98,2094505.2,104725.26,3.0,60.0
RFUD,2017-11-02,BRV8,,,,,2078473.8,,,60.0
RFUD,2017-11-03,BRV8,,,,,2110441.2,,,60.0
RFUD,2017-11-07,BRV8,60.3,60.3,62.6,62.2,2058689.36,1218895.33,34.0,56.0
RFUD,2017-11-08,BRV8,61.52,61.5,62.0,62.0,2057420.4,440016.57,12.0,56.0
RFUD,2017-11-09,BRV8,62.35,62.35,62.68,62.68,2078423.76,110982.93,3.0,56.0
RFUD,2017-11-10,BRV8,,,,,2069262.16,,,56.0
RFUD,2017-11-13,BRV8,62.62,62.62,62.62,62.62,2083202.24,37200.04,1.0,56.0
RFUD,2017-11-14,BRV8,61.93,60.86,61.93,60.86,2044763.28,443563.17,12.0,56.0
RFUD,2017-11-15,BRV8,60.89,60.89,61.09,61.0,2421224.52,183438.11,5.0,66.0
