BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2017-11-27,BRZ8,,,,,0.0,,,
RFUD,2017-11-28,BRZ8,61.63,61.63,61.63,61.63,72131.42,35995.62,1.0,2.0
RFUD,2017-11-29,BRZ8,61.83,61.6,62.65,61.71,72234.02,472090.49,13.0,2.0
RFUD,2017-11-30,BRZ8,,,,,72609.78,,,2.0
RFUD,2017-12-01,BRZ8,,,,,73444.44,,,2.0
RFUD,2017-12-04,BRZ8,,,,,73027.52,,,2.0
RFUD,2017-12-05,BRZ8,62.55,61.05,62.55,61.05,143371.28,145267.64,4.0,4.0
RFUD,2017-12-06,BRZ8,61.45,61.45,61.45,61.45,72657.0,36328.5,1.0,2.0
RFUD,2017-12-07,BRZ8,,,,,72135.0,,,2.0
RFUD,2017-12-08,BRZ8,,,,,73873.14,,,2.0
RFUD,2017-12-11,BRZ8,,,,,74376.54,,,2.0
RFUD,2017-12-12,BRZ8,62.7,62.7,64.81,64.81,302728.72,151429.38,4.0,8.0
RFUD,2017-12-13,BRZ8,62.01,61.2,62.01,61.2,360178.5,145501.53,4.0,10.0
RFUD,2017-12-14,BRZ8,,,,,357998.8,,,10.0
RFUD,2017-12-15,BRZ8,,,,,359545.0,,,10.0
RFUD,2017-12-18,BRZ8,,,,,358300.7,,,10.0
RFUD,2017-12-19,BRZ8,,,,,360431.2,,,10.0
RFUD,2017-12-20,BRZ8,,,,,360596.6,,,10.0
RFUD,2017-12-21,BRZ8,,,,,360238.7,,,10.0
RFUD,2017-12-22,BRZ8,,,,,361155.6,,,10.0
RFUD,2017-12-25,BRZ8,62.3,62.3,62.45,62.45,362072.6,72327.55,2.0,10.0
RFUD,2017-12-26,BRZ8,62.82,62.82,62.82,62.82,290079.68,36259.96,1.0,8.0
RFUD,2017-12-27,BRZ8,,,,,294923.52,,,8.0
RFUD,2017-12-28,BRZ8,,,,,294681.52,,,8.0
RFUD,2017-12-29,BRZ8,,,,,297285.6,,,8.0
RFUD,2018-01-03,BRZ8,,,,,297710.0,,,8.0
RFUD,2018-01-04,BRZ8,,,,,297801.6,,,8.0
RFUD,2018-01-05,BRZ8,,,,,297438.0,,,8.0
RFUD,2018-01-09,BRZ8,66.13,66.0,67.08,66.0,1279750.82,646798.92,17.0,34.0
RFUD,2018-01-10,BRZ8,66.0,66.0,67.1,67.0,1297838.14,151604.35,4.0,34.0
RFUD,2018-01-11,BRZ8,67.31,67.3,67.31,67.3,1301922.22,76430.34,2.0,34.0
RFUD,2018-01-12,BRZ8,67.52,67.52,67.52,67.52,1298264.5,38184.25,1.0,34.0
RFUD,2018-01-15,BRZ8,67.9,67.9,67.9,67.9,1302385.3,38305.45,1.0,34.0
RFUD,2018-01-16,BRZ8,67.82,67.8,67.82,67.8,3900045.48,1453082.2,38.0,102.0
RFUD,2018-01-17,BRZ8,,,,,3887244.48,,,102.0
RFUD,2018-01-18,BRZ8,,,,,3876330.48,,,102.0
RFUD,2018-01-19,BRZ8,,,,,3875018.76,,,102.0
RFUD,2018-01-22,BRZ8,66.13,65.77,66.21,66.2,3294144.48,299258.41,8.0,88.0
RFUD,2018-01-23,BRZ8,66.5,66.08,66.5,66.08,2545673.84,373804.95,10.0,68.0
RFUD,2018-01-24,BRZ8,66.81,66.81,66.81,66.81,2558744.12,112885.77,3.0,68.0
RFUD,2018-01-25,BRZ8,67.29,67.06,67.29,67.2,4574634.0,1049938.3,28.0,122.0
RFUD,2018-01-26,BRZ8,,,,,4539372.34,,,122.0
RFUD,2018-01-29,BRZ8,,,,,4550864.74,,,122.0
RFUD,2018-01-30,BRZ8,,,,,4502091.58,,,122.0
RFUD,2018-01-31,BRZ8,,,,,4474892.9,,,122.0
RFUD,2018-02-01,BRZ8,65.93,65.93,65.93,65.93,4593655.64,37045.61,1.0,124.0
RFUD,2018-02-02,BRZ8,65.04,65.04,65.04,65.04,6746958.0,1100047.5,30.0,184.0
RFUD,2018-02-05,BRZ8,63.99,63.61,64.1,63.61,7601500.2,543407.33,15.0,210.0
RFUD,2018-02-06,BRZ8,64.18,64.18,64.18,64.18,7630313.6,36684.2,1.0,208.0
RFUD,2018-02-07,BRZ8,63.63,63.63,63.63,63.63,7625517.9,36311.99,1.0,210.0
RFUD,2018-02-08,BRZ8,61.55,61.55,61.55,61.55,7487715.9,35655.79,1.0,210.0
RFUD,2018-02-09,BRZ8,61.75,60.65,61.75,60.65,8209946.4,862771.34,24.0,232.0
RFUD,2018-02-12,BRZ8,60.0,59.62,60.85,60.7,8247634.2,140038.73,4.0,234.0
RFUD,2018-02-13,BRZ8,60.0,59.5,60.0,59.5,6121895.26,1282713.5,37.0,178.0
RFUD,2018-02-14,BRZ8,59.78,59.3,59.78,59.53,5954454.0,307730.3,9.0,174.0
RFUD,2018-02-15,BRZ8,61.0,61.0,61.0,61.0,5995954.74,34459.51,1.0,174.0
RFUD,2018-02-16,BRZ8,61.28,61.28,61.79,61.79,6048577.56,172662.02,5.0,174.0
RFUD,2018-02-19,BRZ8,61.01,61.01,61.16,61.16,4489650.1,1104546.07,32.0,130.0
RFUD,2018-02-20,BRZ8,61.4,61.4,61.4,61.4,4441909.76,34702.42,1.0,128.0
RFUD,2018-02-21,BRZ8,62.36,62.36,62.36,62.36,4518447.36,35300.37,1.0,128.0
RFUD,2018-02-22,BRZ8,,,,,4518581.76,,,128.0
RFUD,2018-02-26,BRZ8,,,,,4593054.72,,,128.0
RFUD,2018-02-27,BRZ8,,,,,4592883.2,,,128.0
RFUD,2018-02-28,BRZ8,63.7,63.5,63.7,63.5,4494873.6,71459.56,2.0,126.0
RFUD,2018-03-01,BRZ8,62.7,61.0,63.5,61.0,5135487.52,530505.89,15.0,148.0
RFUD,2018-03-02,BRZ8,60.39,60.39,61.61,60.56,5270276.24,908547.2,26.0,152.0
RFUD,2018-03-05,BRZ8,61.85,61.85,62.0,61.92,5079424.32,211722.42,6.0,144.0
RFUD,2018-03-06,BRZ8,62.6,62.6,62.85,62.85,5044213.46,177302.29,5.0,142.0
RFUD,2018-03-07,BRZ8,,,,,5063908.86,,,142.0
RFUD,2018-03-09,BRZ8,61.8,61.8,62.0,62.0,4989596.0,70162.66,2.0,142.0
RFUD,2018-03-12,BRZ8,62.3,62.3,62.99,62.82,5075674.98,107067.5,3.0,142.0
RFUD,2018-03-13,BRZ8,62.91,62.25,62.98,62.25,5380906.4,320283.97,9.0,152.0
RFUD,2018-03-14,BRZ8,62.01,61.9,62.01,61.9,5029311.98,212569.08,6.0,142.0
RFUD,2018-03-15,BRZ8,,,,,5059780.92,,,142.0
RFUD,2018-03-16,BRZ8,,,,,5133538.56,,,142.0
RFUD,2018-03-19,BRZ8,,,,,5178420.5,,,142.0
RFUD,2018-03-20,BRZ8,63.03,63.03,64.25,64.25,5462511.28,255305.92,7.0,148.0
RFUD,2018-03-21,BRZ8,64.94,64.94,65.0,65.0,5436736.32,74441.46,2.0,146.0
RFUD,2018-03-22,BRZ8,65.37,65.01,65.37,65.01,5352262.56,74542.81,2.0,144.0
RFUD,2018-03-23,BRZ8,65.99,65.99,66.27,66.27,5440070.88,75396.93,2.0,144.0
RFUD,2018-03-26,BRZ8,66.74,66.74,66.85,66.85,5524832.16,76670.64,2.0,144.0
RFUD,2018-03-27,BRZ8,66.5,66.5,66.5,66.5,5495417.28,38162.62,1.0,144.0
RFUD,2018-03-28,BRZ8,66.76,66.76,66.76,66.76,5541897.6,38485.4,1.0,144.0
RFUD,2018-03-29,BRZ8,,,,,5472357.12,,,144.0
RFUD,2018-03-30,BRZ8,,,,,5402489.76,,,144.0
RFUD,2018-04-02,BRZ8,66.7,66.7,66.7,66.7,5530223.52,38404.33,1.0,144.0
RFUD,2018-04-03,BRZ8,,,,,5389835.04,,,144.0
RFUD,2018-04-04,BRZ8,64.01,64.01,64.59,64.5,5418080.44,111100.28,3.0,146.0
RFUD,2018-04-05,BRZ8,,,,,5510799.2,,,146.0
RFUD,2018-04-06,BRZ8,,,,,5508546.42,,,146.0
RFUD,2018-04-09,BRZ8,64.5,64.18,65.5,65.5,5908195.5,390349.77,10.0,150.0
RFUD,2018-04-10,BRZ8,66.75,66.75,66.99,66.99,6309273.0,83972.94,2.0,150.0
RFUD,2018-04-11,BRZ8,68.2,67.7,68.31,67.7,6566036.72,260544.75,6.0,152.0
RFUD,2018-04-12,BRZ8,66.01,65.01,67.01,67.01,6465474.6,163257.94,4.0,156.0
RFUD,2018-04-13,BRZ8,67.99,67.99,67.99,67.99,6586398.0,42220.5,1.0,156.0
RFUD,2018-04-16,BRZ8,,,,,6581791.32,,,156.0
RFUD,2018-04-17,BRZ8,,,,,6509160.84,,,156.0
RFUD,2018-04-18,BRZ8,67.75,67.75,67.75,67.75,6517768.92,82767.06,2.0,156.0
RFUD,2018-04-19,BRZ8,69.37,69.37,70.87,70.15,6743013.4,213970.52,5.0,158.0
RFUD,2018-04-20,BRZ8,,,,,6756625.1,,,158.0
RFUD,2018-04-23,BRZ8,,,,,6827655.58,,,158.0
RFUD,2018-04-24,BRZ8,70.3,70.09,70.83,70.83,6803408.04,130052.8,3.0,156.0
RFUD,2018-04-25,BRZ8,69.4,69.4,69.71,69.71,6690285.14,86693.63,2.0,154.0
RFUD,2018-04-26,BRZ8,,,,,6798956.78,,,154.0
RFUD,2018-04-27,BRZ8,70.27,70.27,70.5,70.5,6660562.48,87496.02,2.0,152.0
RFUD,2018-04-28,BRZ8,,,,,6654733.28,,,152.0
RFUD,2018-04-30,BRZ8,,,,,6718532.24,,,152.0
RFUD,2018-05-02,BRZ8,71.45,69.65,71.45,69.65,7474281.36,629218.89,14.0,168.0
RFUD,2018-05-03,BRZ8,70.29,69.67,70.29,69.7,7441731.36,266583.26,6.0,168.0
RFUD,2018-05-04,BRZ8,70.19,70.19,70.48,70.48,7461807.36,88497.61,2.0,168.0
RFUD,2018-05-07,BRZ8,71.99,71.99,73.0,73.0,7233513.34,500199.91,11.0,158.0
RFUD,2018-05-08,BRZ8,72.57,70.7,72.57,70.8,7111709.56,730478.49,16.0,158.0
RFUD,2018-05-10,BRZ8,72.99,72.99,74.3,73.94,9508264.48,1557938.84,34.0,208.0
RFUD,2018-05-11,BRZ8,73.74,73.74,75.0,74.22,11834315.52,1940446.79,42.0,258.0
RFUD,2018-05-14,BRZ8,74.0,74.0,75.31,75.31,11909824.0,920787.28,20.0,256.0
RFUD,2018-05-15,BRZ8,75.48,75.36,76.17,76.06,12273070.32,331820.55,7.0,258.0
RFUD,2018-05-16,BRZ8,75.67,75.28,75.67,75.61,11909618.04,468367.84,10.0,254.0
RFUD,2018-05-17,BRZ8,76.9,76.9,77.86,77.86,11951826.8,573548.15,12.0,248.0
RFUD,2018-05-18,BRZ8,77.29,77.22,77.33,77.22,11863133.52,241351.68,5.0,246.0
RFUD,2018-05-21,BRZ8,76.81,76.01,76.82,76.4,12088714.24,850408.05,18.0,256.0
RFUD,2018-05-22,BRZ8,77.87,76.87,78.0,78.0,9814655.76,1902227.84,40.0,206.0
RFUD,2018-05-23,BRZ8,76.75,76.15,77.08,76.9,9759886.54,613173.53,13.0,206.0
RFUD,2018-05-24,BRZ8,76.88,76.65,76.88,76.75,10012230.0,236266.71,5.0,212.0
RFUD,2018-05-25,BRZ8,76.02,74.25,76.55,74.25,10271824.56,1831792.99,39.0,222.0
RFUD,2018-05-28,BRZ8,74.01,73.4,74.01,73.4,10255759.36,229989.86,5.0,224.0
RFUD,2018-05-29,BRZ8,73.58,73.53,74.3,73.61,176545731.6,83744520.06,1812.0,3834.0
RFUD,2018-05-30,BRZ8,73.01,72.99,75.2,75.1,179651596.8,2691851.27,58.0,3840.0
RFUD,2018-05-31,BRZ8,75.4,75.36,76.63,75.76,181896999.44,898651.45,19.0,3848.0
RFUD,2018-06-01,BRZ8,75.72,75.0,75.72,75.05,179125746.8,514335.08,11.0,3848.0
RFUD,2018-06-04,BRZ8,74.92,74.01,74.92,74.55,175219219.78,2714452.9,59.0,3806.0
RFUD,2018-06-05,BRZ8,74.19,72.98,74.28,73.05,174303923.68,914090.76,20.0,3824.0
RFUD,2018-06-06,BRZ8,74.68,74.24,74.68,74.24,174491456.04,184649.27,4.0,3828.0
RFUD,2018-06-07,BRZ8,74.2,74.2,74.99,74.99,178434985.08,416919.74,9.0,3828.0
RFUD,2018-06-08,BRZ8,75.13,75.02,75.27,75.24,179557447.2,281834.58,6.0,3830.0
RFUD,2018-06-09,BRZ8,75.0,75.0,75.0,75.0,179660435.9,46927.5,1.0,3830.0
RFUD,2018-06-11,BRZ8,75.99,75.99,75.99,75.99,180072582.2,47592.54,1.0,3830.0
RFUD,2018-06-13,BRZ8,74.01,74.01,74.51,74.51,178545372.32,92674.85,2.0,3832.0
RFUD,2018-06-14,BRZ8,75.2,75.2,75.2,75.2,177434130.64,46732.06,1.0,3832.0
RFUD,2018-06-15,BRZ8,74.1,72.0,74.1,72.0,174462328.92,875990.0,19.0,3846.0
RFUD,2018-06-18,BRZ8,71.8,71.71,72.1,72.1,177470054.76,137002.47,3.0,3846.0
RFUD,2018-06-19,BRZ8,72.87,72.7,73.57,72.7,180185729.4,837983.88,18.0,3870.0
RFUD,2018-06-20,BRZ8,,,,,180523812.6,,,3870.0
RFUD,2018-06-21,BRZ8,72.5,71.7,72.5,71.95,180025277.38,1698673.59,37.0,3926.0
RFUD,2018-06-22,BRZ8,71.91,71.91,73.16,73.14,181022940.56,1886823.69,41.0,3928.0
RFUD,2018-06-25,BRZ8,73.6,72.5,73.6,72.5,180099630.72,322136.0,7.0,3936.0
