BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2016-08-19,BRG7,51.86,50.87,52.95,52.39,402089.88,668761.97,20.0,12.0
RFUD,2016-08-22,BRG7,52.6,51.02,52.6,51.02,132256.68,134120.56,4.0,4.0
RFUD,2016-08-23,BRG7,51.28,51.28,51.48,51.48,0.0,331015.24,10.0,0.0
RFUD,2016-08-24,BRG7,50.96,50.66,50.96,50.66,0.0,132631.98,4.0,0.0
RFUD,2016-08-25,BRG7,,,,,0.0,,,
RFUD,2016-08-26,BRG7,50.88,50.58,51.69,51.36,264434.56,329474.85,10.0,8.0
RFUD,2016-08-29,BRG7,50.9,48.51,51.03,50.53,5062831.62,3228002.18,101.0,154.0
RFUD,2016-08-30,BRG7,50.66,49.89,52.27,50.0,391857.0,9847843.18,294.0,12.0
RFUD,2016-08-31,BRG7,48.61,48.61,48.61,48.61,381121.44,31760.12,1.0,12.0
RFUD,2016-09-01,BRG7,48.44,47.41,48.62,47.41,2683000.48,1424103.83,45.0,86.0
RFUD,2016-09-02,BRG7,47.0,47.0,48.18,48.18,3451881.4,956741.41,31.0,110.0
RFUD,2016-09-05,BRG7,49.81,48.3,49.81,48.7,7338842.08,5690629.39,178.0,232.0
RFUD,2016-09-06,BRG7,49.03,47.7,49.03,47.81,14201524.8,3593890.82,116.0,460.0
RFUD,2016-09-07,BRG7,48.49,48.27,48.74,48.5,14587486.92,1123158.13,36.0,466.0
RFUD,2016-09-08,BRG7,49.02,49.02,51.1,51.0,15596208.0,1283004.72,40.0,480.0
RFUD,2016-09-09,BRG7,50.79,50.03,51.35,50.03,15777693.92,492156.24,15.0,488.0
RFUD,2016-09-12,BRG7,50.0,48.5,50.0,49.61,16243050.34,2199128.11,69.0,506.0
RFUD,2016-09-13,BRG7,49.86,48.63,49.86,48.8,17366998.74,1023197.44,32.0,546.0
RFUD,2016-09-14,BRG7,48.72,47.86,48.72,47.94,18704628.0,6520431.51,208.0,600.0
RFUD,2016-09-15,BRG7,47.92,47.54,48.57,48.57,22578062.86,4834446.1,156.0,718.0
RFUD,2016-09-16,BRG7,48.92,47.56,48.92,47.95,22721360.48,438348.59,14.0,728.0
RFUD,2016-09-19,BRG7,47.96,47.76,50.69,48.3,22885562.16,7156695.45,224.0,734.0
RFUD,2016-09-20,BRG7,47.97,47.2,48.05,47.84,29135645.52,3470259.91,113.0,942.0
RFUD,2016-09-21,BRG7,48.01,47.62,49.0,48.75,28948624.32,2867529.57,92.0,924.0
RFUD,2016-09-22,BRG7,48.93,48.89,49.58,49.52,21679031.36,6142443.47,196.0,688.0
RFUD,2016-09-23,BRG7,48.87,48.87,49.95,49.43,21636478.56,1719511.72,54.0,688.0
RFUD,2016-09-26,BRG7,49.11,48.08,49.11,48.78,21411282.4,653108.3,21.0,688.0
RFUD,2016-09-27,BRG7,48.43,47.77,48.43,47.8,22810367.4,4239313.76,138.0,746.0
RFUD,2016-09-28,BRG7,47.95,47.79,48.6,47.79,21806932.9,6098359.97,198.0,710.0
RFUD,2016-09-29,BRG7,48.47,48.47,51.52,51.41,18720558.78,13009683.21,409.0,578.0
RFUD,2016-09-30,BRG7,51.39,50.5,51.61,51.57,19232724.32,1063098.39,33.0,592.0
RFUD,2016-10-03,BRG7,51.56,51.3,52.19,51.82,19647744.96,1093652.55,34.0,608.0
RFUD,2016-10-04,BRG7,52.02,52.0,52.62,52.44,19137995.36,1175840.08,36.0,584.0
RFUD,2016-10-05,BRG7,52.73,52.15,53.39,53.28,18879235.12,2608772.06,79.0,568.0
RFUD,2016-10-06,BRG7,53.45,53.2,54.0,53.99,19235427.64,1238768.64,37.0,572.0
RFUD,2016-10-07,BRG7,53.99,53.5,54.41,53.5,19124006.4,1171624.77,35.0,576.0
RFUD,2016-10-10,BRG7,53.45,53.45,55.05,54.76,19753097.46,1189760.38,35.0,582.0
RFUD,2016-10-11,BRG7,54.81,53.87,54.81,53.87,19394943.4,991061.13,29.0,574.0
RFUD,2016-10-12,BRG7,53.89,53.25,54.16,53.25,19287593.92,305264.65,9.0,574.0
RFUD,2016-10-13,BRG7,53.36,52.75,53.77,53.77,20198399.76,1482631.77,44.0,594.0
RFUD,2016-10-14,BRG7,53.39,53.3,53.95,53.39,20594032.56,1252930.06,37.0,612.0
RFUD,2016-10-17,BRG7,53.52,52.85,53.77,53.07,20482875.0,470914.89,14.0,612.0
RFUD,2016-10-18,BRG7,53.41,53.01,53.56,53.27,21393026.82,1441774.18,43.0,638.0
RFUD,2016-10-19,BRG7,53.19,53.19,54.54,54.33,22138632.48,806987.55,24.0,654.0
RFUD,2016-10-20,BRG7,54.5,53.25,54.54,53.25,26138343.54,4578277.28,136.0,786.0
RFUD,2016-10-21,BRG7,53.36,53.22,53.8,53.77,32277283.2,3876947.64,116.0,960.0
RFUD,2016-10-24,BRG7,53.5,53.26,54.0,53.27,35603475.9,2532376.56,76.0,1074.0
RFUD,2016-10-25,BRG7,53.26,52.75,53.99,53.15,36733040.72,5009484.2,151.0,1112.0
RFUD,2016-10-26,BRG7,52.77,51.93,52.97,52.49,42971272.72,5568495.72,169.0,1304.0
RFUD,2016-10-27,BRG7,52.3,52.28,52.88,52.85,48202615.42,7210664.77,218.0,1454.0
RFUD,2016-10-28,BRG7,52.97,52.39,52.97,52.39,49051369.44,764176.51,23.0,1488.0
RFUD,2016-10-31,BRG7,52.14,50.37,52.14,50.37,36666568.96,9632570.32,293.0,1148.0
RFUD,2016-11-01,BRG7,50.4,49.77,50.4,50.07,35490817.6,5761383.05,183.0,1120.0
RFUD,2016-11-02,BRG7,50.1,48.15,50.19,48.16,72869567.76,31467143.39,1006.0,2376.0
RFUD,2016-11-03,BRG7,48.2,48.11,48.86,48.16,83838547.44,8018646.22,261.0,2734.0
RFUD,2016-11-07,BRG7,48.05,47.4,48.1,47.4,99764250.56,12233128.55,401.0,3302.0
RFUD,2016-11-08,BRG7,47.46,47.45,48.43,47.95,102309111.52,12566594.51,412.0,3344.0
RFUD,2016-11-09,BRG7,48.17,47.4,48.38,47.87,106357324.64,14730284.61,482.0,3472.0
RFUD,2016-11-10,BRG7,47.7,47.6,48.82,47.91,115479774.0,12548051.16,401.0,3720.0
RFUD,2016-11-11,BRG7,48.03,46.79,48.03,46.79,116857866.4,8752749.51,280.0,3784.0
RFUD,2016-11-14,BRG7,46.5,45.95,46.81,45.95,118038098.64,9362114.43,305.0,3878.0
RFUD,2016-11-15,BRG7,45.88,45.65,48.1,47.73,64608170.0,57879083.08,1885.0,2090.0
RFUD,2016-11-16,BRG7,47.86,47.86,49.17,49.14,75670681.68,32879272.74,1046.0,2376.0
RFUD,2016-11-17,BRG7,48.81,48.15,49.4,48.7,75611488.96,17101166.92,543.0,2408.0
RFUD,2016-11-18,BRG7,48.7,47.75,48.91,48.1,79627852.8,17030828.77,546.0,2560.0
RFUD,2016-11-21,BRG7,47.94,47.94,50.44,50.44,102838727.52,19634952.7,618.0,3186.0
RFUD,2016-11-22,BRG7,50.46,50.44,51.8,50.88,133460658.0,33082310.06,1013.0,4100.0
RFUD,2016-11-23,BRG7,50.79,50.1,51.38,51.0,128925329.3,13614389.93,415.0,3910.0
RFUD,2016-11-24,BRG7,50.81,50.62,51.0,50.94,134280743.6,12304572.21,376.0,4094.0
RFUD,2016-11-25,BRG7,50.79,49.61,50.79,49.61,567597672.48,277547921.4,8518.0,17656.0
RFUD,2016-11-28,BRG7,49.6,48.34,50.25,50.15,235497572.48,395598863.38,12540.0,7264.0
RFUD,2016-11-29,BRG7,49.75,47.9,50.5,48.24,235340212.38,114670528.7,3607.0,7462.0
RFUD,2016-11-30,BRG7,48.14,47.74,52.05,51.68,370120984.2,546967136.51,16647.0,11110.0
RFUD,2016-12-01,BRG7,51.54,51.49,54.43,54.34,711409040.0,886452384.11,26189.0,20500.0
RFUD,2016-12-02,BRG7,54.5,53.53,55.03,54.93,858422857.86,680371383.23,19621.0,24474.0
RFUD,2016-12-05,BRG7,54.79,54.56,55.94,55.57,1136013378.94,648617910.13,18398.0,32098.0
RFUD,2016-12-06,BRG7,55.65,54.21,55.7,54.48,1063746328.32,544597021.17,15499.0,30528.0
RFUD,2016-12-07,BRG7,54.7,53.83,54.92,53.9,1049659448.96,438698371.14,12657.0,30554.0
RFUD,2016-12-08,BRG7,54.09,53.63,54.71,54.58,910597424.8,657694609.45,19168.0,26332.0
RFUD,2016-12-09,BRG7,54.55,53.7,55.15,55.03,923521489.8,643690176.02,18767.0,26790.0
RFUD,2016-12-12,BRG7,54.95,54.73,57.91,56.9,3271449835.04,2448096348.05,70010.0,93992.0
RFUD,2016-12-13,BRG7,56.97,55.84,57.09,56.07,3459844475.28,1237969679.24,36020.0,101448.0
RFUD,2016-12-14,BRG7,56.14,55.46,56.58,56.1,4502880260.48,1392748580.39,40739.0,131138.0
RFUD,2016-12-15,BRG7,56.17,53.85,56.17,54.31,4327069336.0,1449733007.32,42821.0,128824.0
RFUD,2016-12-16,BRG7,54.38,54.01,55.7,55.5,4680458604.54,1082846727.28,31984.0,136694.0
RFUD,2016-12-19,BRG7,55.46,55.42,56.29,55.69,5134928758.96,923326527.79,26788.0,149396.0
RFUD,2016-12-20,BRG7,55.55,55.33,56.49,56.38,5649173711.72,1012640517.58,29493.0,163156.0
RFUD,2016-12-21,BRG7,56.25,55.67,56.49,55.72,5796675517.6,1154346609.12,33703.0,170470.0
RFUD,2016-12-22,BRG7,55.79,54.82,55.97,55.93,6256855381.24,1642966268.24,48774.0,184006.0
RFUD,2016-12-23,BRG7,55.82,55.01,55.89,55.59,8341156758.48,2486150973.26,73122.0,245076.0
RFUD,2016-12-26,BRG7,55.7,55.57,55.97,55.85,9238779552.68,824886672.2,24240.0,271178.0
RFUD,2016-12-27,BRG7,55.84,55.74,56.56,56.54,10727653295.8,2173542120.84,63883.0,312410.0
RFUD,2016-12-28,BRG7,56.54,56.5,57.27,57.1,11618725843.6,6816225982.36,198121.0,336860.0
RFUD,2016-12-29,BRG7,57.08,56.83,57.25,57.14,12830378941.08,8176012300.45,235869.0,369638.0
RFUD,2016-12-30,BRG7,57.17,56.45,57.5,56.62,14542917222.0,21324069304.39,614558.0,420760.0
RFUD,2017-01-03,BRG7,56.59,56.51,58.35,57.73,19771707115.82,34219193594.26,980993.0,566126.0
RFUD,2017-01-04,BRG7,57.71,55.29,57.71,55.59,15243756150.42,61903821667.95,1827711.0,452502.0
RFUD,2017-01-05,BRG7,55.66,55.64,57.35,57.06,14158117233.0,27465469892.4,820767.0,418860.0
RFUD,2017-01-06,BRG7,57.05,55.99,57.44,56.61,15017227633.44,39635938968.71,1173139.0,445968.0
RFUD,2017-01-09,BRG7,56.64,55.53,57.28,55.65,15953953197.0,37568803595.22,1112175.0,478660.0
RFUD,2017-01-10,BRG7,55.64,54.41,55.64,54.44,18786214063.4,48125649208.04,1455819.0,575092.0
RFUD,2017-01-11,BRG7,54.43,53.63,54.87,54.61,20283207275.76,61718766551.16,1886116.0,614042.0
RFUD,2017-01-12,BRG7,54.65,54.65,56.43,56.14,17989506411.12,70956550916.46,2152878.0,540734.0
RFUD,2017-01-13,BRG7,56.11,55.28,56.25,55.68,18301270327.8,50583095435.14,1521134.0,551820.0
RFUD,2017-01-16,BRG7,55.6,55.19,55.84,55.35,17985008128.0,31537068568.45,949678.0,542720.0
RFUD,2017-01-17,BRG7,55.45,55.32,56.93,55.79,16863483252.54,48556068485.33,1453520.0,509398.0
RFUD,2017-01-18,BRG7,55.75,54.1,56.19,54.38,15706219649.12,57699668242.58,1767574.0,487256.0
RFUD,2017-01-19,BRG7,54.44,53.77,55.25,54.59,13100551480.26,60362264021.25,1850653.0,400734.0
RFUD,2017-01-20,BRG7,54.45,53.9,55.8,55.73,15186395197.5,48584153873.91,1486414.0,456490.0
RFUD,2017-01-23,BRG7,55.7,54.65,55.8,54.98,14415667438.56,44987570772.21,1372694.0,441424.0
RFUD,2017-01-24,BRG7,54.99,54.99,55.86,55.58,14901248481.92,47247697479.18,1437395.0,452384.0
RFUD,2017-01-25,BRG7,55.65,54.75,55.78,55.59,15736317052.46,46175520906.63,1412555.0,477878.0
RFUD,2017-01-26,BRG7,55.58,54.99,56.56,56.38,18590239389.4,53599396473.67,1594873.0,545860.0
RFUD,2017-01-27,BRG7,56.37,55.23,56.49,55.51,15165552108.62,46379848053.34,1388323.0,456746.0
RFUD,2017-01-30,BRG7,55.45,54.86,55.69,55.14,12998598728.4,33373285351.48,1006095.0,393018.0
RFUD,2017-01-31,BRG7,55.1,54.87,55.99,55.84,10080321674.0,19072021610.6,575235.0,301150.0
RFUD,2017-02-01,BRG7,55.79,55.61,55.99,55.67,0.0,6230963460.33,185517.0,0.0
RFUD,2017-02-02,BRG7,,,,,0.0,,,
