BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2019-05-28,BRM0,,,,,0.0,,,
RFUD,2019-05-29,BRM0,67.08,67.08,68.92,68.92,2554222.8,1343991.83,30.0,60.0
RFUD,2019-05-30,BRM0,65.01,64.36,65.01,64.36,2514724.2,84247.43,2.0,60.0
RFUD,2019-05-31,BRM0,63.94,62.06,64.13,63.74,2489136.94,740340.95,18.0,62.0
RFUD,2019-06-03,BRM0,61.85,60.39,62.93,62.93,2523868.16,282946.53,7.0,64.0
RFUD,2019-06-04,BRM0,,,,,2538519.68,,,64.0
RFUD,2019-06-05,BRM0,,,,,2474279.04,,,64.0
RFUD,2019-06-06,BRM0,60.22,60.22,60.22,60.22,2511632.0,39231.22,1.0,64.0
RFUD,2019-06-07,BRM0,,,,,2525146.24,,,64.0
RFUD,2019-06-10,BRM0,,,,,2506802.56,,,64.0
RFUD,2019-06-11,BRM0,,,,,2498969.6,,,64.0
RFUD,2019-06-13,BRM0,61.73,61.73,61.73,61.73,2630701.92,39859.12,1.0,66.0
RFUD,2019-06-14,BRM0,61.35,61.35,61.35,61.35,2621030.28,670957.87,17.0,66.0
RFUD,2019-06-17,BRM0,,,,,2575442.1,,,66.0
RFUD,2019-06-18,BRM0,62.13,62.13,62.13,62.13,2518983.68,39781.71,1.0,64.0
RFUD,2019-06-19,BRM0,61.33,61.33,61.73,61.73,2510700.16,78587.1,2.0,64.0
RFUD,2019-06-20,BRM0,64.0,64.0,64.0,64.0,2500085.76,80647.94,2.0,64.0
RFUD,2019-06-21,BRM0,,,,,2547564.8,,,64.0
RFUD,2019-06-24,BRM0,,,,,2517752.32,,,64.0
RFUD,2019-06-25,BRM0,,,,,2530145.28,,,64.0
RFUD,2019-06-26,BRM0,64.07,64.07,64.18,64.18,2432638.8,80842.13,2.0,60.0
RFUD,2019-06-27,BRM0,,,,,2421636.6,,,60.0
RFUD,2019-06-28,BRM0,65.82,64.32,65.82,64.34,2344111.18,122602.53,3.0,58.0
RFUD,2019-07-01,BRM0,64.9,64.38,65.7,65.04,2001507.5,204423.06,5.0,50.0
RFUD,2019-07-02,BRM0,,,,,1953087.5,,,50.0
RFUD,2019-07-03,BRM0,,,,,1961016.5,,,50.0
RFUD,2019-07-04,BRM0,,,,,1972309.0,,,50.0
RFUD,2019-07-05,BRM0,,,,,1983181.5,,,50.0
RFUD,2019-07-08,BRM0,,,,,1999116.5,,,50.0
RFUD,2019-07-09,BRM0,,,,,2004545.5,,,50.0
RFUD,2019-07-10,BRM0,63.66,63.27,63.66,63.27,1062697.22,520453.83,13.0,26.0
RFUD,2019-07-11,BRM0,65.01,63.94,65.1,64.48,823269.6,364511.79,9.0,20.0
RFUD,2019-07-12,BRM0,64.25,64.25,64.25,64.25,819526.2,40534.68,1.0,20.0
RFUD,2019-07-15,BRM0,63.98,63.95,63.98,63.95,732728.7,80179.62,2.0,18.0
RFUD,2019-07-16,BRM0,,,,,728642.52,,,18.0
RFUD,2019-07-17,BRM0,,,,,703179.0,,,18.0
RFUD,2019-07-18,BRM0,60.03,60.01,61.7,61.7,685277.82,114724.28,3.0,18.0
RFUD,2019-07-19,BRM0,60.86,60.86,61.03,61.03,686130.12,115218.04,3.0,18.0
RFUD,2019-07-22,BRM0,61.53,61.53,61.87,61.87,855562.4,77778.4,2.0,22.0
RFUD,2019-07-23,BRM0,,,,,856111.96,,,22.0
RFUD,2019-07-24,BRM0,,,,,868334.06,,,22.0
RFUD,2019-07-25,BRM0,60.8,60.8,60.8,60.8,1018255.16,76798.92,2.0,26.0
RFUD,2019-07-26,BRM0,62.1,62.1,63.05,63.05,864578.88,118823.6,3.0,22.0
RFUD,2019-07-29,BRM0,,,,,863306.84,,,22.0
RFUD,2019-07-30,BRM0,,,,,874628.48,,,22.0
RFUD,2019-07-31,BRM0,,,,,880452.32,,,22.0
RFUD,2019-08-01,BRM0,,,,,869349.8,,,22.0
RFUD,2019-08-02,BRM0,60.34,60.26,61.09,61.09,789121.2,237879.53,6.0,20.0
RFUD,2019-08-05,BRM0,,,,,768200.4,,,20.0
RFUD,2019-08-06,BRM0,,,,,762896.4,,,20.0
RFUD,2019-08-07,BRM0,58.2,56.9,58.34,56.9,1033096.96,189852.74,5.0,28.0
RFUD,2019-08-08,BRM0,56.98,56.98,56.98,56.98,1021346.2,37121.62,1.0,28.0
RFUD,2019-08-09,BRM0,,,,,1048448.8,,,28.0
