BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2020-08-24,BRU1,,,,,0.0,,,
RFUD,2020-08-25,BRU1,49.9,48.4,49.9,48.79,73444.18,148115.17,4.0,2.0
RFUD,2020-08-26,BRU1,48.67,48.67,49.68,49.68,74879.44,74237.82,2.0,2.0
RFUD,2020-08-27,BRU1,,,,,73678.56,,,2.0
RFUD,2020-08-28,BRU1,,,,,71988.72,,,2.0
RFUD,2020-08-31,BRU1,49.1,48.78,49.75,48.78,144937.96,182531.23,5.0,4.0
RFUD,2020-09-01,BRU1,48.33,47.75,48.78,48.78,1003960.72,1026864.87,29.0,28.0
RFUD,2020-09-02,BRU1,48.77,47.94,49.54,48.75,1031630.04,221154.29,6.0,28.0
RFUD,2020-09-03,BRU1,47.28,47.03,47.6,47.5,1505432.88,608813.67,17.0,42.0
RFUD,2020-09-04,BRU1,48.74,48.74,48.74,48.74,1584169.84,36827.46,1.0,44.0
RFUD,2020-09-07,BRU1,47.25,46.4,48.32,48.32,2263703.04,1006436.35,28.0,64.0
RFUD,2020-09-08,BRU1,47.23,44.62,47.28,45.0,3233538.9,940417.08,27.0,94.0
RFUD,2020-09-09,BRU1,45.49,43.45,45.6,45.1,3467372.7,774863.94,23.0,102.0
RFUD,2020-09-10,BRU1,45.01,45.0,45.79,45.79,4859920.18,710175.77,21.0,142.0
RFUD,2020-09-15,BRU1,45.32,45.1,45.45,45.1,5412612.8,542963.99,16.0,160.0
RFUD,2020-09-16,BRU1,46.01,46.01,46.01,46.01,5505769.6,34411.06,1.0,160.0
RFUD,2020-09-17,BRU1,46.12,46.12,47.14,47.14,5675595.2,70177.4,2.0,160.0
RFUD,2020-09-18,BRU1,47.15,47.1,47.15,47.1,5695753.6,106833.17,3.0,160.0
RFUD,2020-09-21,BRU1,45.5,45.25,45.5,45.25,5789675.6,104158.09,3.0,164.0
RFUD,2020-09-22,BRU1,,,,,5666113.08,,,164.0
RFUD,2020-09-23,BRU1,,,,,5675926.84,,,164.0
RFUD,2020-09-24,BRU1,,,,,5672799.36,,,164.0
RFUD,2020-09-25,BRU1,,,,,5814529.8,,,164.0
RFUD,2020-09-28,BRU1,45.41,45.41,45.41,45.41,5958443.84,35894.24,1.0,166.0
RFUD,2020-09-29,BRU1,45.0,45.0,45.0,45.0,5983513.2,35616.15,1.0,168.0
RFUD,2020-09-30,BRU1,44.96,44.93,45.0,44.93,6140258.08,209552.19,6.0,176.0
RFUD,2020-10-01,BRU1,44.84,44.84,44.9,44.9,6742166.76,347776.67,10.0,196.0
