BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2021-04-27,BRK2,,,,,0.0,,,0
RFUD,2021-04-28,BRK2,61.02,61.0,63.4,63.4,0.0,185269.2,4.0,0
RFUD,2021-04-29,BRK2,64.7,62.62,64.7,62.62,93270.24,474096.4,10.0,2
RFUD,2021-04-30,BRK2,64.0,63.01,64.0,63.01,94715.24,143230.32,3.0,2
RFUD,2021-05-04,BRK2,,,,,96755.7,,,2
RFUD,2021-05-05,BRK2,66.0,66.0,66.0,66.0,493466.8,197386.72,4.0,10
RFUD,2021-05-06,BRK2,65.3,65.0,65.3,65.0,869617.8,193694.34,4.0,18
RFUD,2021-05-07,BRK2,,,,,859148.82,,,18
RFUD,2021-05-10,BRK2,,,,,861184.26,,,18
RFUD,2021-05-11,BRK2,,,,,866748.78,,,18
RFUD,2021-05-12,BRK2,,,,,886447.44,,,18
RFUD,2021-05-13,BRK2,,,,,856804.86,,,18
RFUD,2021-05-14,BRK2,64.66,63.71,64.69,63.71,947544.2,142804.74,3.0,20
RFUD,2021-05-17,BRK2,,,,,971115.4,,,20
RFUD,2021-05-18,BRK2,,,,,966645.6,,,20
RFUD,2021-05-19,BRK2,64.71,62.63,65.19,62.63,1477867.52,425015.25,9.0,32
RFUD,2021-05-20,BRK2,63.5,62.88,63.5,62.88,1479345.92,139232.74,3.0,32
RFUD,2021-05-21,BRK2,62.26,62.26,63.4,63.4,1490437.76,92314.87,2.0,32
RFUD,2021-05-24,BRK2,63.47,59.29,70.07,64.49,1516006.08,998250.9,21.0,32
RFUD,2021-05-25,BRK2,65.0,65.0,65.0,65.0,1432622.1,47754.07,1.0,30
RFUD,2021-05-26,BRK2,,,,,1437921.0,,,30
RFUD,2021-05-27,BRK2,,,,,1440035.4,,,30
RFUD,2021-05-28,BRK2,,,,,1440299.4,,,30
RFUD,2021-05-31,BRK2,67.11,64.75,67.11,64.75,1426002.9,96799.35,2.0,30
RFUD,2021-06-01,BRK2,,,,,1479427.8,,,30
RFUD,2021-06-02,BRK2,67.4,67.4,67.4,67.4,1578896.32,49340.51,1.0,32
