BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2020-05-26,BRM1,,,,,0.0,,,
RFUD,2020-05-27,BRM1,,,,,0.0,,,
RFUD,2020-05-28,BRM1,38.4,38.37,40.0,40.0,169324.56,137682.03,5.0,6.0
RFUD,2020-05-29,BRM1,,,,,173859.3,,,6.0
RFUD,2020-06-01,BRM1,40.97,40.97,40.97,40.97,174721.98,28501.19,1.0,6.0
RFUD,2020-06-02,BRM1,43.27,43.27,43.27,43.27,238624.0,29828.0,1.0,8.0
RFUD,2020-06-03,BRM1,,,,,232622.96,,,8.0
RFUD,2020-06-04,BRM1,,,,,238789.36,,,8.0
RFUD,2020-06-05,BRM1,,,,,243570.96,,,8.0
RFUD,2020-06-08,BRM1,45.7,45.0,45.7,45.0,844353.72,342710.29,11.0,28.0
RFUD,2020-06-09,BRM1,44.0,38.35,44.0,43.5,2921804.34,2576541.09,89.0,98.0
RFUD,2020-06-10,BRM1,44.57,41.41,47.61,44.0,2931095.04,3960098.29,128.0,96.0
RFUD,2020-06-11,BRM1,44.91,43.0,44.91,43.0,3475458.6,450896.88,15.0,116.0
RFUD,2020-06-15,BRM1,42.55,41.5,43.17,43.17,4503541.12,532038.65,18.0,152.0
RFUD,2020-06-16,BRM1,43.72,43.72,44.0,43.81,4459366.5,213623.58,7.0,150.0
RFUD,2020-06-17,BRM1,,,,,4568568.0,,,150.0
RFUD,2020-06-18,BRM1,43.5,43.5,43.5,43.5,4603333.68,30285.09,1.0,152.0
RFUD,2020-06-19,BRM1,44.15,44.15,44.15,44.15,4660282.0,61319.5,2.0,152.0
RFUD,2020-06-22,BRM1,,,,,4624955.68,,,152.0
RFUD,2020-06-23,BRM1,44.42,44.42,45.59,45.59,4664981.84,123277.37,4.0,152.0
RFUD,2020-06-25,BRM1,43.0,42.0,43.57,43.01,4699537.78,206139.62,7.0,158.0
RFUD,2020-06-26,BRM1,,,,,4771930.22,,,158.0
RFUD,2020-06-29,BRM1,42.01,41.4,44.5,44.0,4943523.2,927921.83,31.0,160.0
RFUD,2020-06-30,BRM1,,,,,4973446.4,,,160.0
RFUD,2020-07-02,BRM1,45.12,45.12,45.12,45.12,4968699.2,31808.7,1.0,160.0
RFUD,2020-07-03,BRM1,,,,,5096537.6,,,160.0
RFUD,2020-07-06,BRM1,45.53,45.03,45.53,45.03,5285616.68,64816.6,2.0,164.0
RFUD,2020-07-07,BRM1,44.5,44.5,45.5,45.5,5448612.96,96434.17,3.0,168.0
RFUD,2020-07-08,BRM1,45.6,45.2,45.6,45.2,5476663.9,64716.43,2.0,170.0
