BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2020-02-25,BRH1,,,,,0.0,,,
RFUD,2020-02-26,BRH1,57.0,57.0,57.0,57.0,71561.06,37081.64,1.0,2.0
RFUD,2020-02-27,BRH1,53.32,53.3,53.44,53.3,706584.2,388879.84,11.0,20.0
RFUD,2020-02-28,BRH1,53.62,52.63,53.82,52.63,779690.78,216056.12,6.0,22.0
RFUD,2020-03-02,BRH1,52.54,50.0,56.78,55.52,979557.04,1433252.25,40.0,28.0
RFUD,2020-03-03,BRH1,57.07,51.0,58.42,56.0,1146324.16,841148.24,23.0,32.0
RFUD,2020-03-04,BRH1,57.03,55.55,57.03,55.55,1211121.48,220797.45,6.0,34.0
RFUD,2020-03-05,BRH1,,,,,1203358.6,,,34.0
RFUD,2020-03-06,BRH1,54.9,51.53,54.9,52.46,1214808.48,215567.92,6.0,36.0
RFUD,2020-03-10,BRH1,49.5,38.44,51.23,44.51,1074709.16,2452006.08,78.0,38.0
RFUD,2020-03-11,BRH1,43.91,43.14,43.91,43.14,1185444.58,62948.64,2.0,38.0
RFUD,2020-03-12,BRH1,42.11,41.16,44.45,41.48,1170923.26,440218.04,14.0,38.0
RFUD,2020-03-13,BRH1,40.69,39.07,44.0,44.0,1109780.12,213987.38,7.0,38.0
RFUD,2020-03-16,BRH1,39.32,39.1,39.34,39.11,1039240.44,144648.97,5.0,36.0
RFUD,2020-03-17,BRH1,,,,,1051718.04,,,36.0
RFUD,2020-03-18,BRH1,39.1,38.9,41.93,39.1,1125418.32,541785.5,17.0,36.0
RFUD,2020-03-19,BRH1,39.1,38.95,40.22,39.0,1115273.52,218123.36,7.0,36.0
RFUD,2020-03-20,BRH1,43.0,43.0,43.0,43.0,1125961.56,68268.96,2.0,36.0
RFUD,2020-03-23,BRH1,42.41,42.41,42.41,42.41,1185449.14,33967.23,1.0,38.0
RFUD,2020-03-24,BRH1,,,,,1176658.98,,,38.0
RFUD,2020-03-25,BRH1,42.0,40.0,42.0,40.0,1194048.16,96623.64,3.0,38.0
RFUD,2020-03-26,BRH1,,,,,1172177.26,,,38.0
RFUD,2020-03-27,BRH1,40.0,40.0,40.0,40.0,1264081.6,31602.04,1.0,40.0
RFUD,2020-03-30,BRH1,41.0,39.93,41.44,39.93,1339145.64,97713.42,3.0,42.0
RFUD,2020-03-31,BRH1,40.86,40.51,40.86,40.51,1390450.16,127255.06,4.0,44.0
RFUD,2020-04-01,BRH1,39.69,38.95,39.69,39.0,1476865.92,92809.02,3.0,48.0
RFUD,2020-04-02,BRH1,42.2,39.68,43.95,43.95,3473802.32,1125700.73,33.0,106.0
RFUD,2020-04-03,BRH1,43.5,43.0,45.0,45.0,3609799.44,1098942.29,32.0,104.0
RFUD,2020-04-06,BRH1,45.16,42.59,45.16,42.66,3320539.04,200430.05,6.0,104.0
RFUD,2020-04-07,BRH1,,,,,3308202.56,,,104.0
RFUD,2020-04-08,BRH1,42.2,42.2,42.2,42.2,3311819.68,31844.42,1.0,104.0
RFUD,2020-04-09,BRH1,42.18,40.57,42.18,40.57,5067310.7,1847806.18,60.0,170.0
RFUD,2020-04-10,BRH1,40.22,40.02,41.0,40.7,5046251.28,180031.39,6.0,168.0
RFUD,2020-04-13,BRH1,40.79,40.79,41.09,41.09,5078045.28,90245.37,3.0,168.0
RFUD,2020-04-14,BRH1,41.75,41.75,41.99,41.75,5005019.24,122388.03,4.0,164.0
RFUD,2020-04-15,BRH1,40.0,40.0,40.0,40.0,4932896.96,30078.64,1.0,164.0
RFUD,2020-04-16,BRH1,40.0,39.5,40.93,40.05,5114750.24,178970.99,6.0,172.0
RFUD,2020-04-17,BRH1,40.5,40.5,40.5,40.5,5167483.72,30043.51,1.0,172.0
RFUD,2020-04-20,BRH1,39.6,39.56,39.6,39.56,5078724.84,59084.79,2.0,172.0
RFUD,2020-04-21,BRH1,39.21,39.0,40.07,40.07,5496583.04,424501.0,14.0,178.0
RFUD,2020-04-22,BRH1,40.0,37.15,40.0,39.5,5229817.08,385407.0,13.0,174.0
RFUD,2020-04-23,BRH1,40.0,40.0,40.0,40.0,5230551.04,118876.16,4.0,176.0
RFUD,2020-04-24,BRH1,38.5,38.5,38.5,38.5,4996610.1,28716.15,1.0,174.0
RFUD,2020-04-27,BRH1,36.55,35.5,36.55,36.2,5135101.5,1241189.35,46.0,190.0
RFUD,2020-04-28,BRH1,36.1,36.0,36.1,36.0,5187771.46,294226.27,11.0,194.0
RFUD,2020-04-29,BRH1,35.6,35.0,35.6,35.0,5319492.68,257788.17,10.0,206.0
RFUD,2020-04-30,BRH1,36.85,36.85,36.85,36.85,5554261.08,27226.77,1.0,204.0
RFUD,2020-05-04,BRH1,35.63,35.0,37.0,35.84,6424710.04,618638.33,23.0,238.0
RFUD,2020-05-05,BRH1,37.9,37.15,37.9,37.15,6359407.68,222639.77,8.0,232.0
RFUD,2020-05-06,BRH1,37.15,37.15,37.15,37.15,6478488.9,27685.85,1.0,234.0
RFUD,2020-05-07,BRH1,37.06,37.0,37.06,37.0,6504006.88,327984.81,12.0,238.0
RFUD,2020-05-08,BRH1,36.32,36.32,36.32,36.32,6362868.12,26581.05,1.0,238.0
RFUD,2020-05-12,BRH1,37.0,37.0,37.7,37.0,6434068.2,136155.87,5.0,238.0
RFUD,2020-05-13,BRH1,37.0,36.0,37.48,36.0,7654487.04,786851.43,29.0,288.0
RFUD,2020-05-14,BRH1,36.31,35.32,36.31,36.0,8150221.26,398292.47,15.0,306.0
RFUD,2020-05-15,BRH1,36.2,35.98,37.2,36.85,8751415.82,375348.36,14.0,322.0
RFUD,2020-05-18,BRH1,37.34,37.34,39.6,39.6,8637852.0,615650.6,22.0,300.0
RFUD,2020-05-19,BRH1,39.34,38.81,39.34,38.81,9517616.94,650202.5,23.0,338.0
RFUD,2020-05-20,BRH1,38.55,38.5,40.89,40.61,9686053.44,310924.53,11.0,336.0
RFUD,2020-05-21,BRH1,41.77,39.0,41.77,39.38,9453048.8,366774.67,13.0,338.0
RFUD,2020-05-22,BRH1,40.56,38.31,40.56,38.31,10553184.0,890551.3,32.0,384.0
RFUD,2020-05-25,BRH1,38.84,38.53,40.28,39.84,10959720.96,141006.85,5.0,384.0
RFUD,2020-05-26,BRH1,40.0,40.0,40.01,40.0,11388676.08,311637.52,11.0,402.0
RFUD,2020-05-27,BRH1,39.31,39.31,39.31,39.31,11309333.6,27993.4,1.0,404.0
RFUD,2020-05-28,BRH1,39.0,39.0,39.45,39.0,11199830.74,82863.2,3.0,406.0
RFUD,2020-05-29,BRH1,39.84,39.84,39.84,39.84,11375314.88,28156.72,1.0,404.0
RFUD,2020-06-01,BRH1,41.52,41.0,41.52,41.5,11836654.9,143667.7,5.0,410.0
RFUD,2020-06-02,BRH1,41.5,40.03,42.94,42.94,11894667.26,228456.16,8.0,406.0
RFUD,2020-06-03,BRH1,,,,,11758336.52,,,406.0
RFUD,2020-06-04,BRH1,,,,,11879003.78,,,406.0
RFUD,2020-06-05,BRH1,41.8,41.8,44.1,43.9,11713981.5,351836.84,12.0,390.0
RFUD,2020-06-08,BRH1,43.9,43.31,45.0,43.31,11310477.56,302450.52,10.0,382.0
RFUD,2020-06-09,BRH1,42.81,42.51,42.81,42.51,11129875.6,58477.22,2.0,382.0
RFUD,2020-06-10,BRH1,43.34,43.31,44.28,43.31,11617866.0,211043.19,7.0,390.0
RFUD,2020-06-11,BRH1,43.84,41.81,43.84,41.81,11710943.4,297608.79,10.0,402.0
RFUD,2020-06-15,BRH1,40.55,40.23,41.73,41.38,11889122.6,202095.06,7.0,410.0
RFUD,2020-06-16,BRH1,41.84,41.84,43.0,42.4,11156038.74,743610.53,25.0,378.0
RFUD,2020-06-17,BRH1,42.84,42.81,42.84,42.81,11524925.52,149307.52,5.0,386.0
RFUD,2020-06-18,BRH1,42.4,42.31,42.4,42.31,11488074.0,88481.2,3.0,390.0
RFUD,2020-06-19,BRH1,42.59,42.59,43.4,43.4,11271952.34,329271.09,11.0,374.0
RFUD,2020-06-22,BRH1,42.81,42.81,43.34,43.34,11229544.48,59683.86,2.0,374.0
RFUD,2020-06-23,BRH1,43.84,43.84,44.8,44.2,11041503.2,213544.44,7.0,364.0
RFUD,2020-06-25,BRH1,43.8,40.49,44.0,42.34,12005033.7,1179839.42,40.0,410.0
RFUD,2020-06-26,BRH1,42.84,42.23,42.84,42.23,11961799.36,148170.94,5.0,406.0
RFUD,2020-06-29,BRH1,41.81,41.81,42.74,42.74,12184969.44,59371.43,2.0,406.0
RFUD,2020-06-30,BRH1,43.0,42.84,43.0,43.0,11997998.88,214136.09,7.0,392.0
RFUD,2020-07-02,BRH1,43.0,43.0,43.84,43.4,11810106.18,214384.41,7.0,386.0
RFUD,2020-07-03,BRH1,43.99,43.6,43.99,43.6,12347719.56,250407.18,8.0,396.0
RFUD,2020-07-06,BRH1,43.95,43.95,44.61,44.3,11921786.88,1999652.22,63.0,376.0
RFUD,2020-07-07,BRH1,44.0,43.9,44.48,44.48,11794323.24,439495.73,14.0,372.0
RFUD,2020-07-08,BRH1,44.06,44.06,44.5,44.5,11798631.0,63119.9,2.0,372.0
RFUD,2020-07-09,BRH1,44.98,43.83,44.98,43.83,12637566.06,940649.45,30.0,406.0
RFUD,2020-07-10,BRH1,44.4,43.27,44.4,44.34,12739070.12,1670398.37,54.0,406.0
RFUD,2020-07-13,BRH1,44.38,44.38,44.7,44.47,12618152.88,157259.82,5.0,402.0
RFUD,2020-07-14,BRH1,44.51,43.7,44.7,44.65,12579945.84,503221.99,16.0,396.0
RFUD,2020-07-15,BRH1,44.65,44.22,44.84,44.84,12471413.36,221369.92,7.0,392.0
RFUD,2020-07-16,BRH1,44.73,44.63,44.73,44.63,12396025.2,63640.58,2.0,390.0
RFUD,2020-07-17,BRH1,45.17,44.31,45.17,44.55,12805504.0,641022.6,20.0,400.0
RFUD,2020-07-20,BRH1,44.65,44.5,44.73,44.5,12651604.1,127566.12,4.0,398.0
RFUD,2020-07-21,BRH1,44.84,44.84,45.34,45.34,12436128.7,191174.4,6.0,386.0
RFUD,2020-07-22,BRH1,45.73,45.5,45.73,45.5,12632790.3,64947.28,2.0,390.0
RFUD,2020-07-23,BRH1,45.61,45.61,46.54,46.54,12835933.5,65746.81,2.0,390.0
RFUD,2020-07-24,BRH1,45.11,45.1,45.11,45.1,13002380.46,226416.78,7.0,402.0
RFUD,2020-07-27,BRH1,45.31,44.9,45.6,45.45,12723239.1,325741.63,10.0,390.0
RFUD,2020-07-28,BRH1,45.59,45.59,45.99,45.79,12634145.0,266708.1,8.0,380.0
RFUD,2020-07-29,BRH1,,,,,12669127.8,,,380.0
RFUD,2020-07-30,BRH1,45.44,44.12,45.44,44.84,14270083.2,1020540.76,31.0,432.0
RFUD,2020-07-31,BRH1,44.84,44.84,45.34,45.34,14433797.1,167864.53,5.0,430.0
RFUD,2020-08-03,BRH1,45.35,45.0,45.8,45.8,14380966.92,133117.71,4.0,428.0
RFUD,2020-08-04,BRH1,46.11,45.7,46.28,46.28,14455881.44,339165.17,10.0,424.0
RFUD,2020-08-05,BRH1,46.32,46.32,47.9,47.7,14557246.2,828754.42,24.0,420.0
RFUD,2020-08-06,BRH1,47.19,47.19,47.35,47.25,14366044.26,277656.11,8.0,414.0
RFUD,2020-08-07,BRH1,46.8,46.8,47.1,47.1,14500557.94,103629.07,3.0,418.0
RFUD,2020-08-10,BRH1,47.07,47.0,47.07,47.0,14521571.4,103828.51,3.0,420.0
RFUD,2020-08-11,BRH1,47.2,47.2,47.2,47.2,14402984.2,34456.9,1.0,418.0
RFUD,2020-08-12,BRH1,47.2,47.2,47.6,47.6,15051100.8,312853.83,9.0,430.0
RFUD,2020-08-13,BRH1,47.6,47.02,47.95,47.02,17256019.08,1643515.05,47.0,502.0
RFUD,2020-08-14,BRH1,47.38,47.15,47.99,47.15,18353024.64,622570.14,18.0,534.0
RFUD,2020-08-17,BRH1,47.5,47.2,47.85,47.57,18382279.8,348341.64,10.0,526.0
