BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2016-09-20,BRH7,47.01,47.01,48.88,48.88,62725.46,61994.9,2.0,2.0
RFUD,2016-09-21,BRH7,,,,,63096.36,,,2.0
RFUD,2016-09-22,BRH7,49.76,49.16,50.0,49.69,3288312.56,1651855.81,52.0,104.0
RFUD,2016-09-23,BRH7,49.46,49.46,50.08,50.05,3001118.26,541970.85,17.0,94.0
RFUD,2016-09-26,BRH7,49.28,48.5,49.7,49.7,2980552.0,1249371.92,40.0,94.0
RFUD,2016-09-27,BRH7,49.0,48.43,49.99,48.43,3655628.2,723764.02,23.0,118.0
RFUD,2016-09-28,BRH7,48.51,48.01,49.35,48.01,4294961.58,2331177.17,75.0,138.0
RFUD,2016-09-29,BRH7,49.62,49.22,51.15,51.15,5102453.58,985250.6,31.0,158.0
RFUD,2016-09-30,BRH7,51.41,51.1,51.62,51.41,5117131.78,355833.94,11.0,158.0
RFUD,2016-10-03,BRH7,52.0,52.0,52.84,52.84,6770012.84,1110090.8,34.0,206.0
RFUD,2016-10-04,BRH7,52.71,52.16,52.97,52.97,7216181.5,264051.6,8.0,218.0
RFUD,2016-10-05,BRH7,53.0,53.0,53.79,53.7,7571022.6,366548.51,11.0,226.0
RFUD,2016-10-06,BRH7,53.73,53.73,54.17,54.17,7895274.66,1240568.8,37.0,234.0
RFUD,2016-10-07,BRH7,53.9,53.9,54.5,53.93,8032382.4,235041.13,7.0,240.0
RFUD,2016-10-10,BRH7,53.3,53.3,55.4,55.4,9064888.8,3106529.26,93.0,264.0
RFUD,2016-10-11,BRH7,,,,,9011394.48,,,264.0
RFUD,2016-10-12,BRH7,53.98,53.98,54.58,54.0,9200344.5,239391.95,7.0,270.0
RFUD,2016-10-13,BRH7,53.32,53.0,53.85,53.85,9126640.84,573654.54,17.0,268.0
RFUD,2016-10-14,BRH7,53.69,53.17,54.19,53.75,9079111.04,372738.33,11.0,268.0
RFUD,2016-10-17,BRH7,53.67,53.13,53.75,53.13,8979766.12,168687.07,5.0,268.0
RFUD,2016-10-18,BRH7,53.25,53.15,53.81,53.15,16192631.4,3825278.92,113.0,484.0
RFUD,2016-10-19,BRH7,53.41,53.41,55.02,55.0,23576783.04,3664612.81,108.0,688.0
RFUD,2016-10-20,BRH7,54.77,53.34,54.77,53.34,23650881.0,1209659.98,36.0,710.0
RFUD,2016-10-21,BRH7,53.54,50.13,54.81,53.57,24977672.16,6399385.71,193.0,744.0
RFUD,2016-10-24,BRH7,53.54,53.0,54.38,53.7,24528767.96,3166172.54,95.0,734.0
RFUD,2016-10-25,BRH7,53.27,53.27,54.1,53.48,24862330.68,1102535.64,33.0,748.0
RFUD,2016-10-26,BRH7,53.55,52.53,53.55,52.94,91332363.12,37641029.98,1137.0,2748.0
RFUD,2016-10-27,BRH7,52.61,52.58,53.12,52.86,91634432.08,498424.54,15.0,2762.0
RFUD,2016-10-28,BRH7,53.1,52.97,53.11,53.0,93308963.1,934108.9,28.0,2798.0
RFUD,2016-10-31,BRH7,53.0,50.54,53.4,50.72,150772877.6,36200563.75,1098.0,4688.0
RFUD,2016-11-01,BRH7,50.64,50.28,50.87,50.67,138019421.8,12894908.82,404.0,4316.0
RFUD,2016-11-02,BRH7,50.36,48.5,50.36,48.73,135175348.44,9641201.27,306.0,4356.0
RFUD,2016-11-03,BRH7,48.7,48.54,49.29,48.85,135641993.76,3000136.06,96.0,4368.0
RFUD,2016-11-07,BRH7,48.82,48.0,48.82,48.0,138170316.68,4358648.19,141.0,4516.0
RFUD,2016-11-08,BRH7,48.0,48.0,48.95,48.48,144057655.6,4819884.6,156.0,4660.0
RFUD,2016-11-09,BRH7,48.5,48.33,49.15,48.71,154696908.86,7418946.89,238.0,4966.0
RFUD,2016-11-10,BRH7,48.64,48.5,49.73,49.03,154967474.7,7055924.51,222.0,4878.0
RFUD,2016-11-11,BRH7,48.7,47.37,48.84,47.37,152135052.06,6374015.38,202.0,4866.0
RFUD,2016-11-14,BRH7,47.26,46.74,47.35,46.77,153600337.6,60357369.48,1944.0,4960.0
RFUD,2016-11-15,BRH7,46.58,46.4,48.65,48.65,156472949.1,14080539.57,460.0,4966.0
RFUD,2016-11-16,BRH7,48.55,48.55,49.77,49.73,166566242.08,12490681.27,393.0,5168.0
RFUD,2016-11-17,BRH7,49.34,48.84,50.0,49.38,159096485.94,6853806.96,216.0,4998.0
RFUD,2016-11-18,BRH7,49.35,48.55,49.62,49.15,158600313.7,15146798.71,480.0,4990.0
RFUD,2016-11-21,BRH7,48.91,48.87,51.25,51.1,173836814.88,13098087.56,406.0,5316.0
RFUD,2016-11-22,BRH7,51.1,51.1,52.4,51.55,177067963.5,8789115.75,266.0,5370.0
RFUD,2016-11-23,BRH7,51.42,50.8,52.02,51.65,179723709.36,4438442.88,134.0,5382.0
RFUD,2016-11-24,BRH7,51.61,51.3,51.62,51.45,178757500.88,596518.98,18.0,5396.0
RFUD,2016-11-25,BRH7,51.4,50.26,51.4,50.26,183427368.96,8530305.25,260.0,5632.0
RFUD,2016-11-28,BRH7,50.25,49.0,50.96,50.71,192757160.4,20039669.05,620.0,5880.0
RFUD,2016-11-29,BRH7,50.48,48.6,50.85,48.9,190924780.28,23989796.4,733.0,5972.0
RFUD,2016-11-30,BRH7,48.82,48.48,52.62,52.27,347727756.0,134557306.34,4035.0,10320.0
RFUD,2016-12-01,BRH7,52.11,51.97,54.85,54.84,582559274.8,235395887.25,6883.0,16634.0
RFUD,2016-12-02,BRH7,54.98,54.07,55.5,55.42,686452156.44,144622782.89,4115.0,19398.0
RFUD,2016-12-05,BRH7,55.4,55.06,56.33,56.04,801271256.5,111327319.65,3129.0,22450.0
RFUD,2016-12-06,BRH7,56.0,54.75,56.16,55.09,767067971.88,88660150.34,2506.0,21774.0
RFUD,2016-12-07,BRH7,55.31,54.44,55.5,54.59,710702856.78,98294328.44,2811.0,20426.0
RFUD,2016-12-08,BRH7,54.66,54.27,55.22,55.2,699974039.08,72194931.73,2082.0,20014.0
RFUD,2016-12-09,BRH7,55.03,54.27,55.65,55.62,674239527.16,121560707.14,3502.0,19358.0
