BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2019-06-25,BRN0,,,,,0.0,,,
RFUD,2019-06-26,BRN0,,,,,0.0,,,
RFUD,2019-06-27,BRN0,66.0,66.0,66.0,66.0,80695.98,41647.91,1.0,2.0
RFUD,2019-06-28,BRN0,66.46,63.23,66.46,63.23,80705.34,81758.13,2.0,2.0
RFUD,2019-07-01,BRN0,65.46,65.46,66.55,66.55,1281971.52,669293.84,16.0,32.0
RFUD,2019-07-02,BRN0,65.39,63.59,65.39,63.59,1253824.64,81642.92,2.0,32.0
RFUD,2019-07-03,BRN0,63.51,62.65,63.51,62.65,1333707.12,120404.82,3.0,34.0
RFUD,2019-07-04,BRN0,,,,,1341385.68,,,34.0
RFUD,2019-07-05,BRN0,,,,,1348997.26,,,34.0
RFUD,2019-07-08,BRN0,,,,,1359399.22,,,34.0
RFUD,2019-07-09,BRN0,,,,,1363307.86,,,34.0
RFUD,2019-07-10,BRN0,,,,,1389895.86,,,34.0
RFUD,2019-07-11,BRN0,65.6,65.6,65.69,65.61,1319846.4,123779.61,3.0,32.0
RFUD,2019-07-12,BRN0,,,,,1311443.52,,,32.0
RFUD,2019-07-15,BRN0,,,,,1302628.8,,,32.0
RFUD,2019-07-16,BRN0,,,,,1295163.52,,,32.0
RFUD,2019-07-17,BRN0,63.59,63.59,63.59,63.59,1171965.0,39970.64,1.0,30.0
RFUD,2019-07-18,BRN0,62.83,58.81,67.63,61.2,1446697.62,3981679.06,101.0,38.0
RFUD,2019-07-19,BRN0,60.5,60.5,62.15,62.15,1450651.14,232521.22,6.0,38.0
RFUD,2019-07-22,BRN0,62.05,62.05,62.5,62.5,1322018.6,196437.74,5.0,34.0
RFUD,2019-07-23,BRN0,,,,,1322866.9,,,34.0
RFUD,2019-07-24,BRN0,63.48,62.33,63.48,62.47,1182388.5,237032.9,6.0,30.0
RFUD,2019-07-25,BRN0,60.82,60.82,65.0,63.15,939624.48,681167.19,17.0,24.0
RFUD,2019-07-26,BRN0,,,,,942872.4,,,24.0
RFUD,2019-07-29,BRN0,,,,,941484.48,,,24.0
RFUD,2019-07-30,BRN0,,,,,953835.12,,,24.0
RFUD,2019-07-31,BRN0,,,,,960036.72,,,24.0
RFUD,2019-08-01,BRN0,,,,,948075.12,,,24.0
RFUD,2019-08-02,BRN0,61.46,60.07,61.46,61.13,1025347.96,945096.7,24.0,26.0
RFUD,2019-08-05,BRN0,,,,,998491.26,,,26.0
RFUD,2019-08-06,BRN0,58.93,58.93,58.93,58.93,1076825.96,38458.07,1.0,28.0
RFUD,2019-08-07,BRN0,58.4,56.65,58.4,56.65,1168929.92,113095.81,3.0,32.0
RFUD,2019-08-08,BRN0,,,,,1166835.84,,,32.0
RFUD,2019-08-09,BRN0,,,,,1197598.72,,,32.0
RFUD,2019-08-12,BRN0,,,,,1196494.72,,,32.0
RFUD,2019-08-13,BRN0,56.2,56.2,59.59,59.59,1229865.92,75426.99,2.0,32.0
RFUD,2019-08-14,BRN0,,,,,1212287.04,,,32.0
RFUD,2019-08-15,BRN0,,,,,1207480.96,,,32.0
RFUD,2019-08-16,BRN0,,,,,1211751.68,,,32.0
RFUD,2019-08-19,BRN0,58.89,58.89,59.2,59.2,1317623.42,78903.73,2.0,34.0
RFUD,2019-08-20,BRN0,,,,,1314095.58,,,34.0
RFUD,2019-08-21,BRN0,,,,,1322838.68,,,34.0
RFUD,2019-08-22,BRN0,,,,,1320032.32,,,34.0
RFUD,2019-08-23,BRN0,59.08,57.22,59.08,57.22,1355676.12,76673.45,2.0,36.0
RFUD,2019-08-26,BRN0,,,,,1363189.68,,,36.0
RFUD,2019-08-27,BRN0,,,,,1363703.76,,,36.0
RFUD,2019-08-28,BRN0,,,,,1398390.48,,,36.0
RFUD,2019-08-29,BRN0,,,,,1400488.56,,,36.0
RFUD,2019-08-30,BRN0,,,,,1372303.8,,,36.0
RFUD,2019-09-02,BRN0,58.52,56.9,58.52,56.9,1368656.64,116070.43,3.0,36.0
RFUD,2019-09-03,BRN0,58.86,56.1,58.86,56.1,1277308.26,115399.07,3.0,34.0
RFUD,2019-09-04,BRN0,55.75,55.75,60.57,58.17,1467944.56,269511.11,7.0,38.0
RFUD,2019-09-05,BRN0,59.0,58.7,59.0,58.7,1327156.0,233014.15,6.0,34.0
RFUD,2019-09-06,BRN0,59.45,58.75,59.45,58.75,1376022.96,77654.56,2.0,36.0
RFUD,2019-09-09,BRN0,58.48,57.89,59.15,59.15,1007778.46,308212.49,8.0,26.0
RFUD,2019-09-10,BRN0,60.0,60.0,60.0,60.0,1110777.36,78490.92,2.0,28.0
RFUD,2019-09-11,BRN0,59.25,59.25,59.25,59.25,1008033.78,38770.53,1.0,26.0
RFUD,2019-09-12,BRN0,58.51,57.75,58.51,57.75,971583.86,150874.55,4.0,26.0
RFUD,2019-09-13,BRN0,57.71,57.71,57.71,57.71,893751.84,37085.43,1.0,24.0
RFUD,2019-09-16,BRN0,58.5,58.5,63.5,63.5,1128337.0,352605.33,9.0,28.0
RFUD,2019-09-17,BRN0,61.51,60.0,61.85,60.0,1158517.8,394771.37,10.0,30.0
RFUD,2019-09-18,BRN0,59.0,59.0,59.0,59.0,1231789.44,37851.86,1.0,32.0
RFUD,2019-09-19,BRN0,60.71,60.71,60.71,60.71,1164350.4,38760.6,1.0,30.0
RFUD,2019-09-20,BRN0,,,,,1176765.9,,,30.0
RFUD,2019-09-23,BRN0,,,,,1153300.8,,,30.0
RFUD,2019-09-24,BRN0,,,,,1151291.1,,,30.0
RFUD,2019-09-25,BRN0,58.65,58.5,58.65,58.5,1127227.8,75244.86,2.0,30.0
RFUD,2019-09-26,BRN0,59.0,57.94,60.2,59.63,1513901.2,1066660.25,28.0,40.0
RFUD,2019-09-27,BRN0,58.9,58.9,58.9,58.9,1512018.0,37909.87,1.0,40.0
RFUD,2019-09-30,BRN0,58.4,58.4,58.4,58.4,1515722.8,37893.07,1.0,40.0
RFUD,2019-10-01,BRN0,57.3,57.3,58.39,58.39,1602360.48,300683.56,8.0,42.0
RFUD,2019-10-02,BRN0,57.75,57.0,58.0,57.0,1684952.4,149877.17,4.0,46.0
RFUD,2019-10-03,BRN0,56.3,56.3,56.3,56.3,1762113.6,36710.7,1.0,48.0
RFUD,2019-10-04,BRN0,,,,,1758216.0,,,48.0
RFUD,2019-10-07,BRN0,57.0,57.0,57.25,57.25,1633339.84,74080.62,2.0,44.0
RFUD,2019-10-08,BRN0,56.5,56.5,56.5,56.5,1682593.52,36884.95,1.0,46.0
RFUD,2019-10-09,BRN0,57.0,57.0,57.0,57.0,1632623.08,36975.33,1.0,44.0
RFUD,2019-10-10,BRN0,57.0,57.0,57.0,57.0,1691879.54,36779.99,1.0,46.0
RFUD,2019-10-11,BRN0,58.0,58.0,58.5,58.5,1573155.78,74592.04,2.0,42.0
RFUD,2019-10-14,BRN0,58.93,58.93,58.93,58.93,1567575.66,37915.15,1.0,42.0
RFUD,2019-10-15,BRN0,,,,,1554801.36,,,42.0
RFUD,2019-10-16,BRN0,,,,,1551454.38,,,42.0
RFUD,2019-10-17,BRN0,,,,,1536090.78,,,42.0
RFUD,2019-10-18,BRN0,58.0,58.0,58.0,58.0,1485716.4,37142.91,1.0,40.0
RFUD,2019-10-21,BRN0,57.0,57.0,57.0,57.0,1527167.04,36335.62,1.0,42.0
RFUD,2019-10-22,BRN0,58.0,58.0,58.0,58.0,1475967.6,36899.19,1.0,40.0
RFUD,2019-10-23,BRN0,,,,,1481130.8,,,40.0
RFUD,2019-10-24,BRN0,58.5,58.5,59.0,59.0,1286128.88,112956.22,3.0,34.0
RFUD,2019-10-25,BRN0,59.5,58.88,59.5,58.88,1276227.74,75416.23,2.0,34.0
RFUD,2019-10-28,BRN0,,,,,1291112.6,,,34.0
RFUD,2019-10-29,BRN0,,,,,1287357.3,,,34.0
RFUD,2019-10-30,BRN0,,,,,1287937.0,,,34.0
RFUD,2019-10-31,BRN0,58.0,58.0,58.0,58.0,1331385.48,74311.8,2.0,36.0
RFUD,2019-11-01,BRN0,58.5,58.5,58.5,58.5,1256235.4,37119.42,1.0,34.0
