BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION
RFUD,2017-01-26,BRG8,,,,,0.0,,,
RFUD,2017-01-27,BRG8,58.64,58.64,61.5,61.5,0.0,143724.2,4.0,0.0
RFUD,2017-01-30,BRG8,,,,,0.0,,,
RFUD,2017-01-31,BRG8,,,,,0.0,,,
RFUD,2017-02-01,BRG8,,,,,0.0,,,
RFUD,2017-02-02,BRG8,60.34,59.0,60.34,59.0,0.0,711484.8,20.0,0.0
RFUD,2017-02-03,BRG8,,,,,0.0,,,
RFUD,2017-02-06,BRG8,,,,,0.0,,,
RFUD,2017-02-07,BRG8,59.23,58.21,59.23,58.21,0.0,69585.31,2.0,0.0
RFUD,2017-02-08,BRG8,,,,,0.0,,,
RFUD,2017-02-09,BRG8,,,,,0.0,,,
RFUD,2017-02-10,BRG8,58.86,55.2,61.58,58.9,1241835.48,7991069.22,234.0,36.0
RFUD,2017-02-13,BRG8,58.2,58.2,58.88,58.88,1299301.7,67989.41,2.0,38.0
RFUD,2017-02-14,BRG8,57.77,57.77,57.8,57.8,1726335.52,232305.17,7.0,52.0
RFUD,2017-02-15,BRG8,,,,,1736878.0,,,52.0
RFUD,2017-02-16,BRG8,,,,,1736406.36,,,52.0
RFUD,2017-02-17,BRG8,,,,,1757099.76,,,52.0
RFUD,2017-02-20,BRG8,58.29,58.29,58.29,58.29,1760272.28,33851.39,1.0,52.0
RFUD,2017-02-21,BRG8,59.24,59.24,59.24,59.24,1772723.68,34090.84,1.0,52.0
RFUD,2017-02-22,BRG8,58.84,58.84,58.84,58.84,1773742.36,34110.43,1.0,52.0
RFUD,2017-02-24,BRG8,,,,,1785548.96,,,52.0
RFUD,2017-02-27,BRG8,58.1,58.0,58.25,58.15,4919072.88,1616180.75,48.0,146.0
RFUD,2017-02-28,BRG8,,,,,4884599.36,,,146.0
RFUD,2017-03-01,BRG8,58.47,58.0,58.49,58.0,5221736.52,204005.51,6.0,154.0
RFUD,2017-03-02,BRG8,57.46,56.9,57.46,56.9,5876170.08,401158.43,12.0,176.0
RFUD,2017-03-03,BRG8,,,,,5843080.32,,,176.0
RFUD,2017-03-06,BRG8,57.2,56.96,57.2,56.96,5820501.28,66281.41,2.0,176.0
RFUD,2017-03-07,BRG8,,,,,5863311.52,,,176.0
RFUD,2017-03-09,BRG8,54.28,54.28,54.88,54.78,6071193.04,549988.15,17.0,188.0
RFUD,2017-03-10,BRG8,54.37,54.37,54.46,54.45,6158697.6,160306.16,5.0,192.0
RFUD,2017-03-13,BRG8,53.1,53.1,53.1,53.1,6260628.0,125212.56,4.0,200.0
RFUD,2017-03-14,BRG8,52.9,52.9,52.95,52.95,6278546.0,62755.82,2.0,200.0
