BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQOB,2021-06-23,ОФЗ 26238,SU26238RMFS4,22,79654104.0,99.6,99.6,99.6,99.6,1.36,99.6,7.27,99.6,79974,99.6,99.6,99.6,79654104.0,79654104.0,79654104.0,2041-05-15,3983,7.27,,,7.1,34.04,,2021-06-23,1000,SUR,,,,,RUB,3
TQOB,2021-06-24,ОФЗ 26238,SU26238RMFS4,32,381638911.85,99.5,99.9,99.5,99.5,1.56,99.578,7.27,99.9,383255,99.578,99.578,99.5,381638911.85,381638911.85,381638911.85,2041-05-15,3982,7.27,,,7.1,34.04,,2021-06-24,1000,SUR,,,,,RUB,3
TQOB,2021-06-25,ОФЗ 26238,SU26238RMFS4,36,352822111.07,99.4,99.75,99.5,99.5,1.75,99.501,7.27,99.5,354592,99.501,99.501,99.5,352822111.07,352822111.07,352822111.07,2041-05-15,3981,7.27,,,7.1,34.04,,2021-06-25,1000,SUR,,,,,RUB,3
TQOB,2021-06-28,ОФЗ 26238,SU26238RMFS4,39,18788565.13,99.4,99.749,99.499,99.499,2.33,99.495,7.27,99.749,18884,99.495,99.495,99.499,18788565.13,18788565.13,18788565.13,2041-05-15,3976,7.28,,,7.1,34.04,,2021-06-28,1000,SUR,,,,,RUB,3
TQOB,2021-06-29,ОФЗ 26238,SU26238RMFS4,11,328091.7,99.399,99.491,99.399,99.399,2.53,99.422,7.28,99.491,330,,99.481,99.399,0.0,1418600.74,0.0,2041-05-15,3975,7.28,,,7.1,34.04,,2021-06-29,1000,SUR,,,,,RUB,3
TQOB,2021-06-30,ОФЗ 26238,SU26238RMFS4,41,2683556.64,99.25,99.499,99.35,99.35,2.72,99.391,7.29,99.499,2700,99.391,99.391,99.35,2683556.64,2683556.64,2683556.64,2041-05-15,3973,7.29,,,7.1,34.04,,2021-06-30,1000,SUR,,,,,RUB,3
TQOB,2021-07-01,ОФЗ 26238,SU26238RMFS4,27,11391950.29,99.21,99.599,99.399,99.399,2.92,99.259,7.28,99.599,11477,99.259,99.259,99.399,11391950.29,11391950.29,11391950.29,2041-05-15,3970,7.3,,,7.1,34.04,,2021-07-01,1000,SUR,,,,,RUB,3
TQOB,2021-07-02,ОФЗ 26238,SU26238RMFS4,28,2742922.31,99.17,101.0,99.2,99.2,3.11,99.237,7.3,100.999,2764,99.237,99.237,99.2,2742922.31,2742922.31,2742922.31,2041-05-15,3969,7.3,,,7.1,34.04,,2021-07-02,1000,SUR,,,,,RUB,3
TQOB,2021-07-05,ОФЗ 26238,SU26238RMFS4,34,1262479.62,99.19,99.489,99.19,99.19,3.7,99.252,7.31,99.3,1272,99.252,99.252,99.19,1262479.62,1262479.62,1262479.62,2041-05-15,3966,7.3,,,7.1,34.04,,2021-07-05,1000,SUR,,,,,RUB,3
TQOB,2021-07-06,ОФЗ 26238,SU26238RMFS4,56,3855459.73,98.909,99.15,99.05,99.05,3.89,99.087,7.32,99.15,3891,99.087,99.087,99.05,3855459.73,3855459.73,3855459.73,2041-05-15,3962,7.32,,,7.1,34.04,,2021-07-06,1000,SUR,,,,,RUB,3
TQOB,2021-07-07,ОФЗ 26238,SU26238RMFS4,85,101522448.03,98.2,100.999,98.299,98.299,4.08,98.212,7.39,99.6,103371,98.212,98.212,98.299,101522448.03,101522448.03,101522448.03,2041-05-15,3947,7.4,,,7.1,34.04,,2021-07-07,1000,SUR,,,,,RUB,3
TQOB,2021-07-08,ОФЗ 26238,SU26238RMFS4,66,631524959.7,98.149,99.1,98.298,98.298,4.28,98.152,7.39,99.1,643414,98.152,98.152,98.298,631524959.7,631524959.7,631524959.7,2041-05-15,3944,7.41,,,7.1,34.04,,2021-07-08,1000,SUR,,,,,RUB,3
TQOB,2021-07-09,ОФЗ 26238,SU26238RMFS4,46,5569100.54,98.4,99.101,98.499,98.499,4.47,98.533,7.37,99.1,5652,98.533,98.533,98.499,5569100.54,5569100.54,5569100.54,2041-05-15,3950,7.37,,,7.1,34.04,,2021-07-09,1000,SUR,,,,,RUB,3
TQOB,2021-07-12,ОФЗ 26238,SU26238RMFS4,86,11411841.73,98.151,98.949,98.2,98.234,5.06,98.217,7.4,98.949,11619,98.217,98.217,98.234,11411841.73,11411841.73,11411841.73,2041-05-15,3942,7.4,,,7.1,34.04,,2021-07-12,1000,SUR,,,,,RUB,3
TQOB,2021-07-13,ОФЗ 26238,SU26238RMFS4,64,2005436.29,98.1,99.099,98.1,98.1,5.25,98.161,7.41,99.099,2043,98.161,98.161,98.1,2005436.29,2005436.29,2005436.29,2041-05-15,3939,7.41,,,7.1,34.04,,2021-07-13,1000,SUR,,,,,RUB,3
TQOB,2021-07-14,ОФЗ 26238,SU26238RMFS4,60,2809493.06,97.952,98.349,98.0,98.0,5.45,98.028,7.42,98.349,2866,98.028,98.028,98.0,2809493.06,2809493.06,2809493.06,2041-05-15,3937,7.42,,,7.1,34.04,,2021-07-14,1000,SUR,,,,,RUB,3
TQOB,2021-07-15,ОФЗ 26238,SU26238RMFS4,39,2354013.01,98.2,98.44,98.25,98.25,5.64,98.289,7.4,98.349,2395,98.289,98.289,98.25,2354013.01,2354013.01,2354013.01,2041-05-15,3939,7.4,,,7.1,34.04,,2021-07-15,1000,SUR,,,,,RUB,3
TQOB,2021-07-16,ОФЗ 26238,SU26238RMFS4,25,3454935.39,98.25,98.6,98.25,98.25,5.84,98.375,7.4,98.395,3512,98.375,98.375,98.25,3454935.39,3454935.39,3454935.39,2041-05-15,3940,7.39,,,7.1,34.04,,2021-07-16,1000,SUR,,,,,RUB,3
TQOB,2021-07-19,ОФЗ 26238,SU26238RMFS4,55,47853935.6,98.0,99.099,98.0,98.0,6.42,97.926,7.42,98.6,48828,98.005,98.005,98.0,47853935.6,47853935.6,47853935.6,2041-05-15,3930,7.43,,,7.1,34.04,,2021-07-19,1000,SUR,,,,,RUB,3
TQOB,2021-07-20,ОФЗ 26238,SU26238RMFS4,30,290730.05,98.199,98.45,98.45,98.45,6.61,98.354,7.38,98.199,296,,98.008,98.45,0.0,7869070.05,0.0,2041-05-15,3936,7.39,,,7.1,34.04,,2021-07-20,1000,SUR,,,,,RUB,3
TQOB,2021-07-21,ОФЗ 26238,SU26238RMFS4,41,2988365.26,98.45,99.101,99.1,99.1,6.81,98.887,7.31,98.6,3022,98.887,98.887,99.1,2988365.26,2988365.26,2988365.26,2041-05-15,3943,7.34,,,7.1,34.04,,2021-07-21,1000,SUR,,,,,RUB,3
TQOB,2021-07-22,ОФЗ 26238,SU26238RMFS4,52,163796251.46,98.9,100.1,100.1,100.1,7.0,100.0,7.22,99.599,163796,100.0,100.0,100.1,163796251.46,163796251.46,163796251.46,2041-05-15,3961,7.23,,,7.1,34.04,,2021-07-22,1000,SUR,,,,,RUB,3
TQOB,2021-07-23,ОФЗ 26238,SU26238RMFS4,30,142045.85,99.902,100.288,99.931,99.931,7.2,100.032,7.23,99.902,142,,100.095,99.931,0.0,1977879.85,0.0,2041-05-15,3961,7.22,,,7.1,34.04,,2021-07-23,1000,SUR,,,,,RUB,3
TQOB,2021-07-26,ОФЗ 26238,SU26238RMFS4,40,31692955.1,99.131,100.25,100.25,100.25,7.78,100.0,7.2,100.248,31693,100.0,100.0,100.25,31692955.1,31692955.1,31692955.1,2041-05-15,3958,7.22,,,7.1,34.04,,2021-07-26,1000,SUR,,,,,RUB,3
TQOB,2021-07-27,ОФЗ 26238,SU26238RMFS4,25,666728.73,99.501,100.399,100.399,100.399,7.98,100.26,7.19,99.501,665,100.26,100.26,100.399,666728.73,666728.73,666728.73,2041-05-15,3961,7.2,,,7.1,34.04,,2021-07-27,1000,SUR,,,,,RUB,3
TQOB,2021-07-28,ОФЗ 26238,SU26238RMFS4,58,712234.47,98.502,100.399,100.2,100.2,8.17,99.613,7.21,100.398,715,99.613,99.613,100.2,712234.47,712234.47,712234.47,2041-05-15,3950,7.26,,,7.1,34.04,,2021-07-28,1000,SUR,,,,,RUB,3
TQOB,2021-07-29,ОФЗ 26238,SU26238RMFS4,25,3808531.52,100.168,100.799,100.764,100.764,8.36,100.225,7.15,100.798,3800,100.225,100.225,100.764,3808531.52,3808531.52,3808531.52,2041-05-15,3959,7.2,,,7.1,34.04,,2021-07-29,1000,SUR,,,,,RUB,3
TQOB,2021-07-30,ОФЗ 26238,SU26238RMFS4,19,2634835.93,100.796,100.8,100.796,100.796,8.56,100.405,7.15,100.8,2614,100.797,100.797,100.796,2634835.93,2634835.93,2634835.93,2041-05-15,3959,7.19,,,7.1,34.04,,2021-07-30,1000,SUR,,,,,RUB,3
TQOB,2021-08-02,ОФЗ 26238,SU26238RMFS4,45,14412518.94,99.9,102.0,100.998,100.998,9.14,99.976,7.13,101.999,14416,99.976,99.976,100.998,14412518.94,14412518.94,14412518.94,2041-05-15,3950,7.23,,,7.1,34.04,,2021-08-02,1000,SUR,,,,,RUB,3
TQOB,2021-08-03,ОФЗ 26238,SU26238RMFS4,65,10947420.57,99.5,102.0,100.399,100.399,9.34,99.658,7.19,101.0,10985,99.658,99.658,100.399,10947420.57,10947420.57,10947420.57,2041-05-15,3944,7.26,,,7.1,34.04,,2021-08-03,1000,SUR,,,,,RUB,3
TQOB,2021-08-04,ОФЗ 26238,SU26238RMFS4,167,900592508.04,99.3,101.99,99.5,99.5,9.53,99.373,7.27,101.99,906278,99.373,99.373,99.5,900592508.04,900592508.04,900592508.04,2041-05-15,3938,7.29,,,7.1,34.04,,2021-08-04,1000,SUR,,,,,RUB,3
TQOB,2021-08-05,ОФЗ 26238,SU26238RMFS4,126,529904548.39,99.499,102.0,99.589,99.589,9.73,99.521,7.27,101.997,532380,99.535,99.535,99.589,529904548.39,529904548.39,529904548.39,2041-05-15,3940,7.27,,,7.1,34.04,,2021-08-05,1000,SUR,,,,,RUB,3
