BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQOB,2019-12-11,ОФЗ 26232,SU26232RMFS7,53,2147930.99,98.438,98.5,98.438,98.438,1.15,98.45,6.36,98.5,2182,98.439,98.439,98.438,2147930.99,2147930.99,2147930.99,2027-10-06,2312,6.35,,,6,21.86,,2019-12-11,1000,SUR,,,,,RUB,3
TQOB,2019-12-12,ОФЗ 26232,SU26232RMFS7,154,1631206521.96,98.549,99.0,98.748,98.748,1.31,98.577,6.3,99.0,1654668,98.582,98.582,98.748,1631206521.96,1631206521.96,1631206521.96,2027-10-06,2312,6.33,,,6,21.86,,2019-12-12,1000,SUR,,,,,RUB,3
TQOB,2019-12-13,ОФЗ 26232,SU26232RMFS7,201,562649146.12,98.699,99.93,98.787,98.787,1.48,98.817,6.3,98.9,569262,98.838,98.838,98.787,562649146.12,562649146.12,562649146.12,2027-10-06,2311,6.29,,,6,21.86,,2019-12-13,1000,SUR,,,,,RUB,3
TQOB,2019-12-16,ОФЗ 26232,SU26232RMFS7,186,107608348.54,98.78,99.071,98.898,98.898,1.97,98.779,6.28,99.0,108909,98.806,98.806,98.898,107608348.54,107608348.54,107608348.54,2027-10-06,2308,6.3,,,6,21.86,,2019-12-16,1000,SUR,,,,,RUB,3
TQOB,2019-12-17,ОФЗ 26232,SU26232RMFS7,108,4999391.98,98.85,98.999,98.95,98.979,2.14,98.959,6.27,98.999,5052,98.959,98.959,98.979,4999391.98,4999391.98,4999391.98,2027-10-06,2308,6.27,,,6,21.86,,2019-12-17,1000,SUR,,,,,RUB,3
TQOB,2019-12-18,ОФЗ 26232,SU26232RMFS7,94,5388644.75,98.83,99.0,98.999,98.999,2.3,98.965,6.26,98.999,5445,98.965,98.965,98.999,5388644.75,5388644.75,5388644.75,2027-10-06,2307,6.27,,,6,21.86,,2019-12-18,1000,SUR,,,,,RUB,3
TQOB,2019-12-19,ОФЗ 26232,SU26232RMFS7,176,8858913.81,98.752,99.9,98.798,98.798,2.47,98.894,6.29,99.899,8958,98.894,98.894,98.798,8858913.81,8858913.81,8858913.81,2027-10-06,2305,6.28,,,6,21.86,,2019-12-19,1000,SUR,,,,,RUB,3
TQOB,2019-12-20,ОФЗ 26232,SU26232RMFS7,147,5293037.3,98.75,99.0,98.845,98.845,2.63,98.861,6.29,99.0,5354,98.861,98.861,98.845,5293037.3,5293037.3,5293037.3,2027-10-06,2304,6.28,,,6,21.86,,2019-12-20,1000,SUR,,,,,RUB,3
TQOB,2019-12-23,ОФЗ 26232,SU26232RMFS7,236,10137055.65,98.68,100.0,98.75,98.75,3.12,98.86,6.3,99.889,10254,98.86,98.86,98.75,10137055.65,10137055.65,10137055.65,2027-10-06,2301,6.28,,,6,21.86,,2019-12-23,1000,SUR,,,,,RUB,3
TQOB,2019-12-24,ОФЗ 26232,SU26232RMFS7,263,10725983.93,98.801,99.916,99.5,99.5,3.29,99.131,6.18,99.916,10820,99.131,99.131,99.5,10725983.93,10725983.93,10725983.93,2027-10-06,2301,6.24,,,6,21.86,,2019-12-24,1000,SUR,,,,,RUB,3
TQOB,2019-12-25,ОФЗ 26232,SU26232RMFS7,306,19771043.59,98.65,99.85,98.99,98.99,3.45,98.863,6.26,99.848,19959,99.058,99.058,98.99,19771043.59,19771043.59,19771043.59,2027-10-06,2299,6.28,,,6,21.86,,2019-12-25,1000,SUR,,,,,RUB,3
TQOB,2019-12-26,ОФЗ 26232,SU26232RMFS7,256,12799060.82,99.0,99.84,99.0,99.0,3.62,98.912,6.26,99.48,12910,99.141,99.141,99.0,12799060.82,12799060.82,12799060.82,2027-10-06,2299,6.27,,,6,21.86,,2019-12-26,1000,SUR,,,,,RUB,3
TQOB,2019-12-27,ОФЗ 26232,SU26232RMFS7,273,41283306.15,98.97,99.697,99.0,99.0,3.78,99.025,6.26,99.697,41690,99.024,99.024,99.0,41283306.15,41283306.15,41283306.15,2027-10-06,2298,6.26,,,6,21.86,,2019-12-27,1000,SUR,,,,,RUB,3
TQOB,2019-12-30,ОФЗ 26232,SU26232RMFS7,389,42360064.47,98.815,99.578,99.0,99.0,4.27,99.021,6.26,99.57,42779,99.021,99.021,99.0,42360064.47,42360064.47,42360064.47,2027-10-06,2295,6.26,,,6,21.86,,2019-12-30,1000,SUR,,,,,RUB,3
TQOB,2020-01-03,ОФЗ 26232,SU26232RMFS7,249,8709985.16,99.0,99.698,99.25,99.25,4.93,99.395,6.22,99.398,8763,99.395,99.395,99.25,8709985.16,8709985.16,8709985.16,2027-10-06,2292,6.19,,,6,21.86,,2020-01-03,1000,SUR,,,,,RUB,3
TQOB,2020-01-06,ОФЗ 26232,SU26232RMFS7,273,8038171.17,99.25,99.739,99.3,99.3,5.42,99.384,6.21,99.738,8088,99.384,99.384,99.3,8038171.17,8038171.17,8038171.17,2027-10-06,2289,6.2,,,6,21.86,,2020-01-06,1000,SUR,,,,,RUB,3
TQOB,2020-01-08,ОФЗ 26232,SU26232RMFS7,245,7909646.75,98.801,99.65,99.395,99.398,5.75,99.343,6.19,99.63,7962,99.342,99.342,99.398,7909646.75,7909646.75,7909646.75,2027-10-06,2287,6.2,,,6,21.86,,2020-01-08,1000,SUR,,,,,RUB,3
TQOB,2020-01-09,ОФЗ 26232,SU26232RMFS7,187,67121881.72,99.002,99.599,99.48,99.48,5.92,99.266,6.18,99.599,67626,99.255,99.255,99.48,67121881.72,67121881.72,67121881.72,2027-10-06,2286,6.22,,,6,21.86,,2020-01-09,1000,SUR,,,,,RUB,3
TQOB,2020-01-10,ОФЗ 26232,SU26232RMFS7,202,157078715.8,99.381,99.8,99.799,99.799,6.08,99.475,6.12,99.5,157715,99.597,99.597,99.799,157078715.8,157078715.8,157078715.8,2027-10-06,2285,6.18,,,6,21.86,,2020-01-10,1000,SUR,,,,,RUB,3
TQOB,2020-01-13,ОФЗ 26232,SU26232RMFS7,296,707880529.78,99.8,100.2,100.19,99.95,6.57,100.011,6.06,99.99,707891,99.999,99.999,99.95,707880529.78,707880529.78,707880529.78,2027-10-06,2284,6.09,,,6,21.86,,2020-01-13,1000,SUR,,,,,RUB,3
TQOB,2020-01-14,ОФЗ 26232,SU26232RMFS7,285,45346955.25,99.898,101.0,99.947,99.947,6.74,99.901,6.1,100.199,45372,99.945,99.945,99.947,45346955.25,45346955.25,45346955.25,2027-10-06,2283,6.11,,,6,21.86,,2020-01-14,1000,SUR,,,,,RUB,3
