BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQOB,2017-03-15,ОФЗ 26221,SU26221RMFS0,8,106083060.41,96.1496,96.65,96.35,96.35,5.91,96.403,8.27,96.1496,110112,,,96.35,0.0,0.0,0.0,2033-03-23,3394,8.26,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2017-03-16,ОФЗ 26221,SU26221RMFS0,21,501515186.5,96.55,97.25,97.0,96.9998,6.12,96.9259,8.19,97.25,517032,96.9989,96.9989,96.9998,501515186.5,501515186.5,501515186.5,2033-03-23,3400,8.2,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2017-03-17,ОФЗ 26221,SU26221RMFS0,25,506636032.81,97.0,97.2,97.15,97.1375,6.33,97.0796,8.17,97.1498,521560,97.1386,97.1386,97.1375,506636032.81,506636032.81,506636032.81,2033-03-23,3401,8.18,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2017-03-20,ОФЗ 26221,SU26221RMFS0,9,102501284.15,97.2,97.58,97.2,97.2,6.96,97.2856,8.17,97.58,105397,97.1578,97.246,97.2,609137316.96,109452366.65,609137316.96,2033-03-23,3400,8.16,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2017-03-21,ОФЗ 26221,SU26221RMFS0,12,545525.5,97.25,97.63,97.3489,97.3489,7.17,97.2868,8.15,97.4,560,97.4153,97.4153,97.3489,545525.5,545525.5,545525.5,2033-03-23,3399,8.16,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2017-03-22,ОФЗ 26221,SU26221RMFS0,13,48419178.53,96.6,97.2,97.04,97.04,7.38,96.6007,8.19,97.2,50123,96.6007,96.6007,97.04,48419178.53,48419178.53,48419178.53,2033-03-23,3389,8.24,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2017-03-23,ОФЗ 26221,SU26221RMFS0,10,42043433.33,96.7501,97.2498,97.2498,97.2498,7.59,97.1541,8.16,97.2498,43275,97.1541,97.1541,97.2498,42043433.33,42043433.33,42043433.33,2033-03-23,3396,8.17,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2017-03-24,ОФЗ 26221,SU26221RMFS0,21,70627786.09,96.8001,97.9,97.4998,97.5,7.81,97.1844,8.13,96.8001,72674,97.1844,97.1844,97.5,70627786.09,70627786.09,70627786.09,2033-03-23,3395,8.17,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2017-03-27,ОФЗ 26221,SU26221RMFS0,12,1714331.02,96.8,97.4999,97.15,97.15,8.44,97.3578,8.17,97.38,1764,97.1843,97.1843,97.15,1714331.02,1714331.02,1714331.02,2033-03-23,3394,8.15,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2017-03-28,ОФЗ 26221,SU26221RMFS0,26,255003042.33,96.7501,97.75,96.7501,96.752,8.65,97.4709,8.22,97.75,261688,97.4454,97.4454,96.752,255003042.33,255003042.33,255003042.33,2033-03-23,3394,8.14,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2017-03-29,ОФЗ 26221,SU26221RMFS0,81,1370949579.13,96.75,97.5,96.9,96.9,8.86,96.9102,8.2,97.5,1414925,96.892,96.892,96.9,1370949579.13,1370949579.13,1370949579.13,2033-03-23,3387,8.2,,,,,,,1000,SUR,,,,,RUB,3
