BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQOB,2020-02-19,ОФЗ 25084,SU25084RMFS3,54,11105901.9,99.395,99.499,99.495,99.495,0.0,99.497,5.53,99.499,11162,99.497,99.497,99.495,11105901.9,11105901.9,11105901.9,2023-10-04,1222,5.53,,,5.3,33.54,,2020-02-19,1000,SUR,,,,,RUB,3
TQOB,2020-02-20,ОФЗ 25084,SU25084RMFS3,99,9173614.04,99.25,101.484,99.493,99.493,0.15,100.149,5.53,101.484,9160,100.149,100.149,99.493,9173614.04,9173614.04,9173614.04,2023-10-04,1221,5.32,,,5.3,33.54,,2020-02-20,1000,SUR,,,,,RUB,3
TQOB,2020-02-21,ОФЗ 25084,SU25084RMFS3,107,11020987.36,99.445,100.0,99.499,99.499,0.29,99.451,5.53,100.0,11081,99.458,99.458,99.499,11020987.36,11020987.36,11020987.36,2023-10-04,1220,5.54,,,5.3,33.54,,2020-02-21,1000,SUR,,,,,RUB,3
TQOB,2020-02-25,ОФЗ 25084,SU25084RMFS3,76,3488289.44,99.41,100.0,99.445,99.445,0.87,99.467,5.54,100.0,3507,99.466,99.466,99.445,3488289.44,3488289.44,3488289.44,2023-10-04,1216,5.54,,,5.3,33.54,,2020-02-25,1000,SUR,,,,,RUB,3
TQOB,2020-02-26,ОФЗ 25084,SU25084RMFS3,112,100888511.54,99.199,100.0,99.299,99.299,1.02,99.3,5.59,99.999,101600,99.3,99.3,99.299,100888511.54,100888511.54,100888511.54,2023-10-04,1214,5.59,,,5.3,33.54,,2020-02-26,1000,SUR,,,,,RUB,3
TQOB,2020-02-27,ОФЗ 25084,SU25084RMFS3,100,6898214.02,99.001,99.5,99.149,99.149,1.16,99.055,5.64,99.5,6964,99.055,99.055,99.149,6898214.02,6898214.02,6898214.02,2023-10-04,1213,5.67,,,5.3,33.54,,2020-02-27,1000,SUR,,,,,RUB,3
TQOB,2020-02-28,ОФЗ 25084,SU25084RMFS3,84,5077285.27,95.004,99.14,98.899,98.899,1.31,98.895,5.72,99.14,5134,98.895,98.895,98.899,5077285.27,5077285.27,5077285.27,2023-10-04,1212,5.72,,,5.3,33.54,,2020-02-28,1000,SUR,,,,,RUB,3
TQOB,2020-03-02,ОФЗ 25084,SU25084RMFS3,78,2674332.8,97.51,99.5,99.0,99.0,1.74,99.307,5.69,99.3,2693,99.307,99.307,99.0,2674332.8,2674332.8,2674332.8,2023-10-04,1209,5.59,,,5.3,33.54,,2020-03-02,1000,SUR,,,,,RUB,3
TQOB,2020-03-03,ОФЗ 25084,SU25084RMFS3,56,637965.29,98.9,99.499,99.467,99.408,1.89,99.372,5.54,99.499,642,99.372,99.372,99.408,637965.29,637965.29,637965.29,2023-10-04,1208,5.57,,,5.3,33.54,,2020-03-03,1000,SUR,,,,,RUB,3
TQOB,2020-03-04,ОФЗ 25084,SU25084RMFS3,108,6430183.1,99.349,99.499,99.349,99.349,2.03,99.462,5.57,99.499,6465,99.461,99.461,99.349,6430183.1,6430183.1,6430183.1,2023-10-04,1208,5.54,,,5.3,33.54,,2020-03-04,1000,SUR,,,,,RUB,3
