BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQOB,2019-06-19,ОФЗ 26230,SU26230RMFS1,33,1919527875.35,101.7,101.96,101.949,101.949,2.95,101.684,7.65,101.77,1885454,101.807,101.807,101.949,1919527875.35,1919527875.35,1919527875.35,2039-03-16,3831,7.68,,,7.7,26.58,,2019-06-19,1000,SUR,,,,,RUB,3
TQOB,2019-06-20,ОФЗ 26230,SU26230RMFS1,42,463491871.4,102.784,103.499,103.049,103.049,3.16,102.92,7.54,103.499,450410,102.904,102.904,103.049,463491871.4,463491871.4,463491871.4,2039-03-16,3851,7.55,,,7.7,26.58,,2019-06-20,1000,SUR,,,,,RUB,3
TQOB,2019-06-21,ОФЗ 26230,SU26230RMFS1,26,1971279902.15,102.5,103.5,103.199,103.199,3.38,102.807,7.53,103.49,1918371,102.758,102.758,103.199,1971279902.15,1971279902.15,1971279902.15,2039-03-16,3849,7.56,,,7.7,26.58,,2019-06-21,1000,SUR,,,,,RUB,3
TQOB,2019-06-24,ОФЗ 26230,SU26230RMFS1,13,257976806.44,102.9,103.5,102.999,102.999,4.01,103.083,7.55,103.5,250313,103.062,103.062,102.999,257976806.44,257976806.44,257976806.44,2039-03-16,3849,7.54,,,7.7,26.58,,2019-06-24,1000,SUR,,,,,RUB,3
TQOB,2019-06-25,ОФЗ 26230,SU26230RMFS1,9,206338561.73,102.752,104.499,102.752,102.752,4.22,102.775,7.57,104.499,200280,103.045,103.025,102.752,464315368.17,206549709.68,464315368.17,2039-03-16,3843,7.57,,,7.7,26.58,,2019-06-25,1000,SUR,,,,,RUB,3
TQOB,2019-06-26,ОФЗ 26230,SU26230RMFS1,36,1897711798.95,102.4,103.897,102.65,102.65,4.43,102.634,7.58,103.897,1850450,102.554,102.554,102.65,1897711798.95,1897711798.95,1897711798.95,2039-03-16,3840,7.58,,,7.7,26.58,,2019-06-26,1000,SUR,,,,,RUB,3
TQOB,2019-06-27,ОФЗ 26230,SU26230RMFS1,16,385731411.96,102.5,103.0,102.9,102.9,4.64,102.576,7.56,102.8,376244,102.522,102.522,102.9,385731411.96,385731411.96,385731411.96,2039-03-16,3838,7.59,,,7.7,26.58,,2019-06-27,1000,SUR,,,,,RUB,3
TQOB,2019-06-28,ОФЗ 26230,SU26230RMFS1,14,309210664.62,102.317,103.04,102.996,102.996,4.85,102.746,7.55,102.32,300946,102.746,102.746,102.996,309210664.62,309210664.62,309210664.62,2039-03-16,3840,7.57,,,7.7,26.58,,2019-06-28,1000,SUR,,,,,RUB,3
TQOB,2019-07-01,ОФЗ 26230,SU26230RMFS1,11,1293754.49,102.95,103.549,103.549,103.549,5.48,103.006,7.49,103.075,1256,103.006,103.006,103.549,1293754.49,1293754.49,1293754.49,2039-03-16,3842,7.54,,,7.7,26.58,,2019-07-01,1000,SUR,,,,,RUB,3
TQOB,2019-07-02,ОФЗ 26230,SU26230RMFS1,9,194824.93,102.9,103.297,102.9,102.9,5.7,103.082,7.56,103.297,189,103.016,103.018,102.9,1488579.42,1431950.67,1488579.42,2039-03-16,3841,7.54,,,7.7,26.58,,2019-07-02,1000,SUR,,,,,RUB,3
TQOB,2019-07-03,ОФЗ 26230,SU26230RMFS1,0,0.0,,,,102.9,5.91,,7.56,,0,103.016,103.018,102.9,1488579.42,1431950.67,1488579.42,2039-03-16,3840,,,,7.7,26.58,,2019-07-02,1000,SUR,,,,,RUB,3
TQOB,2019-07-04,ОФЗ 26230,SU26230RMFS1,8,18568.08,102.85,103.548,102.85,103.065,6.12,103.156,7.56,103.548,18,,103.02,103.065,0.0,1450518.75,0.0,2039-03-16,3841,7.53,,,7.7,26.58,,2019-07-04,1000,SUR,,,,,RUB,3
TQOB,2019-07-05,ОФЗ 26230,SU26230RMFS1,2,2062.53,102.853,103.4,103.4,103.127,6.33,103.127,7.51,102.853,2,,103.02,103.127,0.0,1452581.28,0.0,2039-03-16,3840,7.53,,,7.7,26.58,,2019-07-05,1000,SUR,,,,,RUB,3
TQOB,2019-07-08,ОФЗ 26230,SU26230RMFS1,6,46453.14,103.15,103.249,103.15,103.15,6.96,103.229,7.53,103.249,45,,103.026,103.15,0.0,1499034.42,0.0,2039-03-16,3838,7.52,,,7.7,26.58,,2019-07-08,1000,SUR,,,,,RUB,3
TQOB,2019-07-09,ОФЗ 26230,SU26230RMFS1,12,67119.28,103.0,103.4,103.297,103.297,7.17,103.26,7.52,103.1,65,,103.203,103.297,0.0,536653.7,0.0,2039-03-16,3837,7.52,,,7.7,26.58,,2019-07-09,1000,SUR,,,,,RUB,3
TQOB,2019-07-10,ОФЗ 26230,SU26230RMFS1,8,150070.13,103.202,103.548,103.548,103.548,7.38,103.403,7.49,103.499,145,,103.307,103.548,0.0,583682.58,0.0,2039-03-16,3838,7.51,,,7.7,26.58,,2019-07-10,1000,SUR,,,,,RUB,3
TQOB,2019-07-11,ОФЗ 26230,SU26230RMFS1,21,9289018.94,103.15,104.099,103.9,103.9,7.59,103.661,7.46,103.549,8961,103.661,103.661,103.9,9289018.94,9289018.94,9289018.94,2039-03-16,3842,7.48,,,7.7,26.58,,2019-07-11,1000,SUR,,,,,RUB,3
TQOB,2019-07-12,ОФЗ 26230,SU26230RMFS1,9,1335048.71,103.0,103.55,103.404,103.404,7.81,103.093,7.51,103.0,1295,103.589,103.093,103.404,10624067.65,1336087.71,10624067.65,2039-03-16,3831,7.54,,,7.7,26.58,,2019-07-12,1000,SUR,,,,,RUB,3
TQOB,2019-07-15,ОФЗ 26230,SU26230RMFS1,6,45484.17,102.951,104.5,104.5,104.5,8.44,103.373,7.4,103.7,44,103.102,103.024,104.5,1380532.88,1099262.88,1380532.88,2039-03-16,3833,7.51,,,7.7,26.58,,2019-07-15,1000,SUR,,,,,RUB,3
