BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQOB,2020-05-13,ОФЗ 26233,SU26233RMFS5,60,4721478281.86,100.48,100.64,100.6,100.6,14.04,100.587,6.13,100.5,4693468,100.597,100.597,100.6,4721478281.86,4721478281.86,4721478281.86,2035-07-18,3647,6.13,,,6.1,28.08,,2020-05-13,1000,SUR,,,,,RUB,3
TQOB,2020-05-14,ОФЗ 26233,SU26233RMFS5,144,4460182596.57,100.411,101.55,101.55,101.55,14.21,101.058,6.03,100.5,4411987,101.092,101.092,101.55,4460182596.57,4460182596.57,4460182596.57,2035-07-18,3651,6.08,,,6.1,28.08,,2020-05-14,1000,SUR,,,,,RUB,3
TQOB,2020-05-15,ОФЗ 26233,SU26233RMFS5,95,1891403647.31,102.0,108.17,103.65,103.65,14.37,102.278,5.82,102.09,1841409,102.715,102.715,103.65,1891403647.31,1891403647.31,1891403647.31,2035-07-18,3662,5.96,,,6.1,28.08,,2020-05-15,1000,SUR,,,,,RUB,3
TQOB,2020-05-18,ОФЗ 26233,SU26233RMFS5,70,1805610465.79,104.2,104.6,104.2,104.2,14.88,104.288,5.76,104.5,1731368,104.288,104.288,104.2,1805610465.79,1805610465.79,1805610465.79,2035-07-18,3679,5.76,,,6.1,28.08,,2020-05-18,1000,SUR,,,,,RUB,3
TQOB,2020-05-19,ОФЗ 26233,SU26233RMFS5,63,445121556.03,103.5,105.7,104.399,104.127,15.04,104.013,5.74,105.7,428213,103.949,103.949,104.127,445121556.03,445121556.03,445121556.03,2035-07-18,3676,5.78,,,6.1,28.08,,2020-05-19,1000,SUR,,,,,RUB,3
TQOB,2020-05-20,ОФЗ 26233,SU26233RMFS5,71,313120451.84,104.399,104.75,104.45,104.45,15.21,104.482,5.74,104.549,299730,104.468,104.468,104.45,313120451.84,313120451.84,313120451.84,2035-07-18,3679,5.74,,,6.1,28.08,,2020-05-20,1000,SUR,,,,,RUB,3
TQOB,2020-05-21,ОФЗ 26233,SU26233RMFS5,83,211545886.86,104.2,104.749,104.479,104.479,15.38,104.399,5.74,104.749,202632,104.399,104.399,104.479,211545886.86,211545886.86,211545886.86,2035-07-18,3678,5.74,,,6.1,28.08,,2020-05-21,1000,SUR,,,,,RUB,3
TQOB,2020-05-22,ОФЗ 26233,SU26233RMFS5,116,144788308.35,103.951,108.6,103.951,103.951,15.54,104.036,5.79,108.6,139172,104.036,104.036,103.951,144788308.35,144788308.35,144788308.35,2035-07-18,3673,5.78,,,6.1,28.08,,2020-05-22,1000,SUR,,,,,RUB,3
TQOB,2020-05-25,ОФЗ 26233,SU26233RMFS5,56,22650449.65,103.92,104.16,103.95,103.95,16.05,103.992,5.79,103.951,21781,103.992,103.992,103.95,22650449.65,22650449.65,22650449.65,2035-07-18,3670,5.78,,,6.1,28.08,,2020-05-25,1000,SUR,,,,,RUB,3
TQOB,2020-05-26,ОФЗ 26233,SU26233RMFS5,64,6560439.01,103.9,104.25,103.95,103.95,16.21,103.985,5.79,104.1,6309,103.985,103.985,103.95,6560439.01,6560439.01,6560439.01,2035-07-18,3668,5.79,,,6.1,28.08,,2020-05-26,1000,SUR,,,,,RUB,3
TQOB,2020-05-27,ОФЗ 26233,SU26233RMFS5,102,367385356.66,103.3,104.09,103.54,103.3,16.38,103.376,5.83,104.09,355389,103.376,103.376,103.3,367385356.66,367385356.66,367385356.66,2035-07-18,3661,5.85,,,6.1,28.08,,2020-05-27,1000,SUR,,,,,RUB,3
TQOB,2020-05-28,ОФЗ 26233,SU26233RMFS5,88,1370007555.24,103.0,103.71,103.598,103.598,16.55,103.529,5.82,103.71,1323311,103.529,103.529,103.598,1370007555.24,1370007555.24,1370007555.24,2035-07-18,3662,5.83,,,6.1,28.08,,2020-05-28,1000,SUR,,,,,RUB,3
TQOB,2020-05-29,ОФЗ 26233,SU26233RMFS5,87,8361900916.66,103.599,104.47,103.65,103.664,16.71,104.412,5.82,103.74,8004289,104.468,104.468,103.664,8361900916.66,8361900916.66,8361900916.66,2035-07-18,3670,5.74,,,6.1,28.08,,2020-05-29,1000,SUR,,,,,RUB,3
TQOB,2020-06-01,ОФЗ 26233,SU26233RMFS5,90,24323342.15,102.1,104.2,103.8,103.849,17.22,104.022,5.8,103.3,23383,104.021,104.021,103.849,24323342.15,24323342.15,24323342.15,2035-07-18,3663,5.78,,,6.1,28.08,,2020-06-01,1000,SUR,,,,,RUB,3
TQOB,2020-06-02,ОФЗ 26233,SU26233RMFS5,97,1285529656.79,103.6,104.47,103.7,103.7,17.38,104.195,5.81,104.189,1233776,104.195,104.195,103.7,1285529656.79,1285529656.79,1285529656.79,2035-07-18,3664,5.76,,,6.1,28.08,,2020-06-02,1000,SUR,,,,,RUB,3
TQOB,2020-06-03,ОФЗ 26233,SU26233RMFS5,216,292915851.14,103.0,103.948,103.375,103.375,17.55,103.257,5.85,103.948,283927,103.166,103.166,103.375,292915851.14,292915851.14,292915851.14,2035-07-18,3653,5.86,,,6.1,28.08,,2020-06-03,1000,SUR,,,,,RUB,3
TQOB,2020-06-04,ОФЗ 26233,SU26233RMFS5,262,2468982811.97,102.399,103.948,103.0,103.125,17.72,102.809,5.88,103.948,2401517,102.809,102.809,103.125,2468982811.97,2468982811.97,2468982811.97,2035-07-18,3648,5.9,,,6.1,28.08,,2020-06-04,1000,SUR,,,,,RUB,3
TQOB,2020-06-05,ОФЗ 26233,SU26233RMFS5,282,2256733066.82,101.7,103.59,102.0,102.0,17.88,101.978,5.99,103.59,2208620,102.178,102.178,102.0,2256733066.82,2256733066.82,2256733066.82,2035-07-18,3638,5.99,,,6.1,28.08,,2020-06-05,1000,SUR,,,,,RUB,3
TQOB,2020-06-08,ОФЗ 26233,SU26233RMFS5,206,27155166.06,101.261,102.895,101.4,101.4,18.39,102.265,6.05,102.895,26599,102.091,102.091,101.4,27155166.06,27155166.06,27155166.06,2035-07-18,3638,5.96,,,6.1,28.08,,2020-06-08,1000,SUR,,,,,RUB,3
TQOB,2020-06-09,ОФЗ 26233,SU26233RMFS5,205,2082286040.98,101.181,102.45,102.36,102.42,18.55,101.929,5.95,101.68,2042883,101.929,101.929,102.42,2082286040.98,2082286040.98,2082286040.98,2035-07-18,3634,5.99,,,6.1,28.08,,2020-06-09,1000,SUR,,,,,RUB,3
TQOB,2020-06-10,ОФЗ 26233,SU26233RMFS5,134,142700085.23,102.165,103.947,102.4,102.4,18.72,102.517,5.94,103.947,139197,102.517,102.517,102.4,142700085.23,142700085.23,142700085.23,2035-07-18,3639,5.93,,,6.1,28.08,,2020-06-10,1000,SUR,,,,,RUB,3
TQOB,2020-06-11,ОФЗ 26233,SU26233RMFS5,110,5039698.42,102.002,102.9,102.32,102.32,18.89,102.287,5.95,102.4,4927,102.287,102.287,102.32,5039698.42,5039698.42,5039698.42,2035-07-18,3635,5.96,,,6.1,28.08,,2020-06-11,1000,SUR,,,,,RUB,3
TQOB,2020-06-15,ОФЗ 26233,SU26233RMFS5,140,1659435.87,101.881,102.7,102.201,102.201,19.56,102.182,5.96,102.0,1624,102.182,102.182,102.201,1659435.87,1659435.87,1659435.87,2035-07-18,3630,5.97,,,6.1,28.08,,2020-06-15,1000,SUR,,,,,RUB,3
TQOB,2020-06-16,ОФЗ 26233,SU26233RMFS5,113,572583958.29,102.16,103.4,102.844,102.844,19.72,102.81,5.9,102.698,556349,102.918,102.918,102.844,572583958.29,572583958.29,572583958.29,2035-07-18,3636,5.9,,,6.1,28.08,,2020-06-16,1000,SUR,,,,,RUB,3
TQOB,2020-06-17,ОФЗ 26233,SU26233RMFS5,191,16908844948.26,102.96,104.2,103.998,103.998,19.89,103.787,5.78,103.139,16270226,103.925,103.925,103.998,16908844948.26,16908844948.26,16908844948.26,2035-07-18,3645,5.8,,,6.1,28.08,,2020-06-17,1000,SUR,,,,,RUB,3
TQOB,2020-06-18,ОФЗ 26233,SU26233RMFS5,134,5998827809.32,103.261,104.25,104.248,104.249,20.06,104.1,5.76,103.261,5759230,104.16,104.16,104.249,5998827809.32,5998827809.32,5998827809.32,2035-07-18,3647,5.77,,,6.1,28.08,,2020-06-18,1000,SUR,,,,,RUB,3
TQOB,2020-06-19,ОФЗ 26233,SU26233RMFS5,175,7908309931.2,103.9,104.85,104.25,104.25,20.22,104.428,5.76,104.24,7573437,104.422,104.422,104.25,7908309931.2,7908309931.2,7908309931.2,2035-07-18,3649,5.74,,,6.1,28.08,,2020-06-19,1000,SUR,,,,,RUB,3
TQOB,2020-06-22,ОФЗ 26233,SU26233RMFS5,190,73365655.79,102.57,104.69,102.899,102.899,20.73,103.061,5.89,104.69,71187,103.06,103.06,102.899,73365655.79,73365655.79,73365655.79,2035-07-18,3632,5.88,,,6.1,28.08,,2020-06-22,1000,SUR,,,,,RUB,3
TQOB,2020-06-23,ОФЗ 26233,SU26233RMFS5,199,535845168.03,102.1,103.001,102.3,102.292,20.89,102.429,5.95,103.001,523139,102.429,102.429,102.292,535845168.03,535845168.03,535845168.03,2035-07-18,3625,5.94,,,6.1,28.08,,2020-06-23,1000,SUR,,,,,RUB,3
TQOB,2020-06-25,ОФЗ 26233,SU26233RMFS5,285,462320537.33,101.5,103.499,101.9,101.9,21.23,101.609,6.0,103.499,454999,101.609,101.609,101.9,462320537.33,462320537.33,462320537.33,2035-07-18,3614,6.03,,,6.1,28.08,,2020-06-25,1000,SUR,,,,,RUB,3
TQOB,2020-06-26,ОФЗ 26233,SU26233RMFS5,139,19867251.12,102.003,102.35,102.23,102.23,21.39,102.229,5.96,102.06,19434,102.229,102.229,102.23,19867251.12,19867251.12,19867251.12,2035-07-18,3620,5.96,,,6.1,28.08,,2020-06-26,1000,SUR,,,,,RUB,3
TQOB,2020-06-29,ОФЗ 26233,SU26233RMFS5,168,23718483.26,101.88,102.331,101.9,101.9,21.9,101.962,6.0,102.202,23262,101.962,101.962,101.9,23718483.26,23718483.26,23718483.26,2035-07-18,3614,5.99,,,6.1,28.08,,2020-06-29,1000,SUR,,,,,RUB,3
TQOB,2020-06-30,ОФЗ 26233,SU26233RMFS5,615,158787942.96,99.985,102.13,100.22,100.347,22.06,100.246,6.17,102.13,158399,100.246,100.246,100.347,158787942.96,158787942.96,158787942.96,2035-07-18,3594,6.17,,,6.1,28.08,,2020-06-30,1000,SUR,,,,,RUB,3
