BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQOB,2020-10-28,ОФЗ 26235,SU26235RMFS0,17,522192.0,98.9,98.9,98.9,98.9,2.26,98.9,6.14,98.9,528,98.9,98.9,98.9,522192.0,522192.0,522192.0,2031-03-12,2872,6.14,,,5.9,26.02,,2020-10-28,1000,SUR,,,,,RUB,3
TQOB,2020-10-29,ОФЗ 26235,SU26235RMFS0,56,2247104.79,98.4,99.0,98.4,98.4,2.42,98.817,6.2,99.0,2274,98.817,98.817,98.4,2247104.79,2247104.79,2247104.79,2031-03-12,2871,6.15,,,5.9,26.02,,2020-10-29,1000,SUR,,,,,RUB,3
TQOB,2020-10-30,ОФЗ 26235,SU26235RMFS0,39,445674.45,97.701,98.9,98.2,98.236,2.59,98.383,6.23,98.4,453,,98.404,98.236,0.0,550077.45,0.0,2031-03-12,2867,6.21,,,5.9,26.02,,2020-10-30,1000,SUR,,,,,RUB,3
TQOB,2020-11-02,ОФЗ 26235,SU26235RMFS0,72,21191162.9,97.4,98.5,97.5,97.5,3.07,97.516,6.33,98.5,21731,97.516,97.516,97.5,21191162.9,21191162.9,21191162.9,2031-03-12,2860,6.33,,,5.9,26.02,,2020-11-02,1000,SUR,,,,,RUB,3
TQOB,2020-11-03,ОФЗ 26235,SU26235RMFS0,66,27755630.78,97.9,99.0,97.9,97.9,3.23,97.986,6.27,97.9,28326,97.986,97.986,97.9,27755630.78,27755630.78,27755630.78,2031-03-12,2861,6.26,,,5.9,26.02,,2020-11-03,1000,SUR,,,,,RUB,3
TQOB,2020-11-05,ОФЗ 26235,SU26235RMFS0,38,214930.62,97.9,98.999,98.998,98.998,3.56,98.2,6.12,98.868,218,,97.946,98.998,0.0,3231229.62,0.0,2031-03-12,2861,6.23,,,5.9,26.02,,2020-11-05,1000,SUR,,,,,RUB,3
TQOB,2020-11-06,ОФЗ 26235,SU26235RMFS0,33,197427.13,98.99,101.49,100.0,100.0,3.72,99.711,5.99,98.998,198,,98.046,100.0,0.0,3428656.75,0.0,2031-03-12,2868,6.03,,,5.9,26.02,,2020-11-06,1000,SUR,,,,,RUB,3
TQOB,2020-11-09,ОФЗ 26235,SU26235RMFS0,53,620083775.5,99.65,100.01,100.01,100.01,4.2,100.0,5.99,100.0,620084,100.0,100.0,100.01,620083775.5,620083775.5,620083775.5,2031-03-12,2866,5.99,,,5.9,26.02,,2020-11-09,1000,SUR,,,,,RUB,3
TQOB,2020-11-10,ОФЗ 26235,SU26235RMFS0,38,10882410.42,100.01,100.2,100.05,100.018,4.36,100.05,5.98,100.2,10877,100.05,100.05,100.018,10882410.42,10882410.42,10882410.42,2031-03-12,2866,5.98,,,5.9,26.02,,2020-11-10,1000,SUR,,,,,RUB,3
TQOB,2020-11-11,ОФЗ 26235,SU26235RMFS0,17,322644.55,100.001,100.28,100.197,100.197,4.53,100.2,5.96,100.2,322,,100.055,100.197,0.0,10291622.65,0.0,2031-03-12,2865,5.96,,,5.9,26.02,,2020-11-11,1000,SUR,,,,,RUB,3
TQOB,2020-11-12,ОФЗ 26235,SU26235RMFS0,25,2943127.53,100.03,100.98,100.7,100.7,4.69,100.758,5.89,100.03,2921,100.758,100.758,100.7,2943127.53,2943127.53,2943127.53,2031-03-12,2867,5.89,,,5.9,26.02,,2020-11-12,1000,SUR,,,,,RUB,3
TQOB,2020-11-13,ОФЗ 26235,SU26235RMFS0,4,4158.88,103.9,103.999,103.9,103.9,4.85,103.972,5.48,103.999,4,100.762,100.715,103.9,2947286.41,904416.88,2947286.41,2031-03-12,2883,5.47,,,5.9,26.02,,2020-11-13,1000,SUR,,,,,RUB,3
TQOB,2020-11-16,ОФЗ 26235,SU26235RMFS0,1,1038.0,103.8,103.8,103.8,103.8,5.33,103.8,5.49,103.8,1,100.763,100.718,103.8,2948324.41,905454.88,2948324.41,2031-03-12,2879,5.49,,,5.9,26.02,,2020-11-16,1000,SUR,,,,,RUB,3
TQOB,2020-11-17,ОФЗ 26235,SU26235RMFS0,26,537643.5,100.77,100.9,100.9,100.9,5.49,100.871,5.87,100.9,533,100.871,100.871,100.9,537643.5,537643.5,537643.5,2031-03-12,2863,5.87,,,5.9,26.02,,2020-11-17,1000,SUR,,,,,RUB,3
TQOB,2020-11-18,ОФЗ 26235,SU26235RMFS0,63,6922167.85,100.15,104.286,100.17,100.17,5.66,100.759,5.96,103.999,6870,100.759,100.759,100.17,6922167.85,6922167.85,6922167.85,2031-03-12,2861,5.89,,,5.9,26.02,,2020-11-18,1000,SUR,,,,,RUB,3
