BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQOB,2020-11-25,ОФЗ 26236,SU26236RMFS8,30,2017607920.61,100.59,100.65,100.59,100.59,2.19,100.631,5.68,100.64,2005020,100.628,100.628,100.59,2017607920.61,2017607920.61,2017607920.61,2028-05-17,2258,5.67,,,5.7,30.61,,2020-11-25,1000,SUR,,,,,RUB,3
TQOB,2020-11-26,ОФЗ 26236,SU26236RMFS8,44,707764246.01,100.553,100.96,100.589,100.589,2.34,100.683,5.68,100.96,703225,100.645,100.645,100.589,707764246.01,707764246.01,707764246.01,2028-05-17,2257,5.66,,,5.7,30.61,,2020-11-26,1000,SUR,,,,,RUB,3
TQOB,2020-11-27,ОФЗ 26236,SU26236RMFS8,34,12618154.72,100.59,100.6,100.598,100.598,2.5,100.599,5.68,100.6,12543,100.599,100.599,100.598,12618154.72,12618154.72,12618154.72,2028-05-17,2255,5.68,,,5.7,30.61,,2020-11-27,1000,SUR,,,,,RUB,3
TQOB,2020-11-30,ОФЗ 26236,SU26236RMFS8,18,711107.07,100.305,100.6,100.589,100.589,2.97,100.581,5.68,100.6,707,100.581,100.581,100.589,711107.07,711107.07,711107.07,2028-05-17,2252,5.68,,,5.7,30.61,,2020-11-30,1000,SUR,,,,,RUB,3
TQOB,2020-12-01,ОФЗ 26236,SU26236RMFS8,17,2972669.89,100.595,100.599,100.595,100.595,3.12,100.598,5.68,100.599,2955,100.598,100.598,100.595,2972669.89,2972669.89,2972669.89,2028-05-17,2251,5.68,,,5.7,30.61,,2020-12-01,1000,SUR,,,,,RUB,3
TQOB,2020-12-02,ОФЗ 26236,SU26236RMFS8,13,1325803.28,100.501,100.598,100.549,100.549,3.28,100.592,5.69,100.598,1318,100.592,100.592,100.549,1325803.28,1325803.28,1325803.28,2028-05-17,2250,5.68,,,5.7,30.61,,2020-12-02,1000,SUR,,,,,RUB,3
TQOB,2020-12-03,ОФЗ 26236,SU26236RMFS8,17,110521489.5,100.549,100.599,100.599,100.599,3.44,100.576,5.68,100.599,109888,100.576,100.576,100.599,110521489.5,110521489.5,110521489.5,2028-05-17,2249,5.68,,,5.7,30.61,,2020-12-03,1000,SUR,,,,,RUB,3
TQOB,2020-12-04,ОФЗ 26236,SU26236RMFS8,17,1490835.31,100.59,100.618,100.59,100.593,3.59,100.596,5.68,100.618,1482,100.596,100.596,100.593,1490835.31,1490835.31,1490835.31,2028-05-17,2248,5.68,,,5.7,30.61,,2020-12-04,1000,SUR,,,,,RUB,3
TQOB,2020-12-07,ОФЗ 26236,SU26236RMFS8,22,68412204.64,100.11,100.67,100.625,100.625,4.06,100.578,5.67,100.67,68019,100.578,100.578,100.625,68412204.64,68412204.64,68412204.64,2028-05-17,2245,5.68,,,5.7,30.61,,2020-12-07,1000,SUR,,,,,RUB,3
TQOB,2020-12-08,ОФЗ 26236,SU26236RMFS8,22,3734266.2,100.599,100.7,100.599,100.599,4.22,100.6,5.68,100.7,3712,100.6,100.6,100.599,3734266.2,3734266.2,3734266.2,2028-05-17,2244,5.68,,,5.7,30.61,,2020-12-08,1000,SUR,,,,,RUB,3
TQOB,2020-12-09,ОФЗ 26236,SU26236RMFS8,16,365140.94,100.55,100.67,100.55,100.55,4.37,100.59,5.69,100.67,363,,100.597,100.55,0.0,1452616.13,0.0,2028-05-17,2243,5.68,,,5.7,30.61,,2020-12-09,1000,SUR,,,,,RUB,3
