BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQOB,2019-07-26,ОФЗ 26231,SU26231RMFS9,0,0,,,,,0.0,,,,0,,,,0,0,0,2044-07-20,,,,,0.25,1.42,,,1000,SUR,,,,,RUB,3
TQOB,2019-07-29,ОФЗ 26231,SU26231RMFS9,0,0,,,,,0.02,,,,0,,,,0,0,0,2044-07-20,,,,,0.25,1.42,,,1000,SUR,,,,,RUB,3
TQOB,2019-07-30,ОФЗ 26231,SU26231RMFS9,0,0,,,,,0.03,,,,0,,,,0,0,0,2044-07-20,,,,,0.25,1.42,,,1000,SUR,,,,,RUB,3
TQOB,2019-07-31,ОФЗ 26231,SU26231RMFS9,0,0,,,,,0.03,,,,0,,,,0,0,0,2044-07-20,,,,,0.25,1.42,,,1000,SUR,,,,,RUB,3
TQOB,2019-08-01,ОФЗ 26231,SU26231RMFS9,0,0,,,,,0.04,,,,0,,,,0,0,0,2044-07-20,,,,,0.25,1.42,,,1000,SUR,,,,,RUB,3
TQOB,2019-08-02,ОФЗ 26231,SU26231RMFS9,0,0,,,,,0.05,,,,0,,,,0,0,0,2044-07-20,,,,,0.25,1.42,,,1000,SUR,,,,,RUB,3
TQOB,2019-08-05,ОФЗ 26231,SU26231RMFS9,0,0,,,,,0.07,,,,0,,,,0,0,0,2044-07-20,,,,,0.25,1.42,,,1000,SUR,,,,,RUB,3
TQOB,2019-08-06,ОФЗ 26231,SU26231RMFS9,0,0,,,,,0.08,,,,0,,,,0,0,0,2044-07-20,,,,,0.25,1.42,,,1000,SUR,,,,,RUB,3
TQOB,2019-08-07,ОФЗ 26231,SU26231RMFS9,0,0,,,,,0.08,,,,0,,,,0,0,0,2044-07-20,,,,,0.25,1.42,,,1000,SUR,,,,,RUB,3
TQOB,2019-08-08,ОФЗ 26231,SU26231RMFS9,0,0,,,,,0.09,,,,0,,,,0,0,0,2044-07-20,,,,,0.25,1.42,,,1000,SUR,,,,,RUB,3
TQOB,2019-08-09,ОФЗ 26231,SU26231RMFS9,0,0,,,,,0.1,,,,0,,,,0,0,0,2044-07-20,,,,,0.25,1.42,,,1000,SUR,,,,,RUB,3
TQOB,2019-08-12,ОФЗ 26231,SU26231RMFS9,0,0,,,,,0.12,,,,0,,,,0,0,0,2044-07-20,,,,,0.25,1.42,,,1000,SUR,,,,,RUB,3
TQOB,2019-08-13,ОФЗ 26231,SU26231RMFS9,0,0,,,,,0.12,,,,0,,,,0,0,0,2044-07-20,,,,,0.25,1.42,,,1000,SUR,,,,,RUB,3
TQOB,2019-08-14,ОФЗ 26231,SU26231RMFS9,0,0,,,,,0.13,,,,0,,,,0,0,0,2044-07-20,,,,,0.25,1.42,,,1000,SUR,,,,,RUB,3
TQOB,2019-08-15,ОФЗ 26231,SU26231RMFS9,0,0,,,,,0.14,,,,0,,,,0,0,0,2044-07-20,,,,,0.25,1.42,,,1000,SUR,,,,,RUB,3
TQOB,2019-08-16,ОФЗ 26231,SU26231RMFS9,0,0,,,,,0.14,,,,0,,,,0,0,0,2044-07-20,,,,,0.25,1.42,,,1000,SUR,,,,,RUB,3
