BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQOB,2016-01-04,ОФЗ 26215,SU26215RMFS2,1,6939.2,86.74,86.74,86.74,86.74,25.12,86.74,9.71,86.74,8,86.431,86.6502,86.74,192548321.05,37130466.05,192548321.05,2023-08-16,2092,9.71,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2016-01-05,ОФЗ 26215,SU26215RMFS2,16,606564.72,86.4502,87.1764,87.1764,87.176,25.31,87.0251,9.61,86.6,697,87.0251,87.0251,87.176,606564.72,606564.72,606564.72,2023-08-16,2093,9.64,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2016-01-06,ОФЗ 26215,SU26215RMFS2,12,66701.75,86.35,87.1764,86.6,86.6,25.5,86.6257,9.74,87.1764,77,,87.0127,86.6,0.0,542089.27,0.0,2023-08-16,2090,9.73,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2016-01-11,ОФЗ 26215,SU26215RMFS2,83,397292385.75,83.7,86.7,84.25,84.25,26.46,84.6959,10.26,86.3,471268,84.3029,84.3029,84.25,397292385.75,397292385.75,397292385.75,2023-08-16,2075,10.16,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2016-01-12,ОФЗ 26215,SU26215RMFS2,119,521090919.48,83.2001,84.8498,83.5001,83.5001,26.65,83.866,10.43,83.2001,620556,83.9716,83.9716,83.5001,521090919.48,521090919.48,521090919.48,2023-08-16,2070,10.34,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2016-01-13,ОФЗ 26215,SU26215RMFS2,65,121701245.27,83.1511,84.1508,83.4,83.4,26.85,83.6404,10.45,84.0,145687,83.5361,83.5361,83.4,121701245.27,121701245.27,121701245.27,2023-08-16,2068,10.39,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2016-01-14,ОФЗ 26215,SU26215RMFS2,132,304835198.55,82.8101,83.5999,83.3999,83.3999,27.04,83.1657,10.45,83.0,367062,83.0473,83.0473,83.3999,304835198.55,304835198.55,304835198.55,2023-08-16,2064,10.5,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2016-01-15,ОФЗ 26215,SU26215RMFS2,75,70488492.86,82.1001,83.6997,82.5998,82.5998,27.23,82.5962,10.64,83.2,85340,82.5972,82.5972,82.5998,70488492.86,70488492.86,70488492.86,2023-08-16,2060,10.64,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2016-01-18,ОФЗ 26215,SU26215RMFS2,72,37314904.44,81.65,82.7999,82.4099,82.4099,27.8,82.2719,10.68,82.2,45293,82.3856,82.3856,82.4099,37314904.44,37314904.44,37314904.44,2023-08-16,2055,10.71,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2016-01-19,ОФЗ 26215,SU26215RMFS2,244,1922931368.27,82.31,83.5,82.86,82.8507,28.0,83.0324,10.58,82.4185,2317767,82.9648,82.9648,82.8507,1922931368.27,1922931368.27,1922931368.27,2023-08-16,2058,10.54,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2016-01-20,ОФЗ 26215,SU26215RMFS2,152,3552214441.95,81.2501,82.7,81.26,81.26,28.19,81.8024,10.95,82.3004,4337365,81.898,81.898,81.26,3552214441.95,3552214441.95,3552214441.95,2023-08-16,2051,10.82,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2016-01-21,ОФЗ 26215,SU26215RMFS2,170,2179972091.53,80.2502,81.75,81.49,81.49,28.38,81.2446,10.9,81.2875,2674957,81.4956,81.4956,81.49,2179972091.53,2179972091.53,2179972091.53,2023-08-16,2047,10.96,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2016-01-22,ОФЗ 26215,SU26215RMFS2,122,694518878.83,81.5002,83.1,82.9,82.9,28.57,82.2695,10.57,82.5,841660,82.5177,82.5177,82.9,694518878.83,694518878.83,694518878.83,2023-08-16,2051,10.72,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2016-01-25,ОФЗ 26215,SU26215RMFS2,61,599372196.7,82.6,83.66,82.85,82.85,29.15,82.9217,10.59,83.59,722817,82.9217,82.9217,82.85,599372196.7,599372196.7,599372196.7,2023-08-16,2052,10.57,,,,,,,1000,SUR,,,,,RUB,3
TQOB,2016-01-26,ОФЗ 26215,SU26215RMFS2,41,232292535.12,82.0001,83.48,83.48,83.48,29.34,82.6613,10.44,82.6951,281037,82.6555,82.6555,83.48,232292535.12,232292535.12,232292535.12,2023-08-16,2049,10.63,,,,,,,1000,SUR,,,,,RUB,3
