isin,name,issuevalue,coupondate,recorddate,startdate,initialfacevalue,facevalue,faceunit,value,valueprc,value_rub,secid,primary_boardid
RU000A0JSMA2,ОФЗ-ПД 26209 20/07/22,403881815000,2016-01-27,2016-01-26,2015-07-29,1000,1000,RUB,37.9,7.6,37.9,SU26209RMFS5,TQOB
RU000A0JSMA2,ОФЗ-ПД 26209 20/07/22,403881815000,2016-07-27,2016-07-26,2016-01-27,1000,1000,RUB,37.9,7.6,37.9,SU26209RMFS5,TQOB
RU000A0JSMA2,ОФЗ-ПД 26209 20/07/22,403881815000,2017-01-25,2017-01-24,2016-07-27,1000,1000,RUB,37.9,7.6,37.9,SU26209RMFS5,TQOB
RU000A0JSMA2,ОФЗ-ПД 26209 20/07/22,403881815000,2017-07-26,2017-07-25,2017-01-25,1000,1000,RUB,37.9,7.6,37.9,SU26209RMFS5,TQOB
RU000A0JSMA2,ОФЗ-ПД 26209 20/07/22,403881815000,2018-01-24,2018-01-23,2017-07-26,1000,1000,RUB,37.9,7.6,37.9,SU26209RMFS5,TQOB
RU000A0JSMA2,ОФЗ-ПД 26209 20/07/22,403881815000,2018-07-25,2018-07-24,2018-01-24,1000,1000,RUB,37.9,7.6,37.9,SU26209RMFS5,TQOB
RU000A0JSMA2,ОФЗ-ПД 26209 20/07/22,403881815000,2019-01-23,2019-01-22,2018-07-25,1000,1000,RUB,37.9,7.6,37.9,SU26209RMFS5,TQOB
RU000A0JSMA2,ОФЗ-ПД 26209 20/07/22,403881815000,2019-07-24,2019-07-23,2019-01-23,1000,1000,RUB,37.9,7.6,37.9,SU26209RMFS5,TQOB
RU000A0JSMA2,ОФЗ-ПД 26209 20/07/22,403881815000,2020-01-22,2020-01-21,2019-07-24,1000,1000,RUB,37.9,7.6,37.9,SU26209RMFS5,TQOB
RU000A0JSMA2,ОФЗ-ПД 26209 20/07/22,403881815000,2020-07-22,2020-07-21,2020-01-22,1000,1000,RUB,37.9,7.6,37.9,SU26209RMFS5,TQOB
RU000A0JSMA2,ОФЗ-ПД 26209 20/07/22,403881815000,2021-01-20,2021-01-19,2020-07-22,1000,1000,RUB,37.9,7.6,37.9,SU26209RMFS5,TQOB
RU000A0JSMA2,ОФЗ-ПД 26209 20/07/22,403881815000,2021-07-21,2021-07-20,2021-01-20,1000,1000,RUB,37.9,7.6,37.9,SU26209RMFS5,TQOB
