isin,name,issuevalue,coupondate,recorddate,startdate,initialfacevalue,facevalue,faceunit,value,valueprc,value_rub,secid,primary_boardid
RU000A0JS3W6,ОФЗ-ПД 26207 03/02/27,350000000000,2016-02-17,2016-02-16,2015-08-19,1000,1000,RUB,40.64,8.15,40.64,SU26207RMFS9,TQOB
RU000A0JS3W6,ОФЗ-ПД 26207 03/02/27,350000000000,2016-08-17,2016-08-16,2016-02-17,1000,1000,RUB,40.64,8.15,40.64,SU26207RMFS9,TQOB
RU000A0JS3W6,ОФЗ-ПД 26207 03/02/27,350000000000,2017-02-15,2017-02-14,2016-08-17,1000,1000,RUB,40.64,8.15,40.64,SU26207RMFS9,TQOB
RU000A0JS3W6,ОФЗ-ПД 26207 03/02/27,350000000000,2017-08-16,2017-08-15,2017-02-15,1000,1000,RUB,40.64,8.15,40.64,SU26207RMFS9,TQOB
RU000A0JS3W6,ОФЗ-ПД 26207 03/02/27,350000000000,2018-02-14,2018-02-13,2017-08-16,1000,1000,RUB,40.64,8.15,40.64,SU26207RMFS9,TQOB
RU000A0JS3W6,ОФЗ-ПД 26207 03/02/27,350000000000,2018-08-15,2018-08-14,2018-02-14,1000,1000,RUB,40.64,8.15,40.64,SU26207RMFS9,TQOB
RU000A0JS3W6,ОФЗ-ПД 26207 03/02/27,350000000000,2019-02-13,2019-02-12,2018-08-15,1000,1000,RUB,40.64,8.15,40.64,SU26207RMFS9,TQOB
RU000A0JS3W6,ОФЗ-ПД 26207 03/02/27,350000000000,2019-08-14,2019-08-13,2019-02-13,1000,1000,RUB,40.64,8.15,40.64,SU26207RMFS9,TQOB
RU000A0JS3W6,ОФЗ-ПД 26207 03/02/27,350000000000,2020-02-12,2020-02-11,2019-08-14,1000,1000,RUB,40.64,8.15,40.64,SU26207RMFS9,TQOB
RU000A0JS3W6,ОФЗ-ПД 26207 03/02/27,350000000000,2020-08-12,2020-08-11,2020-02-12,1000,1000,RUB,40.64,8.15,40.64,SU26207RMFS9,TQOB
RU000A0JS3W6,ОФЗ-ПД 26207 03/02/27,350000000000,2021-02-10,2021-02-09,2020-08-12,1000,1000,RUB,40.64,8.15,40.64,SU26207RMFS9,TQOB
RU000A0JS3W6,ОФЗ-ПД 26207 03/02/27,350000000000,2021-08-11,2021-08-10,2021-02-10,1000,1000,RUB,40.64,8.15,40.64,SU26207RMFS9,TQOB
