BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME
RTSI,RTSI,2016-01-04,Индекс РТС,Индекс РТС,749.28,755.16,761.68,741.67,204806462.85,,,2,111545710777.1683,USD,148870001.744,3,
RTSI,RTSI,2016-01-05,Индекс РТС,Индекс РТС,752.7,747.94,753.97,743.42,242929971.52,,,2,112053716429.2599,USD,148870001.744,3,
RTSI,RTSI,2016-01-06,Индекс РТС,Индекс РТС,736.82,753.06,754.04,735.62,210962101.14,,,2,109690420475.9135,USD,148870001.744,3,
RTSI,RTSI,2016-01-11,Индекс РТС,Индекс РТС,699.13,723.62,723.62,699.13,410460022.52,,,2,104079293950.3254,USD,148870001.744,3,
RTSI,RTSI,2016-01-12,Индекс РТС,Индекс РТС,695.32,693.61,706.31,681.28,426544306.43,,,2,103512201193.1268,USD,148870001.744,3,
RTSI,RTSI,2016-01-13,Индекс РТС,Индекс РТС,693.65,694.91,708.33,692.0,351746580.4,,,2,103264172025.4589,USD,148870001.744,3,
RTSI,RTSI,2016-01-14,Индекс РТС,Индекс РТС,692.99,690.56,694.94,681.57,409807554.05,,,2,103165858953.798,USD,148870001.744,3,
RTSI,RTSI,2016-01-15,Индекс РТС,Индекс РТС,652.98,693.85,694.72,647.86,642112248.87,,,2,97208968427.0581,USD,148870001.744,3,
RTSI,RTSI,2016-01-18,Индекс РТС,Индекс РТС,646.9,649.79,655.06,632.19,407452779.05,,,2,96303842240.886,USD,148870001.744,3,
RTSI,RTSI,2016-01-19,Индекс РТС,Индекс РТС,660.29,649.64,674.38,649.64,467484424.15,,,2,98297690983.726,USD,148870001.744,3,
RTSI,RTSI,2016-01-20,Индекс РТС,Индекс РТС,628.41,653.79,653.79,625.99,491947952.24,,,2,93551281362.6926,USD,148870001.744,3,
RTSI,RTSI,2016-01-21,Индекс РТС,Индекс РТС,632.12,631.41,635.43,607.14,511310404.68,,,2,94103459804.9229,USD,148870001.744,3,
RTSI,RTSI,2016-01-22,Индекс РТС,Индекс РТС,691.4,645.12,696.3,645.12,756613036.42,,,2,102928231530.8801,USD,148870001.744,3,
RTSI,RTSI,2016-01-25,Индекс РТС,Индекс РТС,681.57,696.14,704.29,672.49,438277084.71,,,2,101465058997.8136,USD,148870001.744,3,
RTSI,RTSI,2016-01-26,Индекс РТС,Индекс РТС,683.05,671.22,685.72,655.57,421765193.97,,,2,101684992546.8912,USD,148870001.744,3,
RTSI,RTSI,2016-01-27,Индекс РТС,Индекс РТС,704.87,686.98,705.29,679.55,471659202.24,,,2,104934570153.9407,USD,148870001.744,3,
RTSI,RTSI,2016-01-28,Индекс РТС,Индекс РТС,727.13,707.1,737.58,704.78,643736599.78,,,2,108247761286.9898,USD,148870001.744,3,
RTSI,RTSI,2016-01-29,Индекс РТС,Индекс РТС,745.3,731.71,749.44,727.9,659466373.71,,,2,110952346852.7649,USD,148870001.744,3,
RTSI,RTSI,2016-02-01,Индекс РТС,Индекс РТС,730.39,744.43,744.43,723.83,401905900.94,,,2,108732469271.5826,USD,148870001.744,3,
RTSI,RTSI,2016-02-02,Индекс РТС,Индекс РТС,701.21,721.96,723.07,694.93,486091448.46,,,2,104389799229.8261,USD,148870001.744,3,
RTSI,RTSI,2016-02-03,Индекс РТС,Индекс РТС,696.96,692.92,713.67,690.19,394891869.62,,,2,103756816464.4026,USD,148870001.744,3,
RTSI,RTSI,2016-02-04,Индекс РТС,Индекс РТС,738.82,723.16,745.68,723.16,584762644.86,,,2,109987963049.1614,USD,148870001.744,3,
RTSI,RTSI,2016-02-05,Индекс РТС,Индекс РТС,725.91,732.57,737.81,720.0,365566459.87,,,2,108066226176.5185,USD,148870001.744,3,
RTSI,RTSI,2016-02-08,Индекс РТС,Индекс РТС,704.03,724.26,734.8,700.76,436914634.33,,,2,104809585942.8707,USD,148870001.744,3,
RTSI,RTSI,2016-02-09,Индекс РТС,Индекс РТС,690.37,697.93,705.33,684.39,474576766.74,,,2,102775529438.7278,USD,148870001.744,3,
RTSI,RTSI,2016-02-10,Индекс РТС,Индекс РТС,696.61,681.23,705.2,676.79,404139643.45,,,2,103703807287.1245,USD,148870001.744,3,
RTSI,RTSI,2016-02-11,Индекс РТС,Индекс РТС,671.34,692.55,692.55,663.61,492626466.72,,,2,99942138662.9415,USD,148870001.744,3,
RTSI,RTSI,2016-02-12,Индекс РТС,Индекс РТС,689.9,678.27,692.39,678.27,364143966.52,,,2,102705577045.2229,USD,148870001.744,3,
RTSI,RTSI,2016-02-15,Индекс РТС,Индекс РТС,707.24,698.56,713.53,698.03,310111607.81,,,0,105286229083.0415,USD,148870001.744,3,
RTSI,RTSI,2016-02-16,Индекс РТС,Индекс РТС,708.61,713.25,727.38,706.31,444663008.36,,,2,105490159890.911,USD,148870001.744,3,
RTSI,RTSI,2016-02-17,Индекс РТС,Индекс РТС,735.81,708.86,739.52,705.97,444775465.15,,,0,109539638087.7634,USD,148870001.744,3,
RTSI,RTSI,2016-02-18,Индекс РТС,Индекс РТС,752.89,742.64,756.36,739.63,549649586.73,,,0,112082464127.4458,USD,148870001.744,3,
RTSI,RTSI,2016-02-19,Индекс РТС,Индекс РТС,725.98,741.49,742.99,721.6,510597674.52,,,2,108076069454.032,USD,148870001.744,3,
RTSI,RTSI,2016-02-20,Индекс РТС,Индекс РТС,732.95,729.04,739.58,729.04,73364669.06,,,0,109114546243.3596,USD,148870001.744,3,
RTSI,RTSI,2016-02-22,Индекс РТС,Индекс РТС,761.48,733.69,762.58,733.69,264638984.54,,,2,113361953079.6312,USD,148870001.744,3,
RTSI,RTSI,2016-02-24,Индекс РТС,Индекс РТС,737.73,757.19,757.19,725.4,410819608.45,,,0,109825332175.5914,USD,148870001.744,3,
RTSI,RTSI,2016-02-25,Индекс РТС,Индекс РТС,745.53,749.63,755.55,732.4,473845522.22,,,0,110987694454.012,USD,148870001.744,3,
RTSI,RTSI,2016-02-26,Индекс РТС,Индекс РТС,757.45,759.08,772.08,755.09,556355314.27,,,2,112761115805.7814,USD,148870001.744,3,
RTSI,RTSI,2016-02-29,Индекс РТС,Индекс РТС,768.8,749.03,768.8,746.19,493975155.63,,,0,114338135490.6999,USD,148870001.744,3,
RTSI,RTSI,2016-03-01,Индекс РТС,Индекс РТС,786.36,771.72,790.55,770.87,469636901.85,,,2,117065714838.6236,USD,148870001.744,3,
RTSI,RTSI,2016-03-02,Индекс РТС,Индекс РТС,780.16,795.71,798.39,777.11,429437021.43,,,0,116142595321.3683,USD,148870001.744,3,
RTSI,RTSI,2016-03-03,Индекс РТС,Индекс РТС,798.58,792.03,800.29,783.58,484833382.13,,,0,118884907294.3121,USD,148870001.744,3,
RTSI,RTSI,2016-03-04,Индекс РТС,Индекс РТС,818.25,802.24,818.25,796.26,456276381.12,,,2,121812218998.6301,USD,148870001.744,3,
RTSI,RTSI,2016-03-07,Индекс РТС,Индекс РТС,839.23,823.66,840.1,822.35,406524105.25,,,0,124935654546.1023,USD,148870001.744,3,
RTSI,RTSI,2016-03-09,Индекс РТС,Индекс РТС,835.64,837.02,840.04,815.11,506376888.86,,,2,124401204511.2371,USD,148870001.744,3,
RTSI,RTSI,2016-03-10,Индекс РТС,Индекс РТС,834.24,835.49,850.15,828.53,510451691.77,,,0,124193372466.0194,USD,148870001.744,3,
RTSI,RTSI,2016-03-11,Индекс РТС,Индекс РТС,845.59,832.15,854.06,831.7,464765427.28,,,2,125883057200.3391,USD,148870001.744,3,
RTSI,RTSI,2016-03-14,Индекс РТС,Индекс РТС,830.54,845.79,847.18,826.32,423941770.79,,,0,123641805541.6793,USD,148870001.744,3,
RTSI,RTSI,2016-03-15,Индекс РТС,Индекс РТС,821.64,842.64,845.12,818.95,758773767.1,,,2,122317650661.7707,USD,148870001.744,3,
RTSI,RTSI,2016-03-16,Индекс РТС,Индекс РТС,835.97,823.84,835.97,821.19,419843837.41,,,2,124644315832.9286,USD,149101116.6917,3,
RTSI,RTSI,2016-03-17,Индекс РТС,Индекс РТС,873.8,854.62,876.33,854.62,718582231.2,,,2,130283849445.9917,USD,149101116.6917,3,
RTSI,RTSI,2016-03-18,Индекс РТС,Индекс РТС,885.13,875.9,894.76,866.88,889087757.52,,,2,131974222884.8449,USD,149101116.6917,3,
RTSI,RTSI,2016-03-21,Индекс РТС,Индекс РТС,883.6,878.19,887.09,866.47,631305340.68,,,2,131745120701.7664,USD,149101116.6917,3,
RTSI,RTSI,2016-03-22,Индекс РТС,Индекс РТС,889.02,885.03,894.44,874.22,671941279.16,,,2,132554158037.4887,USD,149101116.6917,3,
RTSI,RTSI,2016-03-23,Индекс РТС,Индекс РТС,865.4,886.88,889.45,863.83,544685757.77,,,0,129032434132.089,USD,149101116.6917,3,
RTSI,RTSI,2016-03-24,Индекс РТС,Индекс РТС,847.26,858.51,859.41,841.49,457517604.05,,,0,126326900415.041,USD,149101116.6917,3,
RTSI,RTSI,2016-03-25,Индекс РТС,Индекс РТС,862.22,859.05,868.88,859.05,153924561.19,,,2,128557319259.5114,USD,149101116.6917,3,
RTSI,RTSI,2016-03-28,Индекс РТС,Индекс РТС,851.67,861.54,873.01,848.25,263517815.08,,,0,126984269942.8401,USD,149101116.6917,3,
RTSI,RTSI,2016-03-29,Индекс РТС,Индекс РТС,843.42,850.22,850.85,835.75,455431919.58,,,0,125755282241.2225,USD,149101116.6917,3,
RTSI,RTSI,2016-03-30,Индекс РТС,Индекс РТС,869.86,857.46,876.77,857.46,502356847.29,,,2,129697398107.5611,USD,149101116.6917,3,
RTSI,RTSI,2016-03-31,Индекс РТС,Индекс РТС,876.2,860.95,882.75,858.62,677606661.59,,,0,130642845768.273,USD,149101116.6917,3,
RTSI,RTSI,2016-04-01,Индекс РТС,Индекс РТС,861.96,874.41,874.41,847.04,613998467.36,,,2,128519011057.1811,USD,149101116.6917,3,
RTSI,RTSI,2016-04-04,Индекс РТС,Индекс РТС,861.76,864.34,868.89,847.6,483262027.32,,,0,128488935059.337,USD,149101116.6917,3,
RTSI,RTSI,2016-04-05,Индекс РТС,Индекс РТС,846.61,852.1,854.1,839.62,449331390.52,,,0,126229876238.8487,USD,149101116.6917,3,
